	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1210 1751 -541>,  	 C2 --   1/8th.(100) <      > 	V100 - M 66	=+34  %+34  	q=  +  %+0  	 0.575(78)<-----%34   %0

printNotes: i=  2-<1965 1976 -11>,  	 D2 --   1/8th.(100) <      > 	V 99 - M 66	=+33  %+33  	q= -1  %-1  	 0.569(78)<-----%33   %1

printNotes: i=  3-<1982 1976   6>,  	 D2 --    1/4th(133) <      > 	V133 - M133	=  +  %+0  	q=  +  %+0  	 0.766(78)<-- same note
printNotes: i=  4-<2080 2114 -34>,  	Ek2 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(78)
printNotes: i=  5-<1793 1751  42>,  	 C2 --  1/8th..(116) <      > 	V109 - M100	= +9  %+8  	q= -7  %-6  	 0.627(78)
printNotes: i=  6-<1979 1976   3>,  	 D2 --  1/16th.( 50) <      > 	V 52 - M 66	=-14  %-27  	q= +2  %+4  	 0.296(78)<-----%27   %4

printNotes: i=  7-<2122 2114   8>,  	Ek2 --  1/16th.( 50) <      > 	V 42 - M 66	=-24  %-57  	q= -8  %-19  	 0.238(78)<-----%57   %19



silence
printNotes: i=  8-<   0   40 -40>,  	Slc --   1/16th( 33) <      > 	V 31 - M 17	=+14  %+45  	q= -2  %-6  	 0.174(78)<-----%45   %6

printNotes: i=  9-<2195 2259 -64>,  	 F2 --     half(266) <      > 	V264 - M266	= -2  %-1  	q= -2  %-1  	 1.527(78)


silence
printNotes: i= 10-<   0   40 -40>,  	Slc --    1/8th( 66) <      > 	V 69 - M 17	=+52  %+75  	q= +3  %+4  	 0.395(78)<-----%75   %4

printNotes: i= 11-<1663 2470 -807>,  	 G2 --    1/8th( 66) <      > 	V 78 - M 33	=+45  %+58  	q=+12  %+15  	 0.447(78)<-----%58   %15

printNotes: i= 12-<1409 2259 -850>,  	 F2 --    1/8th( 66) <      > 	V 82 - M100	=-18  %-22  	q=+16  %+20  	 0.470(78)
printNotes: i= 13-<2756 2744  12>,  	Bb2 -- 1/64th..( 15) <      > 	V 13 - M 17	= -4  %-31  	q= -2  %-15  	 0.070(78)<-----%31   %15 <<

printNotes: i= 14-<2496 2470  26>,  	 G2 --  1/32nd.( 25) <      > 	V 24 - M 50	=-26  %-108  	q= -1  %-4  	 0.134(78)<-----%108   %4

printNotes: i= 15-<2261 2259   2>,  	 F2 --  1/64th.( 12) <      > 	V 12 - M 17	= -5  %-42  	q=  +  %+0  	 0.064(78)<-----%42   %0 <<

printNotes: i= 16-<2203 2470 -267>,  	 G2 --  1/64th.( 12) <      > 	V  9 - M 17	= -8  %-89  	q= -3  %-33  	 0.046(78)<-----%89   %33 <<

printNotes: i= 17-<2242 2259 -17>,  	 F2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(78)
printNotes: i= 18-<2256 2259  -3>,  	 F2 --    1/8th( 66) <      > 	V 63 - M133	=-70  %-111  	q= -3  %-5  	 0.360(78)<-- same note<-----%111   %5

printNotes: i= 19-<2276 2259  17>,  	 F2 --    1/8th( 66) <      > 	V 66 - M 66	=  +  %+0  	q=  +  %+0  	 0.377(78)<-- same note
printNotes: i= 20-<2457 2470 -13>,  	 G2 --  1/16th.( 50) <      > 	V 42 - M 66	=-24  %-57  	q= -8  %-19  	 0.238(78)<-----%57   %19

printNotes: i= 21-<2337 2259  78>,  	 F2 --  128th..(  7) <      > 	V  7 - M 33	=-26  %-371  	q=  +  %+0  	 0.035(78)<-----%371   %0 <<

printNotes: i= 22-<   0 2114 -2114>,  	Ek2 --   1/16th( 33) <      > 	V 41 - M 17	=+24  %+59  	q= +8  %+20  	 0.232(78)<-----%59   %20

printNotes: i= 23-<2254 2259  -5>,  	 F2 --   1/16th( 33) <      > 	V 37 - M 17	=+20  %+54  	q= +4  %+11  	 0.209(78)<-----%54   %11

printNotes: i= 24-<2140 2114  26>,  	Ek2 --  1/16th.( 50) <      > 	V 48 - M 17	=+31  %+65  	q= -2  %-4  	 0.273(78)<-----%65   %4

printNotes: i= 25-<2019 1976  43>,  	 D2 --  1/64th.( 12) <      > 	V 12 - M 17	= -5  %-42  	q=  +  %+0  	 0.064(78)<-----%42   %0 <<

printNotes: i= 26-<2092 2114 -22>,  	Ek2 --  1/16th.( 50) <      > 	V 51 - M 33	=+18  %+35  	q= +1  %+2  	 0.290(78)<-----%35   %2

printNotes: i= 27-<2198 2259 -61>,  	 F2 --   1/4th.(199) <-1*sela> 	V174 - M133	=+41  %+24  	q=-25  %-14  	 1.004(78)<-----%24   %14



silence
printNotes: i= 28-<   0   40 -40>,  	Slc --   1/4th.(199) <-1*sela> 	V180 - M133	=+47  %+26  	q=-19  %-11  	 1.039(78)<-----%26   %11

printNotes: i= 29-<1169 1751 -582>,  	 C2 -- 1/16th..( 58) <      > 	V 56 - M 66	=-10  %-18  	q= -2  %-4  	 0.319(78)<-----%18   %4

printNotes: i= 30-<1680 1976 -296>,  	 D2 --   1/8th.(100) <      > 	V 98 - M 66	=+32  %+33  	q= -2  %-2  	 0.563(78)<-----%33   %2

printNotes: i= 31-<1957 1976 -19>,  	 D2 --   1/16th( 33) <      > 	V 40 - M 40	=  +  %+0  	q= +7  %+18  	 0.226(78)<-- same note
printNotes: i= 32-<2074 2114 -40>,  	Ek2 -- 1/64th..( 15) <      > 	V 16 - M 13	= +3  %+19  	q= +1  %+6  	 0.087(78)<-----%19   %6 <<

printNotes: i= 33-<1986 1976  10>,  	 D2 --   1/16th( 33) <      > 	V 41 - M 26	=+15  %+37  	q= +8  %+20  	 0.232(78)<-----%37   %20

printNotes: i= 34-<2091 2114 -23>,  	Ek2 --   1/32nd( 17) <      > 	V 18 - M 27	= -9  %-50  	q= +1  %+6  	 0.099(78)<-----%50   %6

printNotes: i= 35-<1983 1976   7>,  	 D2 --   1/16th( 33) <      > 	V 35 - M 27	= +8  %+23  	q= +2  %+6  	 0.197(78)<-----%23   %6

printNotes: i= 36-<1827 1751  76>,  	 C2 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(78)


silence
printNotes: i= 37-<   0   40 -40>,  	Slc --   1/8th.(100) <      > 	V 90 - M100	=-10  %-11  	q=-10  %-11  	 0.517(78)
printNotes: i= 38-<1858 1976 -118>,  	 D2 --    1/8th( 66) <      > 	V 70 - M 44	=+26  %+37  	q= +4  %+6  	 0.401(78)<-----%37   %6

printNotes: i= 39-<2104 2114 -10>,  	Ek2 --  1/16th.( 50) <      > 	V 49 - M 44	= +5  %+10  	q= -1  %-2  	 0.279(78)<-----%10   %2

printNotes: i= 40-<1898 1976 -78>,  	 D2 --   1/16th( 33) <      > 	V 36 - M 44	= -8  %-22  	q= +3  %+8  	 0.203(78)<-----%22   %8

printNotes: i= 41-<2270 2259  11>,  	 F2 --   1/4th.(199) <      > 	V191 - M233	=-42  %-22  	q= -8  %-4  	 1.103(78)<-----%22   %4

printNotes: i= 42-< 734 2114 -1380>,  	Ek2 --    1/8th( 66) <      > 	V 66 - M 33	=+33  %+50  	q=  +  %+0  	 0.377(78)<-----%50   %0

printNotes: i= 43-<2410 2470 -60>,  	 G2 --  1/16th.( 50) <      > 	V 52 - M 66	=-14  %-27  	q= +2  %+4  	 0.296(78)<-----%27   %4

printNotes: i= 44-<1543 2259 -716>,  	 F2 --   1/8th.(100) <      > 	V 84 - M 66	=+18  %+21  	q=-16  %-19  	 0.482(78)
printNotes: i= 45-<2727 2744 -17>,  	Bb2 --  1/64th.( 12) <      > 	V 11 - M 17	= -6  %-55  	q= -1  %-9  	 0.058(78)<-----%55   %9 <<

printNotes: i= 46-<2635 2644  -9>,  	 A2 --    128th(  4) <      > 	V  3 - M 17	=-14  %-467  	q= -1  %-33  	 0.012(78)<-----%467   %33 <<

printNotes: i= 47-<2467 2470  -3>,  	 G2 --  1/32nd.( 25) <      > 	V 23 - M 17	= +6  %+26  	q= -2  %-9  	 0.128(78)<-----%26   %9

printNotes: i= 48-<2242 2259 -17>,  	 F2 -- 1/64th..( 15) <      > 	V 13 - M 17	= -4  %-31  	q= -2  %-15  	 0.070(78)<-----%31   %15 <<

printNotes: i= 49-<2475 2470   5>,  	 G2 --   1/64th(  8) <      > 	V 10 - M 17	= -7  %-70  	q= +2  %+20  	 0.052(78)<-----%70   %20 <<

printNotes: i= 50-<2275 2259  16>,  	 F2 --  1/32nd.( 25) <      > 	V 25 - M 17	= +8  %+32  	q=  +  %+0  	 0.139(78)<-----%32   %0

printNotes: i= 51-<1973 2114 -141>,  	Ek2 -- 1/64th..( 15) <      > 	V 13 - M 33	=-20  %-154  	q= -2  %-15  	 0.070(78)<-----%154   %15 <<

printNotes: i= 52-<2286 2259  27>,  	 F2 --    1/4th(133) <      > 	V131 - M199	=-68  %-52  	q= -2  %-2  	 0.755(78)<-----%52   %2

printNotes: i= 53-<2462 2470  -8>,  	 G2 --  1/16th.( 50) <      > 	V 52 - M 66	=-14  %-27  	q= +2  %+4  	 0.296(78)<-----%27   %4

printNotes: i= 54-<2273 2259  14>,  	 F2 --   1/16th( 33) <      > 	V 35 - M 17	=+18  %+51  	q= +2  %+6  	 0.197(78)<-----%51   %6

printNotes: i= 55-<2144 2114  30>,  	Ek2 --  1/64th.( 12) <      > 	V 12 - M 17	= -5  %-42  	q=  +  %+0  	 0.064(78)<-----%42   %0 <<

printNotes: i= 56-<2216 2259 -43>,  	 F2 --  1/32nd.( 25) <      > 	V 21 - M 17	= +4  %+19  	q= -4  %-19  	 0.116(78)
printNotes: i= 57-<2154 2114  40>,  	Ek2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(78)
printNotes: i= 58-<1986 1976  10>,  	 D2 -- 1/64th..( 15) <      > 	V 13 - M 33	=-20  %-154  	q= -2  %-15  	 0.070(78)<-----%154   %15 <<

printNotes: i= 59-<2123 2114   9>,  	Ek2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(78)
printNotes: i= 60-<2306 2259  47>,  	 F2 --   1/4th.(199) <      > 	V193 - M133	=+60  %+31  	q= -6  %-3  	 1.115(78)<-----%31   %3



silence
printNotes: i= 61-<   0   40 -40>,  	Slc --  1/4th..(233) <      > 	V225 - M133	=+92  %+41  	q= -8  %-4  	 1.300(78)<-----%41   %4

printNotes: i= 62-<2049 2470 -421>,  	 G2 --   1/8th.(100) <      > 	V 88 - M 66	=+22  %+25  	q=-12  %-14  	 0.505(78)<-----%25   %14

printNotes: i= 63-<1868 2259 -391>,  	 F2 --   1/8th.(100) <      > 	V 99 - M 66	=+33  %+33  	q= -1  %-1  	 0.569(78)<-----%33   %1

printNotes: i= 64-<2617 2644 -27>,  	 A2 --  1/64th.( 12) <      > 	V 11 - M 33	=-22  %-200  	q= -1  %-9  	 0.058(78)<-----%200   %9 <<

printNotes: i= 65-<2449 2470 -21>,  	 G2 --  1/32nd.( 25) <      > 	V 22 - M 17	= +5  %+23  	q= -3  %-14  	 0.122(78)<-----%23   %14

printNotes: i= 66-<2263 2259   4>,  	 F2 -- 1/64th..( 15) <      > 	V 13 - M 17	= -4  %-31  	q= -2  %-15  	 0.070(78)<-----%31   %15 <<

printNotes: i= 67-<2295 2470 -175>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 17	= -6  %-55  	q= -1  %-9  	 0.058(78)<-----%55   %9 <<

printNotes: i= 68-<2244 2259 -15>,  	 F2 --  1/32nd.( 25) <      > 	V 25 - M 17	= +8  %+32  	q=  +  %+0  	 0.139(78)<-----%32   %0

printNotes: i= 69-<1962 2114 -152>,  	Ek2 -- 1/64th..( 15) <      > 	V 14 - M 33	=-19  %-136  	q= -1  %-7  	 0.075(78)<-----%136   %7 <<

printNotes: i= 70-<2249 2259 -10>,  	 F2 --  1/8th..(116) <      > 	V118 - M199	=-81  %-69  	q= +2  %+2  	 0.679(78)<-----%69   %2

printNotes: i= 71-<2492 2470  22>,  	 G2 -- 1/16th..( 58) <      > 	V 57 - M 66	= -9  %-16  	q= -1  %-2  	 0.325(78)<-----%16   %2

printNotes: i= 72-<2288 2259  29>,  	 F2 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(78)
printNotes: i= 73-<2123 2114   9>,  	Ek2 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(78)
printNotes: i= 74-<2279 2259  20>,  	 F2 --   1/16th( 33) <      > 	V 39 - M 66	=-27  %-69  	q= +6  %+15  	 0.221(78)<-----%69   %15

printNotes: i= 75-<2110 2114  -4>,  	Ek2 -- 1/32nd..( 29) <      > 	V 30 - M 33	= -3  %-10  	q= +1  %+3  	 0.168(78)<-----%10   %3

