	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1166 1998 -832>,  	 D2 --  1/8th..(106) <      > 	V100 - M 45	=+55  %+55  	q= -6  %-6  	 0.575(86)<-----%55   %6

printNotes: i=  2-<2098 2119 -21>,  	Ek2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(86)
printNotes: i=  3-<2138 2265 -127>,  	 F2 --    half.(363) <-2*sela> 	V323 - M242	=+81  %+25  	q=-40  %-12  	 1.869(86)<-----%25   %12

printNotes: i=  4-<2143 2265 -122>,  	 F2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)<-- same note
printNotes: i=  5-<2472 2476  -4>,  	 G2 --  1/8th..(106) <      > 	V111 - M 91	=+20  %+18  	q= +5  %+5  	 0.639(86)<-----%18   %5

printNotes: i=  6-<2601 2659 -58>,  	 A2 --  1/16th.( 45) <      > 	V 46 - M 30	=+16  %+35  	q= +1  %+2  	 0.261(86)<-----%35   %2



silence
printNotes: i=  7-<   0   40 -40>,  	Slc --   1/16th( 30) <      > 	V 32 - M 15	=+17  %+53  	q= +2  %+6  	 0.180(86)<-----%53   %6

printNotes: i=  8-<2263 2265  -2>,  	 F2 --   1/4th.(181) <      > 	V186 - M181	= +5  %+3  	q= +5  %+3  	 1.074(86)
printNotes: i=  9-<2470 2476  -6>,  	 G2 --    1/4th(121) <      > 	V117 - M 30	=+87  %+74  	q= -4  %-3  	 0.673(86)<-----%74   %3



silence
printNotes: i= 10-<   0   40 -40>,  	Slc --    1/8th( 60) <      > 	V 62 - M 91	=-29  %-47  	q= +2  %+3  	 0.354(86)<-----%47   %3

printNotes: i= 11-<1107 2119 -1012>,  	Ek2 --   1/16th( 30) <      > 	V 37 - M 30	= +7  %+19  	q= +7  %+19  	 0.209(86)
printNotes: i= 12-<2230 2265 -35>,  	 F2 --     half(242) <1*sela> 	V264 - M242	=+22  %+8  	q=+22  %+8  	 1.527(86)
printNotes: i= 13-<2263 2265  -2>,  	 F2 --  1/4th..(212) <      > 	V212 - M212	=  +  %+0  	q=  +  %+0  	 1.225(86)<-- same note
printNotes: i= 14-<2146 2119  27>,  	Ek2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(86)<-----%36   %0 <<

printNotes: i= 15-<2246 2265 -19>,  	 F2 --    1/8th( 60) <      > 	V 62 - M 15	=+47  %+76  	q= +2  %+3  	 0.354(86)<-----%76   %3

printNotes: i= 16-<2270 2265   5>,  	 F2 --   1/4th.(181) <      > 	V181 - M181	=  +  %+0  	q=  +  %+0  	 1.045(86)<-- same note
printNotes: i= 17-<2007 2119 -112>,  	Ek2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(86)<-----%15   %0 <<

printNotes: i= 18-<2378 2265 113>,  	 F2 --  1/32nd.( 23) <      > 	V 20 - M 15	= +5  %+25  	q= -3  %-15  	 0.110(86)<-----%25   %15

printNotes: i= 19-<2275 2265  10>,  	 F2 --    1/4th(121) <      > 	V121 - M121	=  +  %+0  	q=  +  %+0  	 0.697(86)<-- same note
printNotes: i= 20-<2140 2119  21>,  	Ek2 --  1/32nd.( 23) <      > 	V 20 - M 30	=-10  %-50  	q= -3  %-15  	 0.110(86)<-----%50   %15

printNotes: i= 21-<2297 2265  32>,  	 F2 -- 1/32nd..( 26) <      > 	V 26 - M 30	= -4  %-15  	q=  +  %+0  	 0.145(86)<-----%15   %0

printNotes: i= 22-<2128 2476 -348>,  	 G2 --    1/8th( 60) <      > 	V 57 - M 15	=+42  %+74  	q= -3  %-5  	 0.325(86)<-----%74   %5

printNotes: i= 23-<2221 2659 -438>,  	 A2 --  128th..(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(86)<-----%114   %0 <<

printNotes: i= 24-<   0 2476 -2476>,  	 G2 --    128th(  4) <      > 	V  1 - M 30	=-29  %-2900  	q= -3  %-300  	 0.000(86)<-----%2900   %300 <<

printNotes: i= 25-<2277 2265  12>,  	 F2 --  1/32nd.( 23) <      > 	V 23 - M 30	= -7  %-30  	q=  +  %+0  	 0.128(86)<-----%30   %0

printNotes: i= 26-<2118 2119  -1>,  	Ek2 --   1/16th( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(86)
printNotes: i= 27-<1959 1998 -39>,  	 D2 -- 1/64th..( 13) <      > 	V 13 - M 30	=-17  %-131  	q=  +  %+0  	 0.070(86)<-----%131   %0 <<

printNotes: i= 28-<2132 2119  13>,  	Ek2 --    1/8th( 60) <      > 	V 74 - M 60	=+14  %+19  	q=+14  %+19  	 0.424(86)
printNotes: i= 29-<2052 1998  54>,  	 D2 --    1/8th( 60) <      > 	V 59 - M 60	= -1  %-2  	q= -1  %-2  	 0.337(86)


silence
