	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1847 1690 157>,  	 B1 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(81)
printNotes: i=  2-<2691 2737 -46>,  	Bb2 --    1/4th(128) <1*sela> 	V144 - M128	=+16  %+11  	q=+16  %+11  	 0.830(81)
printNotes: i=  3-<2675 2672   3>,  	 A2 --  1/4th..(225) <      > 	V239 - M257	=-18  %-8  	q=+14  %+6  	 1.382(81)
printNotes: i=  4-<2729 2737  -8>,  	Bb2 --    1/4th(128) <1*sela> 	V148 - M128	=+20  %+14  	q=+20  %+14  	 0.853(81)
printNotes: i=  5-<2668 2672  -4>,  	 A2 --    1/4th(128) <      > 	V132 - M128	= +4  %+3  	q= +4  %+3  	 0.760(81)
printNotes: i=  6-<2722 2737 -15>,  	Bb2 --  1/8th..(112) <      > 	V108 - M112	= -4  %-4  	q= -4  %-4  	 0.621(81)
printNotes: i=  7-<2947 2958 -11>,  	 C3 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(81)
printNotes: i=  8-<2732 2672  60>,  	 A2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i=  9-<2927 2958 -31>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 10-<2692 2672  20>,  	 A2 -- 1/32nd..( 28) <      > 	V 26 - M 24	= +2  %+8  	q= -2  %-8  	 0.145(81)
printNotes: i= 11-<2726 2737 -11>,  	Bb2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(81)
printNotes: i= 12-<2674 2672   2>,  	 A2 --    1/4th(128) <      > 	V132 - M128	= +4  %+3  	q= +4  %+3  	 0.760(81)
printNotes: i= 13-<2488 2478  10>,  	 G2 --   1/8th.( 96) <      > 	V 88 - M 96	= -8  %-9  	q= -8  %-9  	 0.505(81)
printNotes: i= 14-<2276 2267   9>,  	 F2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(81)


silence
printNotes: i= 15-<   0   40 -40>,  	Slc --     half(257) <      > 	V265 - M257	= +8  %+3  	q= +8  %+3  	 1.533(81)
printNotes: i= 16-<1756 1690  66>,  	 B1 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(81)
printNotes: i= 17-<2056 1990  66>,  	 D2 --  1/32nd.( 24) <      > 	V 20 - M 24	= -4  %-20  	q= -4  %-20  	 0.110(81)
printNotes: i= 18-<2670 2672  -2>,  	 A2 --   1/4th.(193) <-1*sela> 	V167 - M193	=-26  %-16  	q=-26  %-16  	 0.964(81)
printNotes: i= 19-<2808 2837 -29>,  	 B2 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(81)
printNotes: i= 20-<2458 2478 -20>,  	 G2 --    1/4th(128) <      > 	V132 - M128	= +4  %+3  	q= +4  %+3  	 0.760(81)
printNotes: i= 21-<1373 2737 -1364>,  	Bb2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 22-<2665 2672  -7>,  	 A2 --    1/4th(128) <      > 	V129 - M128	= +1  %+1  	q= +1  %+1  	 0.743(81)
printNotes: i= 23-<2724 2737 -13>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(81)
printNotes: i= 24-<2497 2478  19>,  	 G2 --   1/8th.( 96) <      > 	V 81 - M 96	=-15  %-19  	q=-15  %-19  	 0.464(81)
printNotes: i= 25-<2744 2737   7>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(81)
printNotes: i= 26-<2674 2672   2>,  	 A2 --   1/8th.( 96) <      > 	V102 - M 96	= +6  %+6  	q= +6  %+6  	 0.586(81)
printNotes: i= 27-<2772 2737  35>,  	Bb2 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(81)
printNotes: i= 28-<2674 2672   2>,  	 A2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(81)
printNotes: i= 29-<2796 2837 -41>,  	 B2 -- 1/64th..( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(81)
printNotes: i= 30-<2483 2478   5>,  	 G2 --    1/8th( 64) <      > 	V 78 - M 64	=+14  %+18  	q=+14  %+18  	 0.447(81)
printNotes: i= 31-<2290 2267  23>,  	 F2 --   1/4th.(193) <-1*sela> 	V173 - M193	=-20  %-12  	q=-20  %-12  	 0.998(81)
printNotes: i= 32-<2131 2140  -9>,  	Ek2 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(81)
printNotes: i= 33-<2307 2267  40>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 34-<2164 2140  24>,  	Ek2 --  1/32nd.( 24) <      > 	V 22 - M 24	= -2  %-9  	q= -2  %-9  	 0.122(81)


silence
printNotes: i= 35-<   0   40 -40>,  	Slc --    1/8th( 64) <      > 	V 68 - M 64	= +4  %+6  	q= +4  %+6  	 0.389(81)
printNotes: i= 36-<1540 1290 250>,  	 G1 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 37-<2372 2478 -106>,  	 G2 -- 1/16th..( 56) <      > 	V 53 - M 56	= -3  %-6  	q= -3  %-6  	 0.302(81)
printNotes: i= 38-<2231 2267 -36>,  	 F2 --   1/8th.( 96) <      > 	V 98 - M 96	= +2  %+2  	q= +2  %+2  	 0.563(81)
