	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1523 1489  34>,  	 A1 --  1/16th.( 53) <      > 	V 48 - M 53	= -5  %-10  	q= -5  %-10  	 0.273(74)
printNotes: i=  2-<2247 2262 -15>,  	 F2 --    whole(562) <2*sela> 	V610 - M562	=+48  %+8  	q=+48  %+8  	 3.535(74)
printNotes: i=  3-<2170 2126  44>,  	Ek2 --   1/32nd( 18) <      > 	V 16 - M 15	= +1  %+6  	q= -2  %-12  	 0.087(74)
printNotes: i=  4-<2567 2662 -95>,  	 A2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(74)
printNotes: i=  5-<2262 2262    >,  	 F2 --   half..(492) <-1*sela> 	V457 - M492	=-35  %-8  	q=-35  %-8  	 2.647(74)
printNotes: i=  6-<2147 2126  21>,  	Ek2 --  1/32nd.( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(74)
printNotes: i=  7-<2420 2484 -64>,  	 G2 --  128th..(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(74)
printNotes: i=  8-<2274 2262  12>,  	 F2 --    1/4th(140) <      > 	V154 - M140	=+14  %+9  	q=+14  %+9  	 0.888(74)
printNotes: i=  9-<2022 1989  33>,  	 D2 --  1/32nd.( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(74)
printNotes: i= 10-<2195 2262 -67>,  	 F2 --   128th.(  7) <      > 	V  6 - M  7	= -1  %-17  	q= -1  %-17  	 0.029(74)
printNotes: i= 11-<2145 2126  19>,  	Ek2 --   1/8th.(105) <      > 	V 96 - M105	= -9  %-9  	q= -9  %-9  	 0.551(74)
printNotes: i= 12-<1628 1989 -361>,  	 D2 --    1/8th( 70) <      > 	V 71 - M 70	= +1  %+1  	q= +1  %+1  	 0.406(74)
printNotes: i= 13-<1289 2126 -837>,  	Ek2 --    128th(  4) <      > 	V  1 - M  4	= -3  %-300  	q= -3  %-300  	 0.000(74)


silence
printNotes: i= 14-<   0   40 -40>,  	Slc --     half(281) <2*sela> 	V319 - M295	=+24  %+8  	q=+38  %+12  	 1.846(74)
printNotes: i= 15-<1967 1989 -22>,  	 D2 --    1/4th(140) <      > 	V134 - M140	= -6  %-4  	q= -6  %-4  	 0.772(74)
printNotes: i= 16-<2205 2262 -57>,  	 F2 --  1/64th.( 13) <      > 	V 10 - M 13	= -3  %-30  	q= -3  %-30  	 0.052(74)
printNotes: i= 17-<2145 2126  19>,  	Ek2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(74)
printNotes: i= 18-<2320 2362 -42>,  	F#2 --  128th..(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(74)
printNotes: i= 19-<2140 2126  14>,  	Ek2 --   1/32nd( 18) <      > 	V 20 - M 18	= +2  %+10  	q= +2  %+10  	 0.110(74)
printNotes: i= 20-<2390 2484 -94>,  	 G2 --   128th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(74)
printNotes: i= 21-<2253 2262  -9>,  	 F2 --  1/32nd.( 26) <      > 	V 24 - M 26	= -2  %-8  	q= -2  %-8  	 0.134(74)
printNotes: i= 22-<1648 2484 -836>,  	 G2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(74)
printNotes: i= 23-<2274 2262  12>,  	 F2 --     half(281) <      > 	V290 - M281	= +9  %+3  	q= +9  %+3  	 1.678(74)
printNotes: i= 24-<2128 2126   2>,  	Ek2 --  1/16th.( 53) <      > 	V 47 - M 53	= -6  %-13  	q= -6  %-13  	 0.267(74)
printNotes: i= 25-<1943 1989 -46>,  	 D2 --  1/16th.( 53) <      > 	V 44 - M 35	= +9  %+20  	q= -9  %-20  	 0.250(74)
printNotes: i= 26-<2347 2362 -15>,  	F#2 --   128th.(  7) <      > 	V  7 - M  8	= -1  %-14  	q=  +  %+0  	 0.035(74)
printNotes: i= 27-<2244 2262 -18>,  	 F2 --  1/32nd.( 26) <      > 	V 22 - M 26	= -4  %-18  	q= -4  %-18  	 0.122(74)
printNotes: i= 28-<2370 2484 -114>,  	 G2 --  1/64th.( 13) <      > 	V 10 - M 13	= -3  %-30  	q= -3  %-30  	 0.052(74)
printNotes: i= 29-<2147 2126  21>,  	Ek2 -- 1/32nd..( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(74)
printNotes: i= 30-<2395 2484 -89>,  	 G2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(74)
printNotes: i= 31-<2130 2126   4>,  	Ek2 --   1/16th( 35) <      > 	V 37 - M 35	= +2  %+5  	q= +2  %+5  	 0.209(74)
printNotes: i= 32-<2368 2484 -116>,  	 G2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(74)
printNotes: i= 33-<2017 1989  28>,  	 D2 --   1/16th( 35) <      > 	V 41 - M 35	= +6  %+15  	q= +6  %+15  	 0.232(74)
printNotes: i= 34-<2216 2262 -46>,  	 F2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(74)
printNotes: i= 35-<1995 1989   6>,  	 D2 --    1/8th( 70) <      > 	V 67 - M 70	= -3  %-4  	q= -3  %-4  	 0.383(74)
printNotes: i= 36-<2118 2126  -8>,  	Ek2 --  1/16th.( 53) <      > 	V 46 - M 53	= -7  %-15  	q= -7  %-15  	 0.261(74)
printNotes: i= 37-<2283 2262  21>,  	 F2 --  1/16th.( 53) <      > 	V 45 - M 53	= -8  %-18  	q= -8  %-18  	 0.255(74)
printNotes: i= 38-<2127 2126   1>,  	Ek2 --    1/8th( 70) <      > 	V 76 - M 70	= +6  %+8  	q= +6  %+8  	 0.435(74)
printNotes: i= 39-<2012 1989  23>,  	 D2 --  1/16th.( 53) <      > 	V 49 - M 53	= -4  %-8  	q= -4  %-8  	 0.279(74)
printNotes: i= 40-< 837 2362 -1525>,  	F#2 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(74)
printNotes: i= 41-<1772 1989 -217>,  	 D2 --   1/16th( 35) <      > 	V 33 - M 35	= -2  %-6  	q= -2  %-6  	 0.186(74)


silence
