	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1625 1467 158>,  	 A1 --  1/32nd.( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(65)
printNotes: i=  2-<2132 2482 -350>,  	 G2 --   1/8th.(119) <      > 	V121 - M119	= +2  %+2  	q= +2  %+2  	 0.697(65)
printNotes: i=  3-<2263 2267  -4>,  	 F2 --  1/16th.( 60) <      > 	V 54 - M 60	= -6  %-11  	q= -6  %-11  	 0.308(65)
printNotes: i=  4-< 743 2011 -1268>,  	 D2 --  1/32nd.( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(65)
printNotes: i=  5-<2255 2267 -12>,  	 F2 --    1/4th(159) <      > 	V178 - M159	=+19  %+11  	q=+19  %+11  	 1.027(65)
printNotes: i=  6-<2108 2130 -22>,  	Ek2 -- 1/32nd..( 35) <      > 	V 35 - M 35	=  +  %+0  	q=  +  %+0  	 0.197(65)
printNotes: i=  7-<1992 2011 -19>,  	 D2 --  1/32nd.( 30) <      > 	V 25 - M 30	= -5  %-20  	q= -5  %-20  	 0.139(65)
printNotes: i=  8-<2263 2267  -4>,  	 F2 --     half(318) <3*sela> 	V379 - M318	=+61  %+16  	q=+61  %+16  	 2.194(65)
printNotes: i=  9-<1886 2130 -244>,  	Ek2 --  1/16th.( 60) <      > 	V 60 - M 60	=  +  %+0  	q=  +  %+0  	 0.342(65)
printNotes: i= 10-<1376 2482 -1106>,  	 G2 --   1/16th( 40) <      > 	V 40 - M 40	=  +  %+0  	q=  +  %+0  	 0.226(65)
printNotes: i= 11-<2480 2482  -2>,  	 G2 --  1/16th.( 60) <      > 	V 57 - M 60	= -3  %-5  	q= -3  %-5  	 0.325(65)<-- same note
printNotes: i= 12-<1227 2267 -1040>,  	 F2 -- 1/16th..( 70) <      > 	V 74 - M 70	= +4  %+5  	q= +4  %+5  	 0.424(65)
printNotes: i= 13-<2272 2267   5>,  	 F2 --   1/8th.(119) <      > 	V119 - M119	=  +  %+0  	q=  +  %+0  	 0.685(65)<-- same note
printNotes: i= 14-<1873 2130 -257>,  	Ek2 --   1/32nd( 20) <      > 	V 24 - M 20	= +4  %+17  	q= +4  %+17  	 0.134(65)
printNotes: i= 15-<2066 2267 -201>,  	 F2 --   1/4th.(239) <      > 	V246 - M239	= +7  %+3  	q= +7  %+3  	 1.422(65)
printNotes: i= 16-<2468 2482 -14>,  	 G2 -- 1/16th..( 70) <      > 	V 68 - M 70	= -2  %-3  	q= -2  %-3  	 0.389(65)
printNotes: i= 17-<2281 2267  14>,  	 F2 --  1/64th.( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(65)
printNotes: i= 18-<2405 2482 -77>,  	 G2 --   1/32nd( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(65)
printNotes: i= 19-<2424 2482 -58>,  	 G2 --  1/32nd.( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(65)<-- same note
printNotes: i= 20-<1369 2267 -898>,  	 F2 --  1/64th.( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(65)
printNotes: i= 21-<2349 2482 -133>,  	 G2 --  1/16th.( 60) <      > 	V 58 - M 60	= -2  %-3  	q= -2  %-3  	 0.331(65)
printNotes: i= 22-<2276 2267   9>,  	 F2 --  1/64th.( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(65)
