	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1420 1498 -78>,  	 A1 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(83)
printNotes: i=  2-<1878 1998 -120>,  	 D2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i=  3-< 652 1798 -1146>,  	 C2 --  1/16th.( 47) <      > 	V 48 - M 47	= +1  %+2  	q= +1  %+2  	 0.273(83)
printNotes: i=  4-<2081 2119 -38>,  	Ek2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(83)
printNotes: i=  5-<2255 2265 -10>,  	 F2 --     half(249) <2*sela> 	V294 - M249	=+45  %+15  	q=+45  %+15  	 1.701(83)
printNotes: i=  6-<1501 2119 -618>,  	Ek2 -- 1/16th..( 55) <      > 	V 55 - M 55	=  +  %+0  	q=  +  %+0  	 0.313(83)
printNotes: i=  7-<2322 2265  57>,  	 F2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(83)
printNotes: i=  8-<2473 2476  -3>,  	 G2 --  1/8th..(109) <      > 	V112 - M109	= +3  %+3  	q= +3  %+3  	 0.644(83)
printNotes: i=  9-<2602 2729 -127>,  	Bb2 --  1/16th.( 47) <      > 	V 45 - M 47	= -2  %-4  	q= -2  %-4  	 0.255(83)


silence
printNotes: i= 10-<   0   40 -40>,  	Slc --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(83)
printNotes: i= 11-<2263 2265  -2>,  	 F2 --   1/4th.(187) <      > 	V186 - M187	= -1  %-1  	q= -1  %-1  	 1.074(83)
printNotes: i= 12-<2470 2476  -6>,  	 G2 --    1/4th(125) <      > 	V117 - M109	= +8  %+7  	q= -8  %-7  	 0.673(83)


silence
printNotes: i= 13-<   0   40 -40>,  	Slc --    1/8th( 62) <      > 	V 62 - M 62	=  +  %+0  	q=  +  %+0  	 0.354(83)
printNotes: i= 14-<2026 1998  28>,  	 D2 --  128th..(  7) <      > 	V  7 - M  8	= -1  %-14  	q=  +  %+0  	 0.035(83)
printNotes: i= 15-<2103 2119 -16>,  	Ek2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(83)
printNotes: i= 16-<1180 1998 -818>,  	 D2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(83)
printNotes: i= 17-<   0 2119 -2119>,  	Ek2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(83)
printNotes: i= 18-<2067 2265 -198>,  	 F2 --  1/16th.( 47) <      > 	V 47 - M 47	=  +  %+0  	q=  +  %+0  	 0.267(83)
printNotes: i= 19-<2264 2265  -1>,  	 F2 --   half..(436) <      > 	V429 - M436	= -7  %-2  	q= -7  %-2  	 2.485(83)<-- same note
printNotes: i= 20-<2002 2119 -117>,  	Ek2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(83)
printNotes: i= 21-<2451 2476 -25>,  	 G2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(83)
printNotes: i= 22-<2268 2265   3>,  	 F2 --  1/4th..(218) <      > 	V232 - M249	=-17  %-7  	q=+14  %+6  	 1.341(83)
