	voice Midi Diff								present		 Best		Sec

i=  1--<1701 1477 224>,   	Ak1 --  1/16th.( 41) <      > 	V 37 - M 28	= +9  %+24  	q= -4  %-11  	 0.209(94)<-----%24   %11

i=  2--<2462 2653 -191>,   	Ak2 --  1/16th.( 41) <      > 	V 44 - M 42	= +2  %+5  	q= +3  %+7  	 0.250(94)
i=  3--<2518 2519  -1>,   	 G2 --    1/8th( 55) <      > 	V 61 - M 56	= +5  %+8  	q= +6  %+10  	 0.348(94)
i=  4--<2660 2653   7>,   	Ak2 --    1/4th(110) <      > 	V118 - M111	= +7  %+6  	q= +8  %+7  	 0.679(94)
i=  5--<2516 2519  -3>,   	 G2 --   half..(385) <-1*sela> 	V360 - M331	=+29  %+8  	q=-25  %-7  	 2.084(94)
i=  6--<2651 2653  -2>,   	Ak2 --    1/4th(110) <      > 	V106 - M 97	= +9  %+8  	q= -4  %-4  	 0.610(94)<-----%8   %4

i=  7--<2528 2519   9>,   	 G2 --   1/4th.(165) <      > 	V159 - M193	=-34  %-21  	q= -6  %-4  	 0.917(94)<-----%21   %4

i=  8--<2362 2318  44>,   	 F2 --   1/32nd( 13) <      > 	V 15 - M 14	= +1  %+7  	q= +2  %+13  	 0.081(94)
i=  9--<2655 2653   2>,   	Ak2 --  1/64th.( 10) <      > 	V 10 - M 11	= -1  %-10  	q=  +  %+0  	 0.052(94)
i= 10--<2525 2519   6>,   	 G2 --    1/4th(110) <      > 	V103 - M 97	= +6  %+6  	q= -7  %-7  	 0.592(94)
i= 11--<2669 2653  16>,   	Ak2 -- 1/32nd..( 24) <      > 	V 25 - M 25	=  +  %+0  	q= +1  %+4  	 0.139(94)
i= 12--<2772 2797 -25>,   	Bb2 --   1/32nd( 13) <      > 	V 14 - M 12	= +2  %+14  	q= +1  %+7  	 0.075(94)
i= 13--<2544 2519  25>,   	 G2 -- 1/16th..( 48) <      > 	V 49 - M 49	=  +  %+0  	q= +1  %+2  	 0.279(94)
i= 14--<1243 2797 -1554>,   	Bb2 --  1/64th.( 10) <      > 	V 11 - M 11	=  +  %+0  	q= +1  %+9  	 0.058(94)
i= 15--<2399 2519 -120>,   	 G2 --  1/16th.( 41) <      > 	V 36 - M 28	= +8  %+22  	q= -5  %-14  	 0.203(94)<-----%22   %14



silence
i= 16--<   0   40 -40>,   	Slc --     half(220) <      > 	V211 - M198	=+13  %+6  	q= -9  %-4  	 1.219(94)
i= 17--<1567 1327 240>,   	 G1 --  1/32nd.( 20) <      > 	V 21 - M 21	=  +  %+0  	q= +1  %+5  	 0.116(94)
i= 18--<2322 2318   4>,   	 F2 --  1/4th..(192) <      > 	V201 - M193	= +8  %+4  	q= +9  %+4  	 1.161(94)
i= 19--<2664 2653  11>,   	Ak2 --   1/16th( 27) <      > 	V 26 - M 25	= +1  %+4  	q= -1  %-4  	 0.145(94)
i= 20--<2823 2797  26>,   	Bb2 --   1/32nd( 13) <      > 	V 15 - M 14	= +1  %+7  	q= +2  %+13  	 0.081(94)
i= 21--<2510 2519  -9>,   	 G2 --    1/4th(110) <1*sela> 	V134 - M111	=+23  %+17  	q=+24  %+18  	 0.772(94)
i= 22--<2678 2653  25>,   	Ak2 --  1/64th.( 10) <      > 	V 10 - M 11	= -1  %-10  	q=  +  %+0  	 0.052(94)
i= 23--<2513 2519  -6>,   	 G2 --   1/16th( 27) <      > 	V 32 - M 28	= +4  %+12  	q= +5  %+16  	 0.180(94)
i= 24--<2348 2318  30>,   	 F2 --     half(220) <      > 	V209 - M193	=+16  %+8  	q=-11  %-5  	 1.207(94)
i= 25--<2645 2653  -8>,   	Ak2 --   1/16th( 27) <      > 	V 27 - M 25	= +2  %+7  	q=  +  %+0  	 0.151(94)
i= 26--<2840 2797  43>,   	Bb2 --  1/32nd.( 20) <      > 	V 17 - M 14	= +3  %+18  	q= -3  %-18  	 0.093(94)
i= 27--<2528 2519   9>,   	 G2 --   1/8th.( 82) <      > 	V 83 - M 83	=  +  %+0  	q= +1  %+1  	 0.476(94)
i= 28--<2840 2797  43>,   	Bb2 --   1/32nd( 13) <      > 	V 13 - M 12	= +1  %+8  	q=  +  %+0  	 0.070(94)
i= 29--<2668 2653  15>,   	Ak2 --   1/16th( 27) <      > 	V 30 - M 28	= +2  %+7  	q= +3  %+10  	 0.168(94)
i= 30--<2527 2519   8>,   	 G2 --   1/16th( 27) <      > 	V 29 - M 25	= +4  %+14  	q= +2  %+7  	 0.163(94)<-----%14   %7

i= 31--<2629 2653 -24>,   	Ak2 --   1/32nd( 13) <      > 	V 14 - M 14	=  +  %+0  	q= +1  %+7  	 0.075(94)
i= 32--<2326 2318   8>,   	 F2 -- 1/16th..( 48) <      > 	V 47 - M 42	= +5  %+11  	q= -1  %-2  	 0.267(94)<-----%11   %2

i= 33--<2417 2519 -102>,   	 G2 --  1/64th.( 10) <      > 	V 11 - M 11	=  +  %+0  	q= +1  %+9  	 0.058(94)
i= 34--<2185 2152  33>,   	Ek2 --    1/8th( 55) <      > 	V 54 - M 49	= +5  %+9  	q= -1  %-2  	 0.308(94)<-----%9   %2

i= 35--<2303 2318 -15>,   	 F2 --   1/32nd( 13) <      > 	V 15 - M 14	= +1  %+7  	q= +2  %+13  	 0.081(94)
i= 36--<2040 2027  13>,   	 D2 --    1/8th( 55) <      > 	V 65 - M 56	= +9  %+14  	q=+10  %+15  	 0.372(94)
i= 37--<2162 2152  10>,   	Ek2 --   1/32nd( 13) <      > 	V 15 - M 14	= +1  %+7  	q= +2  %+13  	 0.081(94)
i= 38--<1831 1827   4>,   	 C2 --   1/8th.( 82) <      > 	V 72 - M 56	=+16  %+22  	q=-10  %-14  	 0.412(94)<-----%22   %14

i= 39--<2024 2027  -3>,   	 D2 --   1/8th.( 82) <      > 	V 84 - M 83	= +1  %+1  	q= +2  %+2  	 0.482(94)
i= 40--<2173 2152  21>,   	Ek2 --   1/8th.( 82) <      > 	V 74 - M 56	=+18  %+24  	q= -8  %-11  	 0.424(94)<-----%24   %11

i= 41--<2050 2027  23>,   	 D2 --   1/32nd( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(94)
i= 42--<2338 2318  20>,   	 F2 --  1/8th..( 96) <      > 	V 92 - M 83	= +9  %+10  	q= -4  %-4  	 0.528(94)<-----%10   %4

i= 43--<2520 2519   1>,   	 G2 --    1/8th( 55) <      > 	V 64 - M 56	= +8  %+12  	q= +9  %+14  	 0.366(94)
i= 44--<2646 2653  -7>,   	Ak2 -- 1/16th..( 48) <      > 	V 47 - M 42	= +5  %+11  	q= -1  %-2  	 0.267(94)<-----%11   %2

i= 45--<2551 2519  32>,   	 G2 --   1/16th( 27) <      > 	V 31 - M 28	= +3  %+10  	q= +4  %+13  	 0.174(94)
i= 46--<2996 3019 -23>,   	 C3 -- 1/16th..( 48) <      > 	V 50 - M 49	= +1  %+2  	q= +2  %+4  	 0.284(94)
i= 47--<3199 3219 -20>,   	 D3 --   1/32nd( 13) <      > 	V 15 - M 14	= +1  %+7  	q= +2  %+13  	 0.081(94)
i= 48--<2821 2797  24>,   	Bb2 --     half(220) <3*sela> 	V262 - M221	=+41  %+16  	q=+42  %+16  	 1.515(94)
i= 49--<2674 2653  21>,   	Ak2 -- 1/16th..( 48) <      > 	V 49 - M 49	=  +  %+0  	q= +1  %+2  	 0.279(94)
i= 50--<2522 2519   3>,   	 G2 --  1/16th.( 41) <      > 	V 42 - M 42	=  +  %+0  	q= +1  %+2  	 0.238(94)


silence
i= 51--<   0   40 -40>,   	Slc --   1/4th.(165) <      > 	V156 - M166	=-10  %-6  	q= -9  %-6  	 0.900(94)
i= 52--<1765 1527 238>,   	 A1 --  1/32nd.( 20) <      > 	V 21 - M 21	=  +  %+0  	q= +1  %+5  	 0.116(94)
i= 53--<2727 2797 -70>,   	Bb2 --   1/8th.( 82) <      > 	V 73 - M 56	=+17  %+23  	q= -9  %-12  	 0.418(94)<-----%23   %12

i= 54--<2678 2653  25>,   	Ak2 --   1/32nd( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(94)
i= 55--<2755 2797 -42>,   	Bb2 --  1/64th.( 10) <      > 	V  7 - M  7	=  +  %+0  	q= -3  %-43  	 0.035(94)
i= 56--<2522 2519   3>,   	 G2 -- 1/32nd..( 24) <      > 	V 22 - M 21	= +1  %+5  	q= -2  %-9  	 0.122(94)
i= 57--<2673 2653  20>,   	Ak2 --  1/32nd.( 20) <      > 	V 21 - M 21	=  +  %+0  	q= +1  %+5  	 0.116(94)
i= 58--<2768 2797 -29>,   	Bb2 --   1/64th(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(94)
i= 59--<2650 2653  -3>,   	Ak2 --  1/32nd.( 20) <      > 	V 17 - M 14	= +3  %+18  	q= -3  %-18  	 0.093(94)
i= 60--<2824 2797  27>,   	Bb2 -- 1/32nd..( 24) <      > 	V 25 - M 25	=  +  %+0  	q= +1  %+4  	 0.139(94)
i= 61--<2954 3019 -65>,   	 C3 --    128th(  3) <      > 	V  4 - M  4	=  +  %+0  	q= +1  %+25  	 0.017(94)
i= 62--<2667 2797 -130>,   	Bb2 --  1/32nd.( 20) <      > 	V 19 - M 21	= -2  %-11  	q= -1  %-5  	 0.104(94)
i= 63--<3002 3019 -17>,   	 C3 --  1/16th.( 41) <      > 	V 36 - M 28	= +8  %+22  	q= -5  %-14  	 0.203(94)<-----%22   %14

i= 64--<2692 2653  39>,   	Ak2 --  1/32nd.( 20) <      > 	V 18 - M 14	= +4  %+22  	q= -2  %-11  	 0.099(94)<-----%22   %11

i= 65--<2801 2797   4>,   	Bb2 --   1/4th.(165) <      > 	V172 - M166	= +6  %+3  	q= +7  %+4  	 0.993(94)
i= 66--<2533 2519  14>,   	 G2 -- 1/64th..( 12) <      > 	V 12 - M 11	= +1  %+8  	q=  +  %+0  	 0.064(94)
i= 67--<2517 2653 -136>,   	Ak2 --    1/8th( 55) <      > 	V 53 - M 49	= +4  %+8  	q= -2  %-4  	 0.302(94)
i= 68--<2456 2519 -63>,   	 G2 --    1/8th( 55) <      > 	V 64 - M 56	= +8  %+12  	q= +9  %+14  	 0.366(94)
