	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1835 2037 -202>,  	Ek2 --  1/16th.( 50) <      > 	V 51 - M 33	=+18  %+35  	q= +1  %+2  	 0.290(77)<-----%35   %2

printNotes: i=  2-<2619 2653 -34>,  	Bb2 --  1/4th..(234) <      > 	V222 - M234	=-12  %-5  	q=-12  %-5  	 1.283(77)
printNotes: i=  3-<2835 2887 -52>,  	 C3 --  1/64th.( 13) <      > 	V 12 - M 33	=-21  %-175  	q= -1  %-8  	 0.064(77)<-----%175   %8 <<

printNotes: i=  4-<2570 2587 -17>,  	 A2 --  1/4th..(234) <      > 	V219 - M201	=+18  %+8  	q=-15  %-7  	 1.265(77)
printNotes: i=  5-<2637 2653 -16>,  	Bb2 --   1/4th.(201) <      > 	V205 - M234	=-29  %-14  	q= +4  %+2  	 1.184(77)<-----%14   %2

printNotes: i=  6-<2852 2887 -35>,  	 C3 --  1/64th.( 13) <      > 	V 12 - M 33	=-21  %-175  	q= -1  %-8  	 0.064(77)<-----%175   %8 <<

printNotes: i=  7-<2589 2587   2>,  	 A2 --   1/4th.(201) <-1*sela> 	V179 - M134	=+45  %+25  	q=-22  %-12  	 1.033(77)<-----%25   %12

printNotes: i=  8-<2614 2653 -39>,  	Bb2 --  1/8th..(117) <      > 	V116 - M150	=-34  %-29  	q= -1  %-1  	 0.668(77)<-----%29   %1

printNotes: i=  9-<2878 2887  -9>,  	 C3 --  1/64th.( 13) <      > 	V 11 - M 17	= -6  %-55  	q= -2  %-18  	 0.058(77)<-----%55   %18 <<

printNotes: i= 10-<2657 2653   4>,  	Bb2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(77)
printNotes: i= 11-<2895 2887   8>,  	 C3 --  1/64th.( 13) <      > 	V 14 - M 17	= -3  %-21  	q= +1  %+7  	 0.075(77)<-----%21   %7 <<

printNotes: i= 12-<2600 2587  13>,  	 A2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(77)
printNotes: i= 13-<2657 2653   4>,  	Bb2 --  1/32nd.( 25) <      > 	V 25 - M 33	= -8  %-32  	q=  +  %+0  	 0.139(77)<-----%32   %0

printNotes: i= 14-<2590 2587   3>,  	 A2 --    1/4th(134) <      > 	V128 - M201	=-73  %-57  	q= -6  %-5  	 0.737(77)<-----%57   %5

printNotes: i= 15-<2397 2392   5>,  	 G2 --    1/8th( 67) <      > 	V 76 - M 67	= +9  %+12  	q= +9  %+12  	 0.435(77)
printNotes: i= 16-<2190 2182   8>,  	 F2 --   1/16th( 33) <      > 	V 32 - M 33	= -1  %-3  	q= -1  %-3  	 0.180(77)


silence
printNotes: i= 17-<   0   40 -40>,  	Slc --   1/4th.(201) <-1*sela> 	V174 - M134	=+40  %+23  	q=-27  %-16  	 1.004(77)<-----%23   %16

printNotes: i= 18-<1835 1887 -52>,  	 D2 --   1/16th( 33) <      > 	V 32 - M 33	= -1  %-3  	q= -1  %-3  	 0.180(77)
printNotes: i= 19-<2579 2587  -8>,  	 A2 --   1/4th.(201) <-1*sela> 	V172 - M201	=-29  %-17  	q=-29  %-17  	 0.993(77)
printNotes: i= 20-<2384 2392  -8>,  	 G2 --    1/4th(134) <      > 	V135 - M134	= +1  %+1  	q= +1  %+1  	 0.778(77)
printNotes: i= 21-<2039 2182 -143>,  	 F2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)
printNotes: i= 22-<2544 2587 -43>,  	 A2 --    1/4th(134) <      > 	V146 - M134	=+12  %+8  	q=+12  %+8  	 0.842(77)
