	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<2126 2378 -252>,  	 G2 -- 1/16th..( 56) <      > 	V 58 - M 32	=+26  %+45  	q= +2  %+3  	 0.331(81)<-----%45   %3

printNotes: i=  2-<2841 2844  -3>,  	 C3 --     half(254) <      > 	V246 - M254	= -8  %-3  	q= -8  %-3  	 1.422(81)
printNotes: i=  3-<2708 2754 -46>,  	Bk2 --  1/16th.( 48) <      > 	V 42 - M 48	= -6  %-14  	q= -6  %-14  	 0.238(81)
printNotes: i=  4-<2849 2844   5>,  	 C3 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i=  5-<2452 2754 -302>,  	Bk2 --  1/32nd.( 24) <      > 	V 21 - M 32	=-11  %-52  	q= -3  %-14  	 0.116(81)<-----%52   %14

printNotes: i=  6-<2249 2844 -595>,  	 C3 --  1/32nd.( 24) <      > 	V 24 - M 32	= -8  %-33  	q=  +  %+0  	 0.134(81)<-----%33   %0

printNotes: i=  7-<2372 3065 -693>,  	 D3 --    128th(  4) <      > 	V  5 - M 16	=-11  %-220  	q= +1  %+20  	 0.023(81)<-----%220   %20 <<

printNotes: i=  8-<2657 2844 -187>,  	 C3 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(81)<-----%113   %7 <<

printNotes: i=  9-<3113 3065  48>,  	 D3 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(81)
printNotes: i= 10-<2690 2704 -14>,  	Bb2 --    1/4th(127) <1*sela> 	V151 - M127	=+24  %+16  	q=+24  %+16  	 0.871(81)
printNotes: i= 11-<2576 2574   2>,  	 A2 --    1/8th( 63) <      > 	V 66 - M 63	= +3  %+5  	q= +3  %+5  	 0.377(81)
printNotes: i= 12-<2671 2704 -33>,  	Bb2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(81)<-----%28   %4

printNotes: i= 13-<2868 2844  24>,  	 C3 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(81)<-----%60   %20 <<

printNotes: i= 14-<2676 2704 -28>,  	Bb2 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(81)<-----%68   %16

printNotes: i= 15-<2870 2844  26>,  	 C3 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 16-<2575 2574   1>,  	 A2 --   1/4th.(190) <      > 	V175 - M190	=-15  %-9  	q=-15  %-9  	 1.010(81)
printNotes: i= 17-<2384 2378   6>,  	 G2 --    1/8th( 63) <      > 	V 65 - M 63	= +2  %+3  	q= +2  %+3  	 0.372(81)
printNotes: i= 18-<1902 2574 -672>,  	 A2 -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(81)<-----%19   %4

printNotes: i= 19-<2687 2704 -17>,  	Bb2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(81)<-----%45   %9 <<

printNotes: i= 20-<2582 2574   8>,  	 A2 --   1/32nd( 16) <      > 	V 18 - M 32	=-14  %-78  	q= +2  %+11  	 0.099(81)<-----%78   %11

printNotes: i= 21-<2567 2704 -137>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 22-<2347 2378 -31>,  	 G2 --  1/16th.( 48) <      > 	V 47 - M 63	=-16  %-34  	q= -1  %-2  	 0.267(81)<-----%34   %2



silence
printNotes: i= 23-<   0   40 -40>,  	Slc --     half(254) <      > 	V250 - M222	=+28  %+11  	q= -4  %-2  	 1.445(81)<-----%11   %2

printNotes: i= 24-<2185 2378 -193>,  	 G2 --  1/16th.( 48) <      > 	V 43 - M 32	=+11  %+26  	q= -5  %-12  	 0.244(81)<-----%26   %12

printNotes: i= 25-<3051 3065 -14>,  	 D3 --   1/4th.(190) <-1*sela> 	V160 - M190	=-30  %-19  	q=-30  %-19  	 0.923(81)
printNotes: i= 26-<2843 2844  -1>,  	 C3 --   1/8th.( 95) <      > 	V 85 - M 63	=+22  %+26  	q=-10  %-12  	 0.488(81)<-----%26   %12

printNotes: i= 27-<2914 3065 -151>,  	 D3 -- 1/32nd..( 28) <      > 	V 26 - M 32	= -6  %-23  	q= -2  %-8  	 0.145(81)<-----%23   %8

printNotes: i= 28-<2549 2844 -295>,  	 C3 --   1/32nd( 16) <      > 	V 18 - M 32	=-14  %-78  	q= +2  %+11  	 0.099(81)<-----%78   %11

printNotes: i= 29-<2776 3065 -289>,  	 D3 --  1/32nd.( 24) <      > 	V 22 - M 32	=-10  %-45  	q= -2  %-9  	 0.122(81)<-----%45   %9

printNotes: i= 30-<3203 3215 -12>,  	Ek3 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(81)<-----%78   %33 <<

printNotes: i= 31-<3072 3065   7>,  	 D3 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(81)<-----%113   %7 <<

printNotes: i= 32-<3217 3215   2>,  	Ek3 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(81)<-----%33   %0 <<

printNotes: i= 33-<2838 2844  -6>,  	 C3 --   1/8th.( 95) <      > 	V 99 - M127	=-28  %-28  	q= +4  %+4  	 0.569(81)<-----%28   %4

printNotes: i= 34-<2705 2704   1>,  	Bb2 -- 1/16th..( 56) <      > 	V 59 - M 63	= -4  %-7  	q= +3  %+5  	 0.337(81)
printNotes: i= 35-<3383 2574 809>,  	 A2 --   1/8th.( 95) <      > 	V 95 - M 63	=+32  %+34  	q=  +  %+0  	 0.546(81)<-----%34   %0



silence
printNotes: i= 36-<   0   40 -40>,  	Slc --  1/16th.( 48) <      > 	V 44 - M 63	=-19  %-43  	q= -4  %-9  	 0.250(81)<-----%43   %9

printNotes: i= 37-<2181 2378 -197>,  	 G2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(81)
printNotes: i= 38-<2825 2844 -19>,  	 C3 --   1/8th.( 95) <      > 	V 83 - M127	=-44  %-53  	q=-12  %-14  	 0.476(81)<-----%53   %14

printNotes: i= 39-<2696 2754 -58>,  	Bk2 --  1/32nd.( 24) <      > 	V 20 - M 32	=-12  %-60  	q= -4  %-20  	 0.110(81)<-----%60   %20

printNotes: i= 40-<2847 2844   3>,  	 C3 -- 1/32nd..( 28) <      > 	V 26 - M 32	= -6  %-23  	q= -2  %-8  	 0.145(81)<-----%23   %8

printNotes: i= 41-<3131 3065  66>,  	 D3 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(81)<-----%129   %0 <<

printNotes: i= 42-<2787 2844 -57>,  	 C3 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 43-<2856 3065 -209>,  	 D3 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(81)<-----%129   %0 <<

printNotes: i= 44-<2653 2704 -51>,  	Bb2 --    1/4th(127) <1*sela> 	V143 - M127	=+16  %+11  	q=+16  %+11  	 0.824(81)
printNotes: i= 45-<2600 2574  26>,  	 A2 --    1/8th( 63) <      > 	V 73 - M 63	=+10  %+14  	q=+10  %+14  	 0.418(81)
printNotes: i= 46-<2669 2704 -35>,  	Bb2 --   1/16th( 32) <      > 	V 30 - M 16	=+14  %+47  	q= -2  %-7  	 0.168(81)<-----%47   %7

printNotes: i= 47-<2849 2844   5>,  	 C3 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(81)<-----%78   %33 <<

printNotes: i= 48-<2729 2704  25>,  	Bb2 --    128th(  4) <      > 	V  2 - M 16	=-14  %-700  	q= -2  %-100  	 0.006(81)<-----%700   %100 <<

printNotes: i= 49-<2698 2844 -146>,  	 C3 --    128th(  4) <      > 	V  3 - M 16	=-13  %-433  	q= -1  %-33  	 0.012(81)<-----%433   %33 <<

printNotes: i= 50-<2566 2574  -8>,  	 A2 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(81)<-----%14   %0

printNotes: i= 51-<2643 2704 -61>,  	Bb2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 52-<2567 2574  -7>,  	 A2 --  1/8th..(111) <      > 	V106 - M127	=-21  %-20  	q= -5  %-5  	 0.610(81)<-----%20   %5

printNotes: i= 53-<2401 2378  23>,  	 G2 -- 1/16th..( 56) <      > 	V 57 - M 63	= -6  %-11  	q= +1  %+2  	 0.325(81)<-----%11   %2

printNotes: i= 54-<2584 2574  10>,  	 A2 --  1/32nd.( 24) <      > 	V 25 - M 16	= +9  %+36  	q= +1  %+4  	 0.139(81)<-----%36   %4

printNotes: i= 55-<1208 2704 -1496>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(81)<-----%23   %8 <<

printNotes: i= 56-<2581 2574   7>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 57-<2697 2704  -7>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 58-<2386 2378   8>,  	 G2 --   1/4th.(190) <      > 	V193 - M254	=-61  %-32  	q= +3  %+2  	 1.115(81)<-----%32   %2

printNotes: i= 59-<2180 2159  21>,  	 F2 --    1/8th( 63) <      > 	V 73 - M 63	=+10  %+14  	q=+10  %+14  	 0.418(81)
printNotes: i= 60-<2360 2378 -18>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 48	=-16  %-50  	q=  +  %+0  	 0.180(81)<-----%50   %0

printNotes: i= 61-<2175 2159  16>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i= 62-<1919 2378 -459>,  	 G2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(81)<-----%60   %20 <<

printNotes: i= 63-<1951 2159 -208>,  	 F2 --  1/16th.( 48) <      > 	V 49 - M 16	=+33  %+67  	q= +1  %+2  	 0.279(81)<-----%67   %2

printNotes: i= 64-<1954 2378 -424>,  	 G2 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(81)<-----%167   %0 <<

printNotes: i= 65-<1568 2159 -591>,  	 F2 --    128th(  4) <      > 	V  4 - M 32	=-28  %-700  	q=  +  %+0  	 0.017(81)<-----%700   %0 <<

printNotes: i= 66-<2018 2008  10>,  	Ek2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 67-<2107 2159 -52>,  	 F2 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(81)<-----%167   %0 <<

