	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1814 1882 -68>,  	 D2 --     half(246) <2*sela> 	V288 - M154	=+134  %+47  	q=+42  %+15  	 1.666(84)<-----%47   %15

printNotes: i=  2-<1895 1882  13>,  	 D2 --    1/4th(123) <      > 	V123 - M123	=  +  %+0  	q=  +  %+0  	 0.708(84)<-- same note
printNotes: i=  3-<2275 2362 -87>,  	 G2 --   1/32nd( 15) <      > 	V 16 - M 31	=-15  %-94  	q= +1  %+6  	 0.087(84)<-----%94   %6 <<

printNotes: i=  4-<2362 2362    >,  	 G2 --     half(246) <      > 	V240 - M246	= -6  %-2  	q= -6  %-2  	 1.387(84)<-- same note
printNotes: i=  5-<2160 2152   8>,  	 F2 --  1/32nd.( 23) <      > 	V 21 - M 31	=-10  %-48  	q= -2  %-10  	 0.116(84)<-----%48   %10

printNotes: i=  6-<2355 2362  -7>,  	 G2 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(84)
printNotes: i=  7-<1852 2152 -300>,  	 F2 --   1/4th.(184) <-1*sela> 	V167 - M123	=+44  %+26  	q=-17  %-10  	 0.964(84)<-----%26   %10

printNotes: i=  8-<2141 2152 -11>,  	 F2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i=  9-<2359 2362  -3>,  	 G2 --    1/4th(123) <1*sela> 	V141 - M184	=-43  %-30  	q=+18  %+13  	 0.813(84)<-----%30   %13

printNotes: i= 10-<2225 2152  73>,  	 F2 --    1/8th( 61) <      > 	V 75 - M 31	=+44  %+59  	q=+14  %+19  	 0.430(84)<-----%59   %19



silence
printNotes: i= 11-<   0   40 -40>,  	Slc --   1/4th.(184) <      > 	V177 - M215	=-38  %-21  	q= -7  %-4  	 1.022(84)<-----%21   %4

printNotes: i= 12-<2267 2362 -95>,  	 G2 --   1/8th.( 92) <      > 	V 95 - M 31	=+64  %+67  	q= +3  %+3  	 0.546(84)<-----%67   %3

printNotes: i= 13-<2558 2556   2>,  	 A2 --     half(246) <      > 	V238 - M246	= -8  %-3  	q= -8  %-3  	 1.376(84)
printNotes: i= 14-<2363 2362   1>,  	 G2 --  1/8th..(108) <      > 	V103 - M123	=-20  %-19  	q= -5  %-5  	 0.592(84)<-----%19   %5

printNotes: i= 15-<2366 2362   4>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
