	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1839 1852 -13>,  	 D2 --    1/4th(127) <1*sela> 	V158 - M127	=+31  %+20  	q=+31  %+20  	 0.911(82)
printNotes: i=  2-< 559 2352 -1793>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(82)
printNotes: i=  3-<2278 2352 -74>,  	 G2 --   1/4th.(190) <      > 	V201 - M253	=-52  %-26  	q=+11  %+5  	 1.161(82)<-- same note<-----%26   %5

printNotes: i=  4-<2554 2555  -1>,  	 A2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(82)


silence
printNotes: i=  5-<2327   40 2287>,  	Slc --    128th(  4) <      > 	V  4 - M 16	=-12  %-300  	q=  +  %+0  	 0.017(82)<-----%300   %0 <<

printNotes: i=  6-<2351 2352  -1>,  	 G2 --   1/4th.(190) <      > 	V189 - M253	=-64  %-34  	q= -1  %-1  	 1.091(82)<-----%34   %1



silence
printNotes: i=  7-<   0   40 -40>,  	Slc --     half(253) <3*sela> 	V314 - M253	=+61  %+19  	q=+61  %+19  	 1.817(82)
printNotes: i=  8-<1700 1852 -152>,  	 D2 --   1/8th.( 95) <      > 	V102 - M 95	= +7  %+7  	q= +7  %+7  	 0.586(82)
printNotes: i=  9-<1485 2352 -867>,  	 G2 --    1/8th( 63) <      > 	V 70 - M 32	=+38  %+54  	q= +7  %+10  	 0.401(82)<-----%54   %10

printNotes: i= 10-<2354 2352   2>,  	 G2 --     half(253) <      > 	V253 - M253	=  +  %+0  	q=  +  %+0  	 1.463(82)<-- same note
printNotes: i= 11-<2371 2352  19>,  	 G2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(82)<-- same note
printNotes: i= 12-<2509 2555 -46>,  	 A2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(82)<-----%10   %3

printNotes: i= 13-<2363 2352  11>,  	 G2 --  1/16th.( 48) <      > 	V 45 - M 32	=+13  %+29  	q= -3  %-7  	 0.255(82)<-----%29   %7

printNotes: i= 14-<2540 2555 -15>,  	 A2 --   1/16th( 32) <      > 	V 33 - M 48	=-15  %-45  	q= +1  %+3  	 0.186(82)<-----%45   %3

