	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1358 1182 176>,  	 G1 --  1/32nd.( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(86)
printNotes: i=  2-<1852 1882 -30>,  	 D2 --   1/4th.(181) <      > 	V186 - M181	= +5  %+3  	q= +5  %+3  	 1.074(86)
printNotes: i=  3-<1707 1682  25>,  	 C2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(86)
printNotes: i=  4-<1889 1882   7>,  	 D2 --   1/4th.(181) <      > 	V190 - M181	= +9  %+5  	q= +9  %+5  	 1.097(86)
printNotes: i=  5-<2356 2362  -6>,  	 G2 --     half(241) <      > 	V255 - M257	= -2  %-1  	q=+14  %+5  	 1.474(86)
printNotes: i=  6-<2160 2152   8>,  	 F2 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(86)
printNotes: i=  7-<2355 2362  -7>,  	 G2 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(86)
printNotes: i=  8-<1897 2152 -255>,  	 F2 --  1/4th..(211) <      > 	V198 - M211	=-13  %-7  	q=-13  %-7  	 1.144(86)
printNotes: i=  9-<2359 2362  -3>,  	 G2 --    1/4th(121) <1*sela> 	V141 - M121	=+20  %+14  	q=+20  %+14  	 0.813(86)
printNotes: i= 10-<2205 2152  53>,  	 F2 --    1/8th( 60) <      > 	V 66 - M 60	= +6  %+9  	q= +6  %+9  	 0.377(86)
printNotes: i= 11-<2372 2362  10>,  	 G2 --  1/64th.( 11) <      > 	V  9 - M  8	= +1  %+11  	q= -2  %-22  	 0.046(86)


silence
printNotes: i= 12-<   0   40 -40>,  	Slc --   1/4th.(181) <      > 	V177 - M187	=-10  %-6  	q= -4  %-2  	 1.022(86)
printNotes: i= 13-<2105 2152 -47>,  	 F2 --   1/16th( 30) <      > 	V 37 - M 30	= +7  %+19  	q= +7  %+19  	 0.209(86)
printNotes: i= 14-<2371 2362   9>,  	 G2 --    1/8th( 60) <      > 	V 58 - M 60	= -2  %-3  	q= -2  %-3  	 0.331(86)
printNotes: i= 15-<2558 2556   2>,  	 A2 --     half(241) <      > 	V238 - M241	= -3  %-1  	q= -3  %-1  	 1.376(86)
printNotes: i= 16-<2364 2362   2>,  	 G2 --    1/4th(121) <      > 	V134 - M136	= -2  %-1  	q=+13  %+10  	 0.772(86)
printNotes: i= 17-<2555 2556  -1>,  	 A2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(86)
printNotes: i= 18-<2374 2362  12>,  	 G2 --  1/16th.( 45) <      > 	V 40 - M 45	= -5  %-12  	q= -5  %-12  	 0.226(86)
printNotes: i= 19-<2563 2556   7>,  	 A2 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(86)
printNotes: i= 20-<2410 2362  48>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(86)
printNotes: i= 21-<2558 2556   2>,  	 A2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(86)
printNotes: i= 22-<2120 2362 -242>,  	 G2 -- 1/32nd..( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(86)
printNotes: i= 23-<2011 2152 -141>,  	 F2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(86)
printNotes: i= 24-<2075 2362 -287>,  	 G2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(86)
printNotes: i= 25-<2143 2152  -9>,  	 F2 --  1/32nd.( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(86)
printNotes: i= 26-<2262 2362 -100>,  	 G2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(86)
printNotes: i= 27-<1976 1992 -16>,  	Ek2 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(86)
printNotes: i= 28-<2124 2152 -28>,  	 F2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(86)
printNotes: i= 29-<1998 1992   6>,  	Ek2 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(86)
printNotes: i= 30-<2192 2152  40>,  	 F2 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(86)
printNotes: i= 31-<2321 2362 -41>,  	 G2 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(86)
printNotes: i= 32-<2192 2152  40>,  	 F2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(86)
printNotes: i= 33-<2096 2362 -266>,  	 G2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(86)
printNotes: i= 34-<2548 2556  -8>,  	 A2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(86)
printNotes: i= 35-<2166 2152  14>,  	 F2 --  1/32nd.( 23) <      > 	V 19 - M 23	= -4  %-21  	q= -4  %-21  	 0.104(86)
printNotes: i= 36-<2348 2362 -14>,  	 G2 --  1/16th.( 45) <      > 	V 42 - M 45	= -3  %-7  	q= -3  %-7  	 0.238(86)
printNotes: i= 37-<2157 2152   5>,  	 F2 --    half.(362) <-3*sela> 	V305 - M241	=+64  %+21  	q=-57  %-19  	 1.765(86)
printNotes: i= 38-<2033 1992  41>,  	Ek2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(86)
