	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1786 2039 -253>,  	 F2 --    1/8th( 64) <      > 	V 68 - M 32	=+36  %+53  	q= +4  %+6  	 0.389(81)<-----%53   %6

printNotes: i=  2-<2212 2217  -5>,  	 G2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(81)
printNotes: i=  3-<2387 2402 -15>,  	 A2 --   1/4th.(192) <      > 	V195 - M192	= +3  %+2  	q= +3  %+2  	 1.126(81)


silence
printNotes: i=  4-<   0   40 -40>,  	Slc -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(81)<-----%19   %4

printNotes: i=  5-<2321 2402 -81>,  	 A2 --  1/16th.( 48) <      > 	V 50 - M 32	=+18  %+36  	q= +2  %+4  	 0.284(81)<-----%36   %4

printNotes: i=  6-<2451 2480 -29>,  	Bb2 --   1/32nd( 16) <      > 	V 18 - M 32	=-14  %-78  	q= +2  %+11  	 0.099(81)<-----%78   %11

printNotes: i=  7-<2396 2402  -6>,  	 A2 --  1/16th.( 48) <      > 	V 42 - M 32	=+10  %+24  	q= -6  %-14  	 0.238(81)<-----%24   %14

printNotes: i=  8-<2473 2480  -7>,  	Bb2 --  1/32nd.( 24) <      > 	V 20 - M 32	=-12  %-60  	q= -4  %-20  	 0.110(81)<-----%60   %20

printNotes: i=  9-<2425 2402  23>,  	 A2 --   1/16th( 32) <      > 	V 39 - M 16	=+23  %+59  	q= +7  %+18  	 0.221(81)<-----%59   %18

printNotes: i= 10-<2514 2902 -388>,  	 D3 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i= 11-<1754 2402 -648>,  	 A2 --    1/8th( 64) <      > 	V 76 - M 32	=+44  %+58  	q=+12  %+16  	 0.435(81)<-----%58   %16



silence
printNotes: i= 12-<   0   40 -40>,  	Slc --   1/8th.( 96) <      > 	V 86 - M128	=-42  %-49  	q=-10  %-12  	 0.493(81)<-----%49   %12

printNotes: i= 13-<1820 1939 -119>,  	 E2 --  1/16th.( 48) <      > 	V 45 - M 32	=+13  %+29  	q= -3  %-7  	 0.255(81)<-----%29   %7

printNotes: i= 14-<2447 2480 -33>,  	Bb2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(81)
