	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1796 1985 -189>,  	 F2 --  1/4th..(207) <      > 	V210 - M148	=+62  %+30  	q= +3  %+1  	 1.213(87)<-----%30   %1

printNotes: i=  2-<1999 1985  14>,  	 F2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)<-- same note
printNotes: i=  3-<2149 2203 -54>,  	 G2 --   1/4th.(178) <-1*sela> 	V156 - M118	=+38  %+24  	q=-22  %-14  	 0.900(87)<-----%24   %14

printNotes: i=  4-<2180 2203 -23>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)<-- same note
printNotes: i=  5-<2408 2400   8>,  	 A2 --     half(237) <      > 	V243 - M178	=+65  %+27  	q= +6  %+2  	 1.405(87)<-----%27   %2



silence
printNotes: i=  6-<   0   40 -40>,  	Slc --   1/8th.( 89) <      > 	V 91 - M118	=-27  %-30  	q= +2  %+2  	 0.522(87)<-----%30   %2

printNotes: i=  7-<2129 2203 -74>,  	 G2 --  1/16th.( 44) <      > 	V 44 - M 30	=+14  %+32  	q=  +  %+0  	 0.250(87)<-----%32   %0

printNotes: i=  8-<2419 2683 -264>,  	 C3 --    1/8th( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(87)
printNotes: i=  9-<2604 2683 -79>,  	 C3 --     half(237) <      > 	V228 - M237	= -9  %-4  	q= -9  %-4  	 1.318(87)<-- same note
printNotes: i= 10-<2444 2526 -82>,  	Bk2 -- 1/64th..( 13) <      > 	V 14 - M 30	=-16  %-114  	q= +1  %+7  	 0.075(87)<-----%114   %7 <<

printNotes: i= 11-<2892 2891   1>,  	 D3 --  1/64th.( 11) <      > 	V 10 - M 30	=-20  %-200  	q= -1  %-10  	 0.052(87)<-----%200   %10 <<

printNotes: i= 12-<2679 2683  -4>,  	 C3 --   1/8th.( 89) <      > 	V 92 - M 30	=+62  %+67  	q= +3  %+3  	 0.528(87)<-----%67   %3

printNotes: i= 13-<2431 2526 -95>,  	Bk2 --   1/32nd( 15) <      > 	V 18 - M 30	=-12  %-67  	q= +3  %+17  	 0.099(87)<-----%67   %17

printNotes: i= 14-<2339 2891 -552>,  	 D3 --  128th..(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(87)<-----%150   %0 <<

printNotes: i= 15-<2668 2683 -15>,  	 C3 --    1/8th( 59) <      > 	V 58 - M 30	=+28  %+48  	q= -1  %-2  	 0.331(87)<-----%48   %2

printNotes: i= 16-<2604 2526  78>,  	Bk2 -- 1/32nd..( 26) <      > 	V 25 - M 30	= -5  %-20  	q= -1  %-4  	 0.139(87)<-----%20   %4

printNotes: i= 17-<2881 2891 -10>,  	 D3 --   1/4th.(178) <      > 	V189 - M178	=+11  %+6  	q=+11  %+6  	 1.091(87)
printNotes: i= 18-<2519 2683 -164>,  	 C3 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(87)
printNotes: i= 19-<2851 2891 -40>,  	 D3 --  1/32nd.( 22) <      > 	V 20 - M 15	= +5  %+25  	q= -2  %-10  	 0.110(87)<-----%25   %10

printNotes: i= 20-<2503 2683 -180>,  	 C3 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(87)
printNotes: i= 21-<2230 2476 -246>,  	Bb2 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(87)<-----%50   %10 <<

printNotes: i= 22-<2466 2683 -217>,  	 C3 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(87)
