	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1637 1496 141>,  	 C2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(84)
printNotes: i=  2-<2550 2673 -123>,  	 C3 --    1/8th( 61) <      > 	V 58 - M 61	= -3  %-5  	q= -3  %-5  	 0.331(84)
printNotes: i=  3-<2572 2536  36>,  	Bk2 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(84)
printNotes: i=  4-<2677 2673   4>,  	 C3 -- 1/16th..( 54) <      > 	V 57 - M 61	= -4  %-7  	q= +3  %+5  	 0.325(84)
printNotes: i=  5-<2883 2886  -3>,  	 D3 --    half.(368) <      > 	V357 - M368	=-11  %-3  	q=-11  %-3  	 2.067(84)
printNotes: i=  6-<2715 2673  42>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(84)
printNotes: i=  7-<2719 3013 -294>,  	Eb3 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(84)
printNotes: i=  8-<2884 2886  -2>,  	 D3 --   half..(429) <-1*sela> 	V411 - M429	=-18  %-4  	q=-18  %-4  	 2.380(84)
printNotes: i=  9-<2703 2673  30>,  	 C3 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(84)
printNotes: i= 10-<2885 2886  -1>,  	 D3 --     half(245) <3*sela> 	V293 - M291	= +2  %+1  	q=+48  %+16  	 1.695(84)
printNotes: i= 11-<2682 2673   9>,  	 C3 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(84)
printNotes: i= 12-<2841 2886 -45>,  	 D3 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(84)
printNotes: i= 13-<2507 2673 -166>,  	 C3 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(84)
printNotes: i= 14-<2903 2886  17>,  	 D3 -- 1/32nd..( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(84)
printNotes: i= 15-<2796 3013 -217>,  	Eb3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 16-<2685 2673  12>,  	 C3 --  1/8th..(107) <      > 	V102 - M107	= -5  %-5  	q= -5  %-5  	 0.586(84)
printNotes: i= 17-<2752 2886 -134>,  	 D3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(84)
printNotes: i= 18-<2531 2536  -5>,  	Bk2 --  1/8th..(107) <      > 	V106 - M107	= -1  %-1  	q= -1  %-1  	 0.610(84)
printNotes: i= 19-<2702 2673  29>,  	 C3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(84)
