	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1550 1539  11>,  	 C2 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(83)
printNotes: i=  2-<2008 2039 -31>,  	 F2 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(83)
printNotes: i=  3-<2212 2217  -5>,  	 G2 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(83)
printNotes: i=  4-<2387 2402 -15>,  	 A2 --   1/4th.(186) <      > 	V195 - M186	= +9  %+5  	q= +9  %+5  	 1.126(83)


silence
printNotes: i=  5-<   0   40 -40>,  	Slc -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(83)
printNotes: i=  6-<2371 2402 -31>,  	 A2 --  1/8th..(109) <      > 	V110 - M109	= +1  %+1  	q= +1  %+1  	 0.633(83)
printNotes: i=  7-<2473 2480  -7>,  	Bb2 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(83)
printNotes: i=  8-<2425 2402  23>,  	 A2 --  1/16th.( 47) <      > 	V 39 - M 31	= +8  %+21  	q= -8  %-21  	 0.221(83)
printNotes: i=  9-<2514 2880 -366>,  	 D3 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 10-<1754 2402 -648>,  	 A2 --    1/8th( 62) <      > 	V 76 - M 62	=+14  %+18  	q=+14  %+18  	 0.435(83)


silence
printNotes: i= 11-<   0   40 -40>,  	Slc --   1/8th.( 93) <      > 	V 86 - M124	=-38  %-44  	q= -7  %-8  	 0.493(83)<-----%44   %8

printNotes: i= 12-<1778 1739  39>,  	 D2 --  1/16th.( 47) <      > 	V 40 - M 47	= -7  %-18  	q= -7  %-18  	 0.226(83)
printNotes: i= 13-<2410 2480 -70>,  	Bb2 --  1/16th.( 47) <      > 	V 39 - M 31	= +8  %+21  	q= -8  %-21  	 0.221(83)
printNotes: i= 14-<2397 2402  -5>,  	 A2 --  1/16th.( 47) <      > 	V 40 - M 47	= -7  %-18  	q= -7  %-18  	 0.226(83)
printNotes: i= 15-<2474 2480  -6>,  	Bb2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(83)
printNotes: i= 16-<1960 2402 -442>,  	 A2 --    1/8th( 62) <      > 	V 77 - M 62	=+15  %+19  	q=+15  %+19  	 0.441(83)
printNotes: i= 17-<2220 2217   3>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)


silence
printNotes: i= 18-<   0   40 -40>,  	Slc --   1/16th( 31) <      > 	V 29 - M 27	= +2  %+7  	q= -2  %-7  	 0.163(83)
printNotes: i= 19-<1980 2039 -59>,  	 F2 --   1/16th( 31) <      > 	V 29 - M 27	= +2  %+7  	q= -2  %-7  	 0.163(83)
printNotes: i= 20-<2215 2217  -2>,  	 G2 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(83)
printNotes: i= 21-<2034 2039  -5>,  	 F2 --   1/8th.( 93) <      > 	V 86 - M 93	= -7  %-8  	q= -7  %-8  	 0.493(83)
printNotes: i= 22-<2236 2217  19>,  	 G2 --    1/8th( 62) <      > 	V 59 - M 62	= -3  %-5  	q= -3  %-5  	 0.337(83)
printNotes: i= 23-<2061 2480 -419>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(83)
printNotes: i= 24-<2144 2217 -73>,  	 G2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(83)


silence
printNotes: i= 25-<   0   40 -40>,  	Slc --     half(248) <      > 	V252 - M248	= +4  %+2  	q= +4  %+2  	 1.457(83)
printNotes: i= 26-<1386 1339  47>,  	Bb1 --  1/16th.( 47) <      > 	V 47 - M 47	=  +  %+0  	q=  +  %+0  	 0.267(83)
printNotes: i= 27-<2352 2480 -128>,  	Bb2 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(83)
printNotes: i= 28-<1833 2402 -569>,  	 A2 -- 1/16th..( 54) <      > 	V 54 - M 54	=  +  %+0  	q=  +  %+0  	 0.308(83)
printNotes: i= 29-<1995 2217 -222>,  	 G2 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(83)
printNotes: i= 30-<1680 2039 -359>,  	 F2 --   1/4th.(186) <-1*sela> 	V170 - M186	=-16  %-9  	q=-16  %-9  	 0.981(83)
printNotes: i= 31-<2199 2217 -18>,  	 G2 --    1/4th(124) <      > 	V126 - M124	= +2  %+2  	q= +2  %+2  	 0.726(83)
