	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1406 1320  86>,  	Bb1 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(83)
printNotes: i=  2-<1836 1843  -7>,  	Ek2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i=  3-<2006 2003   3>,  	 F2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(83)
printNotes: i=  4-<2394 2399  -5>,  	 A2 --     half(249) <      > 	V234 - M218	=+16  %+7  	q=-15  %-6  	 1.353(83)
printNotes: i=  5-<2673 2799 -126>,  	Db3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i=  6-<2397 2399  -2>,  	 A2 --   1/4th.(187) <-1*sela> 	V163 - M187	=-24  %-15  	q=-24  %-15  	 0.940(83)
printNotes: i=  7-<2010 2219 -209>,  	 G2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(83)
printNotes: i=  8-<2297 2399 -102>,  	 A2 --   1/8th.( 93) <      > 	V 83 - M 93	=-10  %-12  	q=-10  %-12  	 0.476(83)


silence
printNotes: i=  9-<   0   40 -40>,  	Slc --  1/32nd.( 23) <      > 	V 24 - M 62	=-38  %-158  	q= +1  %+4  	 0.134(83)<-----%158   %4

printNotes: i= 10-<1837 1720 117>,  	 D2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(83)
printNotes: i= 11-<2378 2399 -21>,  	 A2 --    1/8th( 62) <      > 	V 67 - M 62	= +5  %+7  	q= +5  %+7  	 0.383(83)
printNotes: i= 12-<2248 2219  29>,  	 G2 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(83)
printNotes: i= 13-<2372 2399 -27>,  	 A2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(83)


silence
printNotes: i= 14-<   0   40 -40>,  	Slc --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(83)
printNotes: i= 15-<2377 2399 -22>,  	 A2 --    128th(  4) <      > 	V  1 - M  4	= -3  %-300  	q= -3  %-300  	 0.000(83)
printNotes: i= 16-<2221 2219   2>,  	 G2 --  1/16th.( 47) <      > 	V 40 - M 47	= -7  %-18  	q= -7  %-18  	 0.226(83)
printNotes: i= 17-<2360 2399 -39>,  	 A2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(83)
printNotes: i= 18-<2203 2219 -16>,  	 G2 -- 1/16th..( 54) <      > 	V 51 - M 54	= -3  %-6  	q= -3  %-6  	 0.290(83)
printNotes: i= 19-<2367 2399 -32>,  	 A2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(83)
printNotes: i= 20-<2231 2219  12>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(83)
printNotes: i= 21-<2419 2399  20>,  	 A2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(83)
