	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1332 1301  31>,  	Bb1 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(87)
printNotes: i=  2-<1848 1985 -137>,  	 F2 --   1/4th.(178) <      > 	V189 - M178	=+11  %+6  	q=+11  %+6  	 1.091(87)
printNotes: i=  3-<1999 1985  14>,  	 F2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)<-- same note
printNotes: i=  4-<2149 2203 -54>,  	 G2 --   1/4th.(178) <-1*sela> 	V156 - M178	=-22  %-14  	q=-22  %-14  	 0.900(87)
printNotes: i=  5-<2180 2203 -23>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)<-- same note
printNotes: i=  6-<2395 2400  -5>,  	 A2 --    1/4th(119) <1*sela> 	V144 - M119	=+25  %+17  	q=+25  %+17  	 0.830(87)
printNotes: i=  7-<2536 2576 -40>,  	 B2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(87)
printNotes: i=  8-<2416 2400  16>,  	 A2 --   1/8th.( 89) <      > 	V 89 - M 89	=  +  %+0  	q=  +  %+0  	 0.511(87)


silence
printNotes: i=  9-<   0   40 -40>,  	Slc --   1/8th.( 89) <      > 	V 91 - M119	=-28  %-31  	q= +2  %+2  	 0.522(87)<-----%31   %2

printNotes: i= 10-<1871 1827  44>,  	Ek2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 11-<2216 2203  13>,  	 G2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(87)
printNotes: i= 12-<2658 2683 -25>,  	 C3 --  1/16th.( 45) <      > 	V 47 - M 45	= +2  %+4  	q= +2  %+4  	 0.267(87)
printNotes: i= 13-<1215 2526 -1311>,  	Bk2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(87)
printNotes: i= 14-<2675 2683  -8>,  	 C3 --  1/4th..(208) <      > 	V220 - M208	=+12  %+5  	q=+12  %+5  	 1.271(87)
printNotes: i= 15-<2430 2526 -96>,  	Bk2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(87)
printNotes: i= 16-<2892 2891   1>,  	 D3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(87)
printNotes: i= 17-<2679 2683  -4>,  	 C3 --   1/8th.( 89) <      > 	V 93 - M 89	= +4  %+4  	q= +4  %+4  	 0.534(87)
printNotes: i= 18-<2420 2526 -106>,  	Bk2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 19-<2339 2891 -552>,  	 D3 --  128th..(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(87)
printNotes: i= 20-<2668 2683 -15>,  	 C3 --    1/8th( 59) <      > 	V 58 - M 59	= -1  %-2  	q= -1  %-2  	 0.331(87)
printNotes: i= 21-<2604 2526  78>,  	Bk2 -- 1/32nd..( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(87)
printNotes: i= 22-<2881 2891 -10>,  	 D3 --   1/4th.(178) <      > 	V189 - M178	=+11  %+6  	q=+11  %+6  	 1.091(87)
printNotes: i= 23-<2519 2683 -164>,  	 C3 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(87)
printNotes: i= 24-<2851 2891 -40>,  	 D3 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(87)
printNotes: i= 25-<2544 2683 -139>,  	 C3 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 26-<2668 2991 -323>,  	Eb3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 27-<2075 2476 -401>,  	Bb2 --  1/64th.( 11) <      > 	V 12 - M 13	= -1  %-8  	q= +1  %+8  	 0.064(87)
printNotes: i= 28-<2632 2891 -259>,  	 D3 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(87)
printNotes: i= 29-<2153 2476 -323>,  	Bb2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 30-<2527 2891 -364>,  	 D3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(87)
printNotes: i= 31-<2098 2400 -302>,  	 A2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 32-<2180 2891 -711>,  	 D3 --   1/64th(  7) <      > 	V  9 - M  7	= +2  %+22  	q= +2  %+22  	 0.046(87)
printNotes: i= 33-<2294 2400 -106>,  	 A2 --  1/32nd.( 22) <      > 	V 19 - M 22	= -3  %-16  	q= -3  %-16  	 0.104(87)
printNotes: i= 34-<2322 2683 -361>,  	 C3 --   1/64th(  7) <      > 	V  9 - M  7	= +2  %+22  	q= +2  %+22  	 0.046(87)
printNotes: i= 35-<2060 2203 -143>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(87)
printNotes: i= 36-<2384 2400 -16>,  	 A2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(87)
printNotes: i= 37-<2229 2203  26>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 38-<2470 2476  -6>,  	Bb2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 39-<2405 2400   5>,  	 A2 --     half(238) <      > 	V229 - M238	= -9  %-4  	q= -9  %-4  	 1.324(87)
printNotes: i= 40-<2651 2683 -32>,  	 C3 -- 1/32nd..( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(87)
printNotes: i= 41-<2574 2526  48>,  	Bk2 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(87)


silence
printNotes: i= 42-<   0   40 -40>,  	Slc --  1/8th..(104) <      > 	V100 - M 91	= +9  %+9  	q= -4  %-4  	 0.575(87)<-----%9   %4

printNotes: i= 43-<1561 1501  60>,  	 C2 --  1/32nd.( 22) <      > 	V 19 - M 22	= -3  %-16  	q= -3  %-16  	 0.104(87)
printNotes: i= 44-<2125 2203 -78>,  	 G2 --  1/16th.( 45) <      > 	V 45 - M 45	=  +  %+0  	q=  +  %+0  	 0.255(87)
printNotes: i= 45-<1990 1985   5>,  	 F2 --  1/16th.( 45) <      > 	V 39 - M 45	= -6  %-15  	q= -6  %-15  	 0.221(87)
printNotes: i= 46-<1854 1827  27>,  	Ek2 --  128th..(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(87)
printNotes: i= 47-<1676 1985 -309>,  	 F2 -- 1/16th..( 52) <      > 	V 52 - M 52	=  +  %+0  	q=  +  %+0  	 0.296(87)
printNotes: i= 48-<2415 2400  15>,  	 A2 --   1/8th.( 89) <      > 	V 85 - M 89	= -4  %-5  	q= -4  %-5  	 0.488(87)
printNotes: i= 49-<2676 2683  -7>,  	 C3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)
printNotes: i= 50-<2401 2400   1>,  	 A2 --  1/4th..(208) <      > 	V200 - M208	= -8  %-4  	q= -8  %-4  	 1.155(87)
printNotes: i= 51-<2524 2683 -159>,  	 C3 -- 1/32nd..( 26) <      > 	V 24 - M 22	= +2  %+8  	q= -2  %-8  	 0.134(87)
printNotes: i= 52-<2402 2400   2>,  	 A2 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(87)


silence
printNotes: i= 53-<   0   40 -40>,  	Slc --    1/8th( 59) <      > 	V 61 - M 71	=-10  %-16  	q= +2  %+3  	 0.348(87)<-----%16   %3

printNotes: i= 54-<1689 1501 188>,  	 C2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(87)
printNotes: i= 55-<2144 2203 -59>,  	 G2 --  1/16th.( 45) <      > 	V 40 - M 45	= -5  %-12  	q= -5  %-12  	 0.226(87)
printNotes: i= 56-<2382 2400 -18>,  	 A2 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(87)
printNotes: i= 57-<1234 2476 -1242>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(87)
printNotes: i= 58-<2381 2400 -19>,  	 A2 --  1/16th.( 45) <      > 	V 47 - M 45	= +2  %+4  	q= +2  %+4  	 0.267(87)
printNotes: i= 59-<2070 2476 -406>,  	Bb2 --  128th..(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(87)
printNotes: i= 60-<2236 2203  33>,  	 G2 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(87)
printNotes: i= 61-<2081 2400 -319>,  	 A2 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(87)
printNotes: i= 62-<1127 2476 -1349>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 63-<2396 2400  -4>,  	 A2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(87)
printNotes: i= 64-< 935 2476 -1541>,  	Bb2 --  1/64th.( 11) <      > 	V  8 - M 11	= -3  %-38  	q= -3  %-38  	 0.041(87)
printNotes: i= 65-<2396 2400  -4>,  	 A2 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(87)
printNotes: i= 66-<1517 2683 -1166>,  	 C3 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(87)
printNotes: i= 67-<2076 2203 -127>,  	 G2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(87)
printNotes: i= 68-<2452 2476 -24>,  	Bb2 --  128th..(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(87)
printNotes: i= 69-<2393 2400  -7>,  	 A2 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(87)
printNotes: i= 70-< 956 2476 -1520>,  	Bb2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(87)
printNotes: i= 71-<2384 2400 -16>,  	 A2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(87)
printNotes: i= 72-<2484 2476   8>,  	Bb2 --  128th..(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(87)
printNotes: i= 73-<2378 2400 -22>,  	 A2 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(87)
printNotes: i= 74-<2051 2476 -425>,  	Bb2 --  128th..(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(87)
printNotes: i= 75-<2210 2203   7>,  	 G2 --  1/32nd.( 22) <      > 	V 19 - M 22	= -3  %-16  	q= -3  %-16  	 0.104(87)
printNotes: i= 76-<2392 2400  -8>,  	 A2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)
