	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<2012 1997  15>,  	 F2 --  1/64th.( 11) <      > 	V  8 - M  7	= +1  %+12  	q= -3  %-38  	 0.041(91)
printNotes: i=  2-<2192 2216 -24>,  	 G2 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(91)
printNotes: i=  3-<2344 2216 128>,  	 G2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(91)<-- same note
printNotes: i=  4-<2683 2691  -8>,  	 C3 --    whole(455) <-1*sela> 	V435 - M455	=-20  %-5  	q=-20  %-5  	 2.519(91)
printNotes: i=  5-<2560 2530  30>,  	Bk2 --  1/16th.( 43) <      > 	V 38 - M 43	= -5  %-13  	q= -5  %-13  	 0.215(91)
printNotes: i=  6-<2700 2691   9>,  	 C3 --   half..(398) <      > 	V391 - M398	= -7  %-2  	q= -7  %-2  	 2.264(91)


silence
printNotes: i=  7-<   0   40 -40>,  	Slc --   1/32nd( 14) <      > 	V 15 - M 62	=-47  %-313  	q= +1  %+7  	 0.081(91)<-----%313   %7 <<

printNotes: i=  8-<1740 1711  29>,  	 D2 --  1/64th.( 11) <      > 	V  8 - M 11	= -3  %-38  	q= -3  %-38  	 0.041(91)
printNotes: i=  9-<2013 1997  16>,  	 F2 --  1/32nd.( 21) <      > 	V 22 - M 21	= +1  %+5  	q= +1  %+5  	 0.122(91)
printNotes: i= 10-<2398 2413 -15>,  	 A2 --  1/16th.( 43) <      > 	V 37 - M 43	= -6  %-16  	q= -6  %-16  	 0.209(91)
printNotes: i= 11-<2663 2691 -28>,  	 C3 --   1/8th.( 85) <      > 	V 73 - M 85	=-12  %-16  	q=-12  %-16  	 0.418(91)
printNotes: i= 12-<2418 2413   5>,  	 A2 --   1/8th.( 85) <      > 	V 83 - M 85	= -2  %-2  	q= -2  %-2  	 0.476(91)
printNotes: i= 13-<2658 2691 -33>,  	 C3 --   1/16th( 28) <      > 	V 33 - M 28	= +5  %+15  	q= +5  %+15  	 0.186(91)
printNotes: i= 14-<2498 2496   2>,  	Bb2 --  1/16th.( 43) <      > 	V 40 - M 43	= -3  %-8  	q= -3  %-8  	 0.226(91)
printNotes: i= 15-<2666 2691 -25>,  	 C3 --   1/16th( 28) <      > 	V 34 - M 28	= +6  %+18  	q= +6  %+18  	 0.192(91)
printNotes: i= 16-<2602 2586  16>,  	 B2 --  1/32nd.( 21) <      > 	V 19 - M 21	= -2  %-11  	q= -2  %-11  	 0.104(91)
printNotes: i= 17-<2680 2691 -11>,  	 C3 -- 1/64th..( 12) <      > 	V 12 - M 11	= +1  %+8  	q=  +  %+0  	 0.064(91)
printNotes: i= 18-<2548 2496  52>,  	Bb2 --  1/32nd.( 21) <      > 	V 18 - M 21	= -3  %-17  	q= -3  %-17  	 0.099(91)
printNotes: i= 19-<2356 2691 -335>,  	 C3 --  1/64th.( 11) <      > 	V  8 - M 11	= -3  %-38  	q= -3  %-38  	 0.041(91)
printNotes: i= 20-<2506 2496  10>,  	Bb2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(91)
printNotes: i= 21-<2597 2586  11>,  	 B2 --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(91)
printNotes: i= 22-<2422 2413   9>,  	 A2 --  1/32nd.( 21) <      > 	V 20 - M 21	= -1  %-5  	q= -1  %-5  	 0.110(91)
printNotes: i= 23-<2173 2691 -518>,  	 C3 --  128th..(  6) <      > 	V  6 - M  5	= +1  %+17  	q=  +  %+0  	 0.029(91)
printNotes: i= 24-<2409 2413  -4>,  	 A2 --  1/32nd.( 21) <      > 	V 18 - M 21	= -3  %-17  	q= -3  %-17  	 0.099(91)
printNotes: i= 25-< 998 2496 -1498>,  	Bb2 --   128th.(  5) <      > 	V  5 - M  4	= +1  %+20  	q=  +  %+0  	 0.023(91)
printNotes: i= 26-<2309 2413 -104>,  	 A2 -- 1/32nd..( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(91)
printNotes: i= 27-<2243 2216  27>,  	 G2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(91)
printNotes: i= 28-<2412 2413  -1>,  	 A2 --  1/16th.( 43) <      > 	V 41 - M 43	= -2  %-5  	q= -2  %-5  	 0.232(91)
printNotes: i= 29-<2458 2496 -38>,  	Bb2 --  1/32nd.( 21) <      > 	V 20 - M 21	= -1  %-5  	q= -1  %-5  	 0.110(91)
printNotes: i= 30-<2418 2413   5>,  	 A2 --   1/8th.( 85) <      > 	V 88 - M 85	= +3  %+3  	q= +3  %+3  	 0.505(91)
printNotes: i= 31-<2454 2496 -42>,  	Bb2 --  1/32nd.( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(91)
printNotes: i= 32-<2428 2413  15>,  	 A2 --  1/16th.( 43) <      > 	V 44 - M 43	= +1  %+2  	q= +1  %+2  	 0.250(91)
printNotes: i= 33-<2467 2496 -29>,  	Bb2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(91)
printNotes: i= 34-<2422 2413   9>,  	 A2 --  1/16th.( 43) <      > 	V 46 - M 43	= +3  %+7  	q= +3  %+7  	 0.261(91)
printNotes: i= 35-<2451 2496 -45>,  	Bb2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(91)
printNotes: i= 36-<2420 2413   7>,  	 A2 --    1/4th(114) <      > 	V117 - M114	= +3  %+3  	q= +3  %+3  	 0.673(91)
printNotes: i= 37-<2231 2216  15>,  	 G2 --    1/8th( 57) <      > 	V 55 - M 57	= -2  %-4  	q= -2  %-4  	 0.313(91)
printNotes: i= 38-<2496 2496    >,  	Bb2 --     half(228) <2*sela> 	V267 - M256	=+11  %+4  	q=+39  %+15  	 1.544(91)
