y1, y2, x1, x2, deltaX, deltaY, m
1135, 1390, 43678, 43702, 24, -254, -11
1316, 2163, 46693, 46747, 54, -847, -16
1361, 2174, 44322, 44379, 57, -813, -14
1355, 1767, 23312, 23344, 32, -411, -13
1390, 2113, 43703, 43734, 31, -722, -23
1193, 1651, 6554, 6590, 36, -458, -13
1198, 1748, 53964, 53989, 25, -550, -22
772, 996, 1, 23, 22, -224, -10
1543, 1938, 20615, 20637, 22, -395, -18
1512, 1767, 24669, 24692, 23, -255, -11
1278, 1460, 9437, 9458, 21, -182, -9
1290, 1902, 11522, 11552, 30, -612, -20
1514, 2135, 19930, 19971, 41, -621, -15
1551, 2163, 43993, 44025, 32, -612, -19
1274, 1436, 56409, 56430, 21, -163, -8
1586, 2182, 17428, 17468, 40, -596, -15
926, 1520, 31, 73, 42, -594, -14
1344, 1495, 27998, 28019, 21, -151, -7
1535, 1981, 34677, 34712, 35, -445, -13
1599, 2145, 46129, 46165, 36, -547, -15
1596, 2150, 46377, 46410, 33, -554, -17
1325, 1710, 31280, 31310, 30, -385, -13
1337, 2185, 55787, 55816, 29, -848, -29
935, 1527, 3048, 3111, 63, -591, -9
1535, 1778, 47303, 47324, 21, -244, -12
1358, 1882, 786, 845, 59, -524, -9
947, 1418, 5859, 5903, 44, -471, -11
1089, 1534, 372, 414, 42, -446, -11
1437, 1720, 4459, 4491, 32, -283, -9
1454, 1747, 10196, 10231, 35, -293, -8
1500, 1815, 18548, 18569, 21, -314, -15
1481, 1709, 12999, 13029, 30, -228, -8
1460, 2216, 28029, 28058, 29, -756, -26
1500, 1727, 57078, 57104, 26, -228, -9
1443, 1694, 7343, 7370, 27, -251, -9
1269, 1815, 22626, 22657, 31, -546, -18
1575, 1836, 14272, 14295, 23, -261, -11
1415, 1733, 29395, 29418, 23, -318, -14
1478, 1698, 42513, 42536, 23, -220, -10
1470, 1711, 1658, 1679, 21, -241, -11
1497, 1734, 15738, 15759, 21, -237, -11
1459, 1810, 593, 622, 29, -351, -12
1597, 1953, 8039, 8078, 39, -356, -9
1353, 1950, 16255, 16281, 26, -597, -23
1593, 2191, 30623, 30645, 22, -597, -27
0, 0, 0, 0, 0, 0, 0
