	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-< 747 1015 -268>,  	 G1 --    1/8th( 65) <      > 	V 74 - M 65	= +9  %+12  	q= +9  %+12  	 0.424(80)
printNotes: i=  2-<1040 1515 -475>,  	 C2 -- 1/16th..( 57) <      > 	V 55 - M 32	=+23  %+42  	q= -2  %-4  	 0.313(80)<-----%42   %4

printNotes: i=  3-< 876 1515 -639>,  	 C2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i=  4-<1449 1515 -66>,  	 C2 --    1/8th( 65) <      > 	V 65 - M 65	=  +  %+0  	q=  +  %+0  	 0.372(80)<-- same note
printNotes: i=  5-<1021 1515 -494>,  	 C2 --   1/8th.( 97) <      > 	V 97 - M 97	=  +  %+0  	q=  +  %+0  	 0.557(80)<-- same note
printNotes: i=  6-< 693 1515 -822>,  	 C2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i=  7-<1632 1724 -92>,  	 D2 --     half(259) <1*sela> 	V275 - M259	=+16  %+6  	q=+16  %+6  	 1.591(80)
printNotes: i=  8-<1880 1914 -34>,  	 E2 --  1/32nd.( 24) <      > 	V 21 - M 16	= +5  %+24  	q= -3  %-14  	 0.116(80)<-----%24   %14

printNotes: i=  9-<1741 1724  17>,  	 D2 -- 1/16th..( 57) <      > 	V 54 - M 48	= +6  %+11  	q= -3  %-6  	 0.308(80)<-----%11   %6

printNotes: i= 10-<1911 1914  -3>,  	 E2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 11-<1740 1724  16>,  	 D2 -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(80)<-----%19   %4

printNotes: i= 12-<1890 1914 -24>,  	 E2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(80)
printNotes: i= 13-<1512 1515  -3>,  	 C2 --   1/16th( 32) <      > 	V 34 - M 22	=+12  %+35  	q= +2  %+6  	 0.192(80)<-----%35   %6

printNotes: i= 14-<1640 1724 -84>,  	 D2 --   1/64th(  8) <      > 	V 10 - M 21	=-11  %-110  	q= +2  %+20  	 0.052(80)<-----%110   %20 <<

printNotes: i= 15-<1357 1415 -58>,  	 B1 --   1/16th( 32) <      > 	V 34 - M 22	=+12  %+35  	q= +2  %+6  	 0.192(80)<-----%35   %6

printNotes: i= 16-<1505 1515 -10>,  	 C2 --  1/64th.( 12) <      > 	V 13 - M 22	= -9  %-69  	q= +1  %+8  	 0.070(80)<-----%69   %8 <<

printNotes: i= 17-<1194 1215 -21>,  	 A1 --   1/16th( 32) <      > 	V 34 - M 21	=+13  %+38  	q= +2  %+6  	 0.192(80)<-----%38   %6

printNotes: i= 18-<1255 1415 -160>,  	 B1 --  1/64th.( 12) <      > 	V 11 - M 22	=-11  %-100  	q= -1  %-9  	 0.058(80)<-----%100   %9 <<

printNotes: i= 19-< 944 1015 -71>,  	 G1 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(80)<-----%10   %3



silence
printNotes: i= 20-<   0   40 -40>,  	Slc --     half(259) <      > 	V250 - M226	=+24  %+10  	q= -9  %-4  	 1.445(80)<-----%10   %4

printNotes: i= 21-<1741 2026 -285>,  	 F2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 22-<1955 1914  41>,  	 E2 --  1/16th.( 48) <      > 	V 44 - M 32	=+12  %+27  	q= -4  %-9  	 0.250(80)<-----%27   %9

printNotes: i= 23-<1730 1724   6>,  	 D2 --   1/8th.( 97) <      > 	V102 - M129	=-27  %-26  	q= +5  %+5  	 0.586(80)<-----%26   %5

