	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1510 1520 -10>,  	 C2 --  1/16th.( 47) <      > 	V 50 - M 31	=+19  %+38  	q= +3  %+6  	 0.284(83)<-----%38   %6

printNotes: i=  2-<2232 2245 -13>,  	 G2 --   1/4th.(187) <-1*sela> 	V166 - M125	=+41  %+25  	q=-21  %-13  	 0.958(83)<-----%25   %13

printNotes: i=  3-<2038 2040  -2>,  	 F2 --   1/4th.(187) <      > 	V202 - M187	=+15  %+7  	q=+15  %+7  	 1.167(83)
printNotes: i=  4-<2250 2245   5>,  	 G2 --    1/4th(125) <1*sela> 	V147 - M125	=+22  %+15  	q=+22  %+15  	 0.848(83)
printNotes: i=  5-<2045 2040   5>,  	 F2 --    1/4th(125) <      > 	V123 - M125	= -2  %-2  	q= -2  %-2  	 0.708(83)
printNotes: i=  6-<2061 2040  21>,  	 F2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i=  7-<2238 2245  -7>,  	 G2 --  1/16th.( 47) <      > 	V 42 - M 47	= -5  %-12  	q= -5  %-12  	 0.238(83)
printNotes: i=  8-<2061 2040  21>,  	 F2 -- 1/32nd..( 27) <      > 	V 25 - M 31	= -6  %-24  	q= -2  %-8  	 0.139(83)<-----%24   %8

printNotes: i=  9-<2217 2245 -28>,  	 G2 --  1/16th.( 47) <      > 	V 42 - M 47	= -5  %-12  	q= -5  %-12  	 0.238(83)
printNotes: i= 10-<2442 2432  10>,  	 A2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(83)
printNotes: i= 11-<2251 2245   6>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(83)
printNotes: i= 12-<2369 2432 -63>,  	 A2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(83)<-----%45   %9 <<

printNotes: i= 13-<2242 2245  -3>,  	 G2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(83)<-----%15   %0

printNotes: i= 14-<2041 2040   1>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 15-<2249 2245   4>,  	 G2 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(83)
printNotes: i= 16-<2048 2040   8>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 31	=-13  %-72  	q= +2  %+11  	 0.099(83)<-----%72   %11

printNotes: i= 17-<2253 2245   8>,  	 G2 --  1/8th..(109) <      > 	V104 - M 62	=+42  %+40  	q= -5  %-5  	 0.598(83)<-----%40   %5

printNotes: i= 18-<2046 2040   6>,  	 F2 --  1/4th..(219) <      > 	V210 - M250	=-40  %-19  	q= -9  %-4  	 1.213(83)<-----%19   %4

printNotes: i= 19-<1934 1881  53>,  	Ek2 --   1/8th.( 94) <      > 	V 84 - M 31	=+53  %+63  	q=-10  %-12  	 0.482(83)<-----%63   %12



silence
printNotes: i= 20-<   0   40 -40>,  	Slc --    1/4th(125) <1*sela> 	V142 - M250	=-108  %-76  	q=+17  %+12  	 0.819(83)<-----%76   %12

printNotes: i= 21-<1373 1520 -147>,  	 C2 --  1/32nd.( 23) <      > 	V 24 - M 31	= -7  %-29  	q= +1  %+4  	 0.134(83)<-----%29   %4

printNotes: i= 22-<1843 1881 -38>,  	Ek2 -- 1/16th..( 55) <      > 	V 54 - M 94	=-40  %-74  	q= -1  %-2  	 0.308(83)<-----%74   %2

printNotes: i= 23-<2029 2040 -11>,  	 F2 --   1/16th( 31) <      > 	V 34 - M 47	=-13  %-38  	q= +3  %+9  	 0.192(83)<-----%38   %9

printNotes: i= 24-<2288 2245  43>,  	 G2 --  1/64th.( 12) <      > 	V 13 - M  8	= +5  %+38  	q= +1  %+8  	 0.070(83)<-----%38   %8 <<

printNotes: i= 25-<2050 2040  10>,  	 F2 --   1/16th( 31) <      > 	V 31 - M 16	=+15  %+48  	q=  +  %+0  	 0.174(83)<-----%48   %0

printNotes: i= 26-<2298 2245  53>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M  8	= +7  %+47  	q= +1  %+7  	 0.081(83)<-----%47   %7 <<

printNotes: i= 27-<1885 1881   4>,  	Ek2 --    1/8th( 62) <      > 	V 72 - M 94	=-22  %-31  	q=+10  %+14  	 0.412(83)<-----%31   %14

printNotes: i= 28-<2035 2040  -5>,  	 F2 -- 1/16th..( 55) <      > 	V 52 - M 62	=-10  %-19  	q= -3  %-6  	 0.296(83)<-----%19   %6

printNotes: i= 29-<2300 2245  55>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(83)
printNotes: i= 30-<2089 2040  49>,  	 F2 -- 1/32nd..( 27) <      > 	V 25 - M 16	= +9  %+36  	q= -2  %-8  	 0.139(83)<-----%36   %8

printNotes: i= 31-<1923 1881  42>,  	Ek2 --   1/32nd( 16) <      > 	V 18 - M 31	=-13  %-72  	q= +2  %+11  	 0.099(83)<-----%72   %11

printNotes: i= 32-<2069 2040  29>,  	 F2 --  1/32nd.( 23) <      > 	V 24 - M 16	= +8  %+33  	q= +1  %+4  	 0.134(83)<-----%33   %4

printNotes: i= 33-<2138 2245 -107>,  	 G2 --    128th(  4) <      > 	V  5 - M 16	=-11  %-220  	q= +1  %+20  	 0.023(83)<-----%220   %20 <<

printNotes: i= 34-<2045 2040   5>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 35-<2258 2245  13>,  	 G2 --    128th(  4) <      > 	V  3 - M 16	=-13  %-433  	q= -1  %-33  	 0.012(83)<-----%433   %33 <<

printNotes: i= 36-<2386 2432 -46>,  	 A2 --    128th(  4) <      > 	V  3 - M 16	=-13  %-433  	q= -1  %-33  	 0.012(83)<-----%433   %33 <<

printNotes: i= 37-<2270 2245  25>,  	 G2 -- 1/16th..( 55) <      > 	V 57 - M 31	=+26  %+46  	q= +2  %+4  	 0.325(83)<-----%46   %4

printNotes: i= 38-<2070 2040  30>,  	 F2 --   1/32nd( 16) <      > 	V 19 - M 31	=-12  %-63  	q= +3  %+16  	 0.104(83)<-----%63   %16

printNotes: i= 39-<2235 2245 -10>,  	 G2 --   1/16th( 31) <      > 	V 38 - M 16	=+22  %+58  	q= +7  %+18  	 0.215(83)<-----%58   %18

printNotes: i= 40-<2394 2432 -38>,  	 A2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(83)<-----%33   %0 <<

printNotes: i= 41-<2018 2040 -22>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 21	= +6  %+22  	q=  +  %+0  	 0.151(83)<-----%22   %0

printNotes: i= 42-<2300 2245  55>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 21	= -6  %-40  	q= +1  %+7  	 0.081(83)<-----%40   %7 <<

printNotes: i= 43-<2034 2040  -6>,  	 F2 --    1/4th(125) <      > 	V130 - M114	=+16  %+12  	q= +5  %+4  	 0.749(83)<-----%12   %4

printNotes: i= 44-<2236 2245  -9>,  	 G2 --    1/8th( 62) <      > 	V 73 - M 62	=+11  %+15  	q=+11  %+15  	 0.418(83)
printNotes: i= 45-<2032 2040  -8>,  	 F2 --   1/8th.( 94) <      > 	V 86 - M 62	=+24  %+28  	q= -8  %-9  	 0.493(83)<-----%28   %9

printNotes: i= 46-<1919 1881  38>,  	Ek2 --    1/8th( 62) <      > 	V 75 - M 31	=+44  %+59  	q=+13  %+17  	 0.430(83)<-----%59   %17



silence
printNotes: i= 47-<   0   40 -40>,  	Slc -- 1/16th..( 55) <      > 	V 58 - M 94	=-36  %-62  	q= +3  %+5  	 0.331(83)<-----%62   %5

printNotes: i= 48-<1650 1520 130>,  	 C2 -- 1/32nd..( 27) <      > 	V 25 - M 16	= +9  %+36  	q= -2  %-8  	 0.139(83)<-----%36   %8

printNotes: i= 49-<2178 2245 -67>,  	 G2 --  1/16th.( 47) <      > 	V 45 - M 16	=+29  %+64  	q= -2  %-4  	 0.255(83)<-----%64   %4

printNotes: i= 50-<2042 2040   2>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(83)
printNotes: i= 51-<2253 2245   8>,  	 G2 -- 1/16th..( 55) <      > 	V 53 - M 47	= +6  %+11  	q= -2  %-4  	 0.302(83)<-----%11   %4

printNotes: i= 52-<2447 2432  15>,  	 A2 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(83)
printNotes: i= 53-<2272 2245  27>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M  8	= +4  %+33  	q=  +  %+0  	 0.064(83)<-----%33   %0 <<

printNotes: i= 54-<2449 2432  17>,  	 A2 --   1/32nd( 16) <      > 	V 19 - M  8	=+11  %+58  	q= +3  %+16  	 0.104(83)<-----%58   %16

printNotes: i= 55-<2251 2245   6>,  	 G2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(83)<-----%15   %0

printNotes: i= 56-<2071 2040  31>,  	 F2 --  1/32nd.( 23) <      > 	V 22 - M 16	= +6  %+27  	q= -1  %-5  	 0.122(83)<-----%27   %5

printNotes: i= 57-<2217 2245 -28>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(83)
printNotes: i= 58-<2052 2040  12>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 16	=+11  %+41  	q=  +  %+0  	 0.151(83)<-----%41   %0

printNotes: i= 59-<2186 2245 -59>,  	 G2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(83)<-----%23   %8 <<

printNotes: i= 60-<1895 1881  14>,  	Ek2 -- 1/32nd..( 27) <      > 	V 27 - M 16	=+11  %+41  	q=  +  %+0  	 0.151(83)<-----%41   %0

printNotes: i= 61-<2086 2040  46>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(83)
printNotes: i= 62-<1875 1881  -6>,  	Ek2 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(83)
printNotes: i= 63-<2044 2040   4>,  	 F2 -- 1/32nd..( 27) <      > 	V 25 - M 10	=+15  %+60  	q= -2  %-8  	 0.139(83)<-----%60   %8

printNotes: i= 64-<2120 2245 -125>,  	 G2 --    128th(  4) <      > 	V  5 - M 10	= -5  %-100  	q= +1  %+20  	 0.023(83)<-----%100   %20 <<

printNotes: i= 65-<2066 2040  26>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 21	= -4  %-24  	q= +1  %+6  	 0.093(83)<-----%24   %6

printNotes: i= 66-<2276 2245  31>,  	 G2 --   1/16th( 31) <      > 	V 32 - M 10	=+22  %+69  	q= +1  %+3  	 0.180(83)<-----%69   %3

printNotes: i= 67-<2296 2432 -136>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 10	= +6  %+38  	q=  +  %+0  	 0.087(83)<-----%38   %0 <<

printNotes: i= 68-<2041 2040   1>,  	 F2 --  1/16th.( 47) <      > 	V 41 - M 62	=-21  %-51  	q= -6  %-15  	 0.232(83)<-----%51   %15

printNotes: i= 69-<2226 2245 -19>,  	 G2 --   1/16th( 31) <      > 	V 33 - M 62	=-29  %-88  	q= +2  %+6  	 0.186(83)<-----%88   %6

printNotes: i= 70-<2044 2040   4>,  	 F2 --  1/8th..(109) <      > 	V106 - M125	=-19  %-18  	q= -3  %-3  	 0.610(83)<-----%18   %3

printNotes: i= 71-<2241 2245  -4>,  	 G2 --   1/8th.( 94) <      > 	V 88 - M 94	= -6  %-7  	q= -6  %-7  	 0.505(83)
printNotes: i= 72-<2068 2040  28>,  	 F2 -- 1/32nd..( 27) <      > 	V 25 - M 31	= -6  %-24  	q= -2  %-8  	 0.139(83)<-----%24   %8

printNotes: i= 73-<1880 1881  -1>,  	Ek2 --   1/32nd( 16) <      > 	V 16 - M 31	=-15  %-94  	q=  +  %+0  	 0.087(83)<-----%94   %0 <<



silence
printNotes: i= 74-<1876   40 1836>,  	Slc --    128th(  4) <      > 	V  4 - M  8	= -4  %-100  	q=  +  %+0  	 0.017(83)<-----%100   %0 <<

printNotes: i= 75-<2042 2040   2>,  	 F2 --    half.(375) <-3*sela> 	V317 - M250	=+67  %+21  	q=-58  %-18  	 1.834(83)
printNotes: i= 76-<1594 1881 -287>,  	Ek2 -- 1/16th..( 55) <      > 	V 56 - M 31	=+25  %+45  	q= +1  %+2  	 0.319(83)<-----%45   %2



silence
printNotes: i= 77-<   0   40 -40>,  	Slc --   whole.(749) <-5*sela> 	V664 - M656	= +8  %+1  	q=-85  %-13  	 3.849(83)
printNotes: i= 78-<1541 1520  21>,  	 C2 --  1/32nd.( 23) <      > 	V 24 - M 31	= -7  %-29  	q= +1  %+4  	 0.134(83)<-----%29   %4

printNotes: i= 79-<1607 2245 -638>,  	 G2 --   1/8th.( 94) <      > 	V 88 - M 62	=+26  %+30  	q= -6  %-7  	 0.505(83)<-----%30   %7

printNotes: i= 80-<1978 2245 -267>,  	 G2 --    1/4th(125) <      > 	V125 - M125	=  +  %+0  	q=  +  %+0  	 0.720(83)<-- same note
printNotes: i= 81-<2247 2245   2>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i= 82-<2242 2245  -3>,  	 G2 --   1/4th.(187) <-1*sela> 	V156 - M156	=  +  %+0  	q=-31  %-20  	 0.900(83)<-- same note
printNotes: i= 83-<2530 2497  33>,  	Bb2 --  1/32nd.( 23) <      > 	V 22 - M 31	= -9  %-41  	q= -1  %-5  	 0.122(83)<-----%41   %5

printNotes: i= 84-<2239 2245  -6>,  	 G2 --    1/4th(125) <1*sela> 	V141 - M125	=+16  %+11  	q=+16  %+11  	 0.813(83)


silence
printNotes: i= 85-<   0   40 -40>,  	Slc --  1/4th..(219) <      > 	V210 - M125	=+85  %+40  	q= -9  %-4  	 1.213(83)<-----%40   %4

printNotes: i= 86-<1417 1520 -103>,  	 C2 --   1/16th( 31) <      > 	V 30 - M 16	=+14  %+47  	q= -1  %-3  	 0.168(83)<-----%47   %3

printNotes: i= 87-<2182 2245 -63>,  	 G2 --  1/16th.( 47) <      > 	V 47 - M 16	=+31  %+66  	q=  +  %+0  	 0.267(83)<-----%66   %0

printNotes: i= 88-< 380 2245 -1865>,  	 G2 --  1/16th.( 47) <      > 	V 47 - M 47	=  +  %+0  	q=  +  %+0  	 0.267(83)<-- same note
printNotes: i= 89-<2174 2245 -71>,  	 G2 --    1/8th( 62) <      > 	V 62 - M 62	=  +  %+0  	q=  +  %+0  	 0.354(83)<-- same note
printNotes: i= 90-<1999 2040 -41>,  	 F2 -- 1/16th..( 55) <      > 	V 51 - M 62	=-11  %-22  	q= -4  %-8  	 0.290(83)<-----%22   %8

printNotes: i= 91-<2152 2432 -280>,  	 A2 -- 1/64th..( 14) <      > 	V 15 - M 31	=-16  %-107  	q= +1  %+7  	 0.081(83)<-----%107   %7 <<

printNotes: i= 92-<2242 2245  -3>,  	 G2 --   1/16th( 31) <      > 	V 37 - M 47	=-10  %-27  	q= +6  %+16  	 0.209(83)<-----%27   %16

printNotes: i= 93-< 929 2040 -1111>,  	 F2 --  1/16th.( 47) <      > 	V 44 - M 31	=+13  %+30  	q= -3  %-7  	 0.250(83)<-----%30   %7

printNotes: i= 94-<1774 2040 -266>,  	 F2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i= 95-<2061 2040  21>,  	 F2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i= 96-<2238 2245  -7>,  	 G2 --  1/16th.( 47) <      > 	V 39 - M 62	=-23  %-59  	q= -8  %-21  	 0.221(83)<-----%59   %21

printNotes: i= 97-<2050 2040  10>,  	 F2 --    1/8th( 62) <      > 	V 61 - M 62	= -1  %-2  	q= -1  %-2  	 0.348(83)
printNotes: i= 98-<2244 2245  -1>,  	 G2 --    1/8th( 62) <      > 	V 72 - M 62	=+10  %+14  	q=+10  %+14  	 0.412(83)
printNotes: i= 99-<2039 2040  -1>,  	 F2 --     half(250) <      > 	V244 - M219	=+25  %+10  	q= -6  %-2  	 1.411(83)<-----%10   %2

printNotes: i= 100-<2038 1881 157>,  	Ek2 -- 1/32nd..( 27) <      > 	V 25 - M 31	= -6  %-24  	q= -2  %-8  	 0.139(83)<-----%24   %8



silence
printNotes: i= 101-<   0   40 -40>,  	Slc --    1/8th( 62) <      > 	V 67 - M146	=-79  %-118  	q= +5  %+7  	 0.383(83)<-----%118   %7

printNotes: i= 102-<1457 1520 -63>,  	 C2 -- 1/64th..( 14) <      > 	V 15 - M 21	= -6  %-40  	q= +1  %+7  	 0.081(83)<-----%40   %7 <<

printNotes: i= 103-<1858 1881 -23>,  	Ek2 --  1/16th.( 47) <      > 	V 46 - M 21	=+25  %+54  	q= -1  %-2  	 0.261(83)<-----%54   %2

printNotes: i= 104-<2059 2040  19>,  	 F2 -- 1/16th..( 55) <      > 	V 55 - M 62	= -7  %-13  	q=  +  %+0  	 0.313(83)<-----%13   %0

printNotes: i= 105-<2213 2245 -32>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(83)<-----%33   %0 <<

printNotes: i= 106-<2063 2040  23>,  	 F2 -- 1/32nd..( 27) <      > 	V 26 - M 16	=+10  %+38  	q= -1  %-4  	 0.145(83)<-----%38   %4

printNotes: i= 107-<1882 1881   1>,  	Ek2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 108-<2029 2040 -11>,  	 F2 --    128th(  4) <      > 	V  3 - M 16	=-13  %-433  	q= -1  %-33  	 0.012(83)<-----%433   %33 <<

printNotes: i= 109-<2123 2245 -122>,  	 G2 --    128th(  4) <      > 	V  3 - M 16	=-13  %-433  	q= -1  %-33  	 0.012(83)<-----%433   %33 <<

printNotes: i= 110-<2034 2040  -6>,  	 F2 --  1/16th.( 47) <      > 	V 39 - M 31	= +8  %+21  	q= -8  %-21  	 0.221(83)
printNotes: i= 111-<2277 2245  32>,  	 G2 -- 1/32nd..( 27) <      > 	V 26 - M 16	=+10  %+38  	q= -1  %-4  	 0.145(83)<-----%38   %4

printNotes: i= 112-<1971 2432 -461>,  	 A2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(83)<-----%78   %33 <<

printNotes: i= 113-<2263 2245  18>,  	 G2 --  1/32nd.( 23) <      > 	V 24 - M 31	= -7  %-29  	q= +1  %+4  	 0.134(83)<-----%29   %4

printNotes: i= 114-<2056 2040  16>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 31	=-16  %-107  	q= +1  %+7  	 0.081(83)<-----%107   %7 <<

printNotes: i= 115-<2259 2245  14>,  	 G2 --  1/16th.( 47) <      > 	V 39 - M 16	=+23  %+59  	q= -8  %-21  	 0.221(83)<-----%59   %21

printNotes: i= 116-<2457 2432  25>,  	 A2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(83)
printNotes: i= 117-<2057 2040  17>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 21	= +6  %+22  	q=  +  %+0  	 0.151(83)<-----%22   %0

printNotes: i= 118-<2260 2245  15>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 21	= -7  %-50  	q=  +  %+0  	 0.075(83)<-----%50   %0 <<

printNotes: i= 119-<2044 2040   4>,  	 F2 --  1/8th..(109) <      > 	V109 - M146	=-37  %-34  	q=  +  %+0  	 0.627(83)<-----%34   %0

printNotes: i= 120-<2143 2245 -102>,  	 G2 --   1/8th.( 94) <      > 	V101 - M 62	=+39  %+39  	q= +7  %+7  	 0.580(83)<-----%39   %7



silence
printNotes: i= 121-<   0   40 -40>,  	Slc --  1/16th.( 47) <      > 	V 46 - M 62	=-16  %-35  	q= -1  %-2  	 0.261(83)<-----%35   %2

printNotes: i= 122-<1641 1881 -240>,  	Ek2 --  1/32nd.( 23) <      > 	V 24 - M 16	= +8  %+33  	q= +1  %+4  	 0.134(83)<-----%33   %4

printNotes: i= 123-<2259 2245  14>,  	 G2 --  1/16th.( 47) <      > 	V 43 - M 31	=+12  %+28  	q= -4  %-9  	 0.244(83)<-----%28   %9

printNotes: i= 124-<2012 2040 -28>,  	 F2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(83)<-----%23   %8 <<

printNotes: i= 125-<2252 2245   7>,  	 G2 --  1/16th.( 47) <      > 	V 46 - M 47	= -1  %-2  	q= -1  %-2  	 0.261(83)
printNotes: i= 126-<2469 2432  37>,  	 A2 --  1/16th.( 47) <      > 	V 43 - M 31	=+12  %+28  	q= -4  %-9  	 0.244(83)<-----%28   %9

printNotes: i= 127-<2277 2245  32>,  	 G2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(83)
printNotes: i= 128-<2403 2432 -29>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M  8	= +8  %+50  	q=  +  %+0  	 0.087(83)<-----%50   %0 <<

printNotes: i= 129-<2260 2245  15>,  	 G2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4

printNotes: i= 130-<2045 2040   5>,  	 F2 --  1/32nd.( 23) <      > 	V 20 - M 16	= +4  %+20  	q= -3  %-15  	 0.110(83)<-----%20   %15

printNotes: i= 131-<2173 2245 -72>,  	 G2 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(83)<-----%167   %0 <<

printNotes: i= 132-<1978 2040 -62>,  	 F2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 133-<1849 1881 -32>,  	Ek2 --  1/32nd.( 23) <      > 	V 24 - M 16	= +8  %+33  	q= +1  %+4  	 0.134(83)<-----%33   %4

printNotes: i= 134-<2071 2040  31>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(83)
printNotes: i= 135-<1885 1881   4>,  	Ek2 -- 1/32nd..( 27) <      > 	V 26 - M 47	=-21  %-81  	q= -1  %-4  	 0.145(83)<-----%81   %4

printNotes: i= 136-<2037 2040  -3>,  	 F2 -- 1/32nd..( 27) <      > 	V 26 - M 10	=+16  %+62  	q= -1  %-4  	 0.145(83)<-----%62   %4

printNotes: i= 137-<2136 2245 -109>,  	 G2 --    128th(  4) <      > 	V  5 - M 10	= -5  %-100  	q= +1  %+20  	 0.023(83)<-----%100   %20 <<

printNotes: i= 138-<2052 2040  12>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 21	= -4  %-24  	q= +1  %+6  	 0.093(83)<-----%24   %6

printNotes: i= 139-<2263 2245  18>,  	 G2 --   1/16th( 31) <      > 	V 32 - M 10	=+22  %+69  	q= +1  %+3  	 0.180(83)<-----%69   %3

printNotes: i= 140-<2360 2432 -72>,  	 A2 --   1/32nd( 16) <      > 	V 19 - M 10	= +9  %+47  	q= +3  %+16  	 0.104(83)<-----%47   %16

printNotes: i= 141-<2042 2040   2>,  	 F2 --  1/16th.( 47) <      > 	V 44 - M 62	=-18  %-41  	q= -3  %-7  	 0.250(83)<-----%41   %7

printNotes: i= 142-<2236 2245  -9>,  	 G2 --   1/16th( 31) <      > 	V 37 - M 62	=-25  %-68  	q= +6  %+16  	 0.209(83)<-----%68   %16

printNotes: i= 143-<2059 2040  19>,  	 F2 --   1/8th.( 94) <      > 	V100 - M125	=-25  %-25  	q= +6  %+6  	 0.575(83)<-----%25   %6

printNotes: i= 144-<2245 2245    >,  	 G2 --  1/8th..(109) <      > 	V107 - M 62	=+45  %+42  	q= -2  %-2  	 0.615(83)<-----%42   %2

printNotes: i= 145-<2077 2040  37>,  	 F2 --  1/32nd.( 23) <      > 	V 23 - M 31	= -8  %-35  	q=  +  %+0  	 0.128(83)<-----%35   %0

printNotes: i= 146-<1952 1881  71>,  	Ek2 --   1/32nd( 16) <      > 	V 16 - M 47	=-31  %-194  	q=  +  %+0  	 0.087(83)<-----%194   %0 <<



silence
printNotes: i= 147-< 962   40 922>,  	Slc --    128th(  4) <      > 	V  2 - M 16	=-14  %-700  	q= -2  %-100  	 0.006(83)<-----%700   %100 <<

printNotes: i= 148-<2039 2040  -1>,  	 F2 --     half(250) <2*sela> 	V288 - M250	=+38  %+13  	q=+38  %+13  	 1.666(83)
printNotes: i= 149-<1951 1881  70>,  	Ek2 --  1/16th.( 47) <      > 	V 43 - M 31	=+12  %+28  	q= -4  %-9  	 0.244(83)<-----%28   %9



silence
printNotes: i= 150-<   0   40 -40>,  	Slc --    whole(499) <      > 	V514 - M468	=+46  %+9  	q=+15  %+3  	 2.978(83)<-----%9   %3

printNotes: i= 151-<1465 1520 -55>,  	 C2 --    1/8th( 62) <      > 	V 60 - M 62	= -2  %-3  	q= -2  %-3  	 0.342(83)
printNotes: i= 152-<1819 2245 -426>,  	 G2 --  1/4th..(219) <      > 	V206 - M 94	=+112  %+54  	q=-13  %-6  	 1.190(83)<-----%54   %6

printNotes: i= 153-< 210 2245 -2035>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i= 154-<2236 2245  -9>,  	 G2 --   1/8th.( 94) <      > 	V 94 - M 94	=  +  %+0  	q=  +  %+0  	 0.540(83)<-- same note
printNotes: i= 155-<2280 2245  35>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i= 156-<2115 2245 -130>,  	 G2 --    1/4th(125) <      > 	V125 - M125	=  +  %+0  	q=  +  %+0  	 0.720(83)<-- same note


silence
printNotes: i= 157-<   0   40 -40>,  	Slc --  1/32nd.( 23) <      > 	V 24 - M125	=-101  %-421  	q= +1  %+4  	 0.134(83)<-----%421   %4

printNotes: i= 158-<1017 1520 -503>,  	 C2 --  1/16th.( 47) <      > 	V 44 - M 31	=+13  %+30  	q= -3  %-7  	 0.250(83)<-----%30   %7

printNotes: i= 159-<2182 2245 -63>,  	 G2 --    1/8th( 62) <      > 	V 62 - M 62	=  +  %+0  	q=  +  %+0  	 0.354(83)
