	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1700 1734 -34>,  	 D2 --  1/16th.( 49) <      > 	V 43 - M 33	=+10  %+23  	q= -6  %-14  	 0.244(78)<-----%23   %14

printNotes: i=  2-<2282 2429 -147>,  	 A2 --   1/16th( 33) <      > 	V 35 - M 44	= -9  %-26  	q= +2  %+6  	 0.197(78)<-----%26   %6

printNotes: i=  3-<2194 2230 -36>,  	 G2 --   1/16th( 33) <      > 	V 37 - M 44	= -7  %-19  	q= +4  %+11  	 0.209(78)<-----%19   %11

printNotes: i=  4-<2429 2429    >,  	 A2 -- 1/16th..( 58) <      > 	V 55 - M 60	= -5  %-9  	q= -3  %-5  	 0.313(78)<-----%9   %5

printNotes: i=  5-<2583 2526  57>,  	Bb2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(78)
printNotes: i=  6-<2240 2230  10>,  	 G2 --  1/16th.( 49) <      > 	V 53 - M 66	=-13  %-25  	q= +4  %+8  	 0.302(78)<-----%25   %8

printNotes: i=  7-<2414 2429 -15>,  	 A2 --   1/4th.(198) <-1*sela> 	V175 - M 99	=+76  %+43  	q=-23  %-13  	 1.010(78)<-----%43   %13

printNotes: i=  8-<2518 2526  -8>,  	Bb2 --  1/64th.( 12) <      > 	V 11 - M 33	=-22  %-200  	q= -1  %-9  	 0.058(78)<-----%200   %9 <<

printNotes: i=  9-<2219 2230 -11>,  	 G2 --  1/8th..(115) <      > 	V115 - M132	=-17  %-15  	q=  +  %+0  	 0.662(78)<-----%15   %0

printNotes: i= 10-<2404 2429 -25>,  	 A2 --    128th(  4) <      > 	V  5 - M 33	=-28  %-560  	q= +1  %+20  	 0.023(78)<-----%560   %20 <<

printNotes: i= 11-<2535 2526   9>,  	Bb2 --  1/64th.( 12) <      > 	V  9 - M 33	=-24  %-267  	q= -3  %-33  	 0.046(78)<-----%267   %33 <<

printNotes: i= 12-<2417 2429 -12>,  	 A2 --   1/8th.( 99) <      > 	V 89 - M 33	=+56  %+63  	q=-10  %-11  	 0.511(78)<-----%63   %11

printNotes: i= 13-<2476 2526 -50>,  	Bb2 --  1/32nd.( 25) <      > 	V 22 - M 33	=-11  %-50  	q= -3  %-14  	 0.122(78)<-----%50   %14

printNotes: i= 14-<2426 2429  -3>,  	 A2 --   1/16th( 33) <      > 	V 32 - M 16	=+16  %+50  	q= -1  %-3  	 0.180(78)<-----%50   %3

printNotes: i= 15-<2596 2526  70>,  	Bb2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(78)
printNotes: i= 16-<2232 2230   2>,  	 G2 --    1/8th( 66) <      > 	V 75 - M 99	=-24  %-32  	q= +9  %+12  	 0.430(78)<-----%32   %12

printNotes: i= 17-<2540 2526  14>,  	Bb2 --  1/64th.( 12) <      > 	V 12 - M 33	=-21  %-175  	q=  +  %+0  	 0.064(78)<-----%175   %0 <<

printNotes: i= 18-<2359 2429 -70>,  	 A2 --    1/8th( 66) <      > 	V 72 - M 33	=+39  %+54  	q= +6  %+8  	 0.412(78)<-----%54   %8

printNotes: i= 19-<2702 2709  -7>,  	 C3 --     half(264) <      > 	V278 - M264	=+14  %+5  	q=+14  %+5  	 1.608(78)
printNotes: i= 20-<2624 2609  15>,  	 B2 -- 1/64th..( 14) <      > 	V 14 - M 33	=-19  %-136  	q=  +  %+0  	 0.075(78)<-----%136   %0 <<

printNotes: i= 21-<2784 2922 -138>,  	 D3 --   1/64th(  8) <      > 	V  8 - M 33	=-25  %-312  	q=  +  %+0  	 0.041(78)<-----%312   %0 <<

printNotes: i= 22-<2700 2709  -9>,  	 C3 --     half(264) <      > 	V268 - M231	=+37  %+14  	q= +4  %+1  	 1.550(78)<-----%14   %1

printNotes: i= 23-<2590 2609 -19>,  	 B2 --   1/32nd( 16) <      > 	V 17 - M 33	=-16  %-94  	q= +1  %+6  	 0.093(78)<-----%94   %6

printNotes: i= 24-<2775 2922 -147>,  	 D3 --  128th..(  7) <      > 	V  7 - M 33	=-26  %-371  	q=  +  %+0  	 0.035(78)<-----%371   %0 <<

printNotes: i= 25-<2704 2709  -5>,  	 C3 --  1/4th..(231) <      > 	V216 - M231	=-15  %-7  	q=-15  %-7  	 1.248(78)
printNotes: i= 26-<2953 2922  31>,  	 D3 --  1/64th.( 12) <      > 	V 12 - M  8	= +4  %+33  	q=  +  %+0  	 0.064(78)<-----%33   %0 <<

printNotes: i= 27-<2720 2709  11>,  	 C3 --  1/32nd.( 25) <      > 	V 26 - M 16	=+10  %+38  	q= +1  %+4  	 0.145(78)<-----%38   %4

printNotes: i= 28-<2752 2922 -170>,  	 D3 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(78)
printNotes: i= 29-<2577 2609 -32>,  	 B2 --   1/16th( 33) <      > 	V 34 - M 16	=+18  %+53  	q= +1  %+3  	 0.192(78)<-----%53   %3

printNotes: i= 30-<2704 2709  -5>,  	 C3 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(78)
printNotes: i= 31-<2430 2429   1>,  	 A2 --  1/16th.( 49) <      > 	V 45 - M 33	=+12  %+27  	q= -4  %-9  	 0.255(78)<-----%27   %9

printNotes: i= 32-<2589 2609 -20>,  	 B2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(78)<-----%23   %8 <<

printNotes: i= 33-<2226 2230  -4>,  	 G2 --    1/8th( 66) <      > 	V 64 - M 66	= -2  %-3  	q= -2  %-3  	 0.366(78)
printNotes: i= 34-<2434 2429   5>,  	 A2 --    1/8th( 66) <      > 	V 64 - M 49	=+15  %+23  	q= -2  %-3  	 0.366(78)<-----%23   %3

printNotes: i= 35-<2501 2526 -25>,  	Bb2 --  1/32nd.( 25) <      > 	V 21 - M 16	= +5  %+24  	q= -4  %-19  	 0.116(78)<-----%24   %19

printNotes: i= 36-<2429 2429    >,  	 A2 --  1/16th.( 49) <      > 	V 46 - M 33	=+13  %+28  	q= -3  %-7  	 0.261(78)<-----%28   %7

printNotes: i= 37-<2497 2526 -29>,  	Bb2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(78)
printNotes: i= 38-<2425 2429  -4>,  	 A2 --   1/16th( 33) <      > 	V 31 - M 16	=+15  %+48  	q= -2  %-6  	 0.174(78)<-----%48   %6

printNotes: i= 39-<2524 2526  -2>,  	Bb2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(78)
printNotes: i= 40-<1877 2230 -353>,  	 G2 --   1/8th.( 99) <      > 	V 89 - M 66	=+23  %+26  	q=-10  %-11  	 0.511(78)<-----%26   %11



silence
printNotes: i= 41-<   0   40 -40>,  	Slc --     half(264) <3*sela> 	V320 - M330	=-10  %-3  	q=+56  %+18  	 1.852(78)
printNotes: i= 42-<1440 1734 -294>,  	 D2 --  1/32nd.( 25) <      > 	V 25 - M 33	= -8  %-32  	q=  +  %+0  	 0.139(78)<-----%32   %0

printNotes: i= 43-<2229 2230  -1>,  	 G2 --  1/8th..(115) <      > 	V109 - M 99	=+10  %+9  	q= -6  %-6  	 0.627(78)<-----%9   %6

printNotes: i= 44-<2407 2429 -22>,  	 A2 --   1/16th( 33) <      > 	V 35 - M 33	= +2  %+6  	q= +2  %+6  	 0.197(78)
printNotes: i= 45-<2632 2609  23>,  	 B2 -- 1/64th..( 14) <      > 	V 14 - M 33	=-19  %-136  	q=  +  %+0  	 0.075(78)<-----%136   %0 <<

