	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-< 803 1000 -197>,  	 G1 --  1/4th..(230) <      > 	V215 - M132	=+83  %+39  	q=-15  %-7  	 1.242(78)<-----%39   %7

printNotes: i=  2-<1434 1476 -42>,  	 C2 --    half.(395) <      > 	V395 - M395	=  +  %+0  	q=  +  %+0  	 2.287(78)
printNotes: i=  3-<1465 1476 -11>,  	 C2 --    1/4th(132) <      > 	V132 - M132	=  +  %+0  	q=  +  %+0  	 0.760(78)<-- same note
printNotes: i=  4-<1347 1476 -129>,  	 C2 --   1/8th.( 99) <      > 	V 99 - M132	=-33  %-33  	q=  +  %+0  	 0.569(78)<-- same note<-----%33   %0



silence
printNotes: i=  5-<   0   40 -40>,  	Slc --   1/4th.(198) <-1*sela> 	V168 - M132	=+36  %+21  	q=-30  %-18  	 0.969(78)<-----%21   %18

printNotes: i=  6-<1480 1476   4>,  	 C2 -- 1/32nd..( 29) <      > 	V 29 - M 33	= -4  %-14  	q=  +  %+0  	 0.163(78)<-----%14   %0

printNotes: i=  7-<1689 1678  11>,  	 D2 --    half.(395) <-3*sela> 	V339 - M296	=+43  %+13  	q=-56  %-17  	 1.962(78)
printNotes: i=  8-<1396 1476 -80>,  	 C2 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(78)
printNotes: i=  9-<1203 1678 -475>,  	 D2 --    1/8th( 66) <      > 	V 78 - M 33	=+45  %+58  	q=+12  %+15  	 0.447(78)<-----%58   %15

printNotes: i= 10-<2166 2190 -24>,  	 G2 --    1/8th( 66) <      > 	V 66 - M 66	=  +  %+0  	q=  +  %+0  	 0.377(78)
printNotes: i= 11-<2004 1969  35>,  	 F2 --  1/32nd.( 25) <      > 	V 22 - M 33	=-11  %-50  	q= -3  %-14  	 0.122(78)<-----%50   %14

printNotes: i= 12-<1780 1870 -90>,  	 E2 --     half(263) <      > 	V278 - M263	=+15  %+5  	q=+15  %+5  	 1.608(78)
