	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1079 1029  50>,  	 G1 -- 1/16th..( 55) <      > 	V 53 - M 31	=+22  %+42  	q= -2  %-4  	 0.302(83)<-----%42   %4

printNotes: i=  2-<1522 1529  -7>,  	 C2 --    whole(499) <1*sela> 	V529 - M499	=+30  %+6  	q=+30  %+6  	 3.065(83)
printNotes: i=  3-<1400 1434 -34>,  	 B1 --  1/64th.( 12) <      > 	V 12 - M 31	=-19  %-158  	q=  +  %+0  	 0.064(83)<-----%158   %0 <<

printNotes: i=  4-<1538 1529   9>,  	 C2 --    whole(499) <-1*sela> 	V482 - M499	=-17  %-4  	q=-17  %-4  	 2.792(83)
printNotes: i=  5-<1406 1434 -28>,  	 B1 --  1/64th.( 12) <      > 	V 12 - M 31	=-19  %-158  	q=  +  %+0  	 0.064(83)<-----%158   %0 <<

printNotes: i=  6-<1539 1529  10>,  	 C2 --     half(250) <      > 	V239 - M250	=-11  %-5  	q=-11  %-5  	 1.382(83)
printNotes: i=  7-<1431 1434  -3>,  	 B1 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(83)
printNotes: i=  8-<1159 1234 -75>,  	 A1 --     half(250) <      > 	V239 - M250	=-11  %-5  	q=-11  %-5  	 1.382(83)


silence
printNotes: i=  9-<   0   40 -40>,  	Slc --    half.(374) <-3*sela> 	V316 - M250	=+66  %+21  	q=-58  %-18  	 1.829(83)
printNotes: i= 10-<1052 1029  23>,  	 G1 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 11-<1242 1234   8>,  	 A1 --   1/4th.(187) <-1*sela> 	V168 - M187	=-19  %-11  	q=-19  %-11  	 0.969(83)
printNotes: i= 12-<1461 1434  27>,  	 B1 --   1/16th( 31) <      > 	V 31 - M 16	=+15  %+48  	q=  +  %+0  	 0.174(83)<-----%48   %0

printNotes: i= 13-<1573 1529  44>,  	 C2 --  1/32nd.( 23) <      > 	V 22 - M 16	= +6  %+27  	q= -1  %-5  	 0.122(83)<-----%27   %5

printNotes: i= 14-<1471 1434  37>,  	 B1 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 15-<1523 1529  -6>,  	 C2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(83)<-----%23   %8 <<

printNotes: i= 16-<1429 1434  -5>,  	 B1 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(83)
printNotes: i= 17-<1276 1234  42>,  	 A1 --  1/32nd.( 23) <      > 	V 24 - M 31	= -7  %-29  	q= +1  %+4  	 0.134(83)<-----%29   %4

printNotes: i= 18-<1435 1434   1>,  	 B1 --   half..(437) <      > 	V447 - M468	=-21  %-5  	q=+10  %+2  	 2.589(83)
printNotes: i= 19-<1241 1234   7>,  	 A1 -- 1/16th..( 55) <      > 	V 52 - M 31	=+21  %+40  	q= -3  %-6  	 0.296(83)<-----%40   %6

printNotes: i= 20-<1015 1029 -14>,  	 G1 --   1/4th.(187) <      > 	V181 - M250	=-69  %-38  	q= -6  %-3  	 1.045(83)<-----%38   %3



silence
