	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1029 1038  -9>,  	 G1 --  1/32nd.( 24) <      > 	V 22 - M 16	= +6  %+27  	q= -2  %-9  	 0.122(81)<-----%27   %9

printNotes: i=  2-<1561 1538  23>,  	 C2 --  1/16th.( 48) <      > 	V 43 - M 32	=+11  %+26  	q= -5  %-12  	 0.244(81)<-----%26   %12

printNotes: i=  3-<1433 1438  -5>,  	 B1 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(81)
printNotes: i=  4-<1531 1538  -7>,  	 C2 --   1/64th(  8) <      > 	V  8 - M 32	=-24  %-300  	q=  +  %+0  	 0.041(81)<-----%300   %0 <<

printNotes: i=  5-<1763 1740  23>,  	 D2 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(81)
printNotes: i=  6-<1936 1933   3>,  	 E2 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(81)
printNotes: i=  7-<2005 2032 -27>,  	 F2 -- 1/16th..( 56) <      > 	V 55 - M 32	=+23  %+42  	q= -1  %-2  	 0.313(81)<-----%42   %2

printNotes: i=  8-<2243 2242   1>,  	 G2 --   1/4th.(191) <      > 	V186 - M191	= -5  %-3  	q= -5  %-3  	 1.074(81)
printNotes: i=  9-<2037 2032   5>,  	 F2 --    1/8th( 64) <      > 	V 78 - M 32	=+46  %+59  	q=+14  %+18  	 0.447(81)<-----%59   %18

printNotes: i= 10-<2319 2242  77>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(81)<-----%88   %6

printNotes: i= 11-<1967 1933  34>,  	 E2 --    1/8th( 64) <      > 	V 75 - M 64	=+11  %+15  	q=+11  %+15  	 0.430(81)
printNotes: i= 12-<2239 2242  -3>,  	 G2 --     half(255) <      > 	V255 - M255	=  +  %+0  	q=  +  %+0  	 1.474(81)
printNotes: i= 13-<2032 2032    >,  	 F2 --   1/8th.( 96) <      > 	V 91 - M 64	=+27  %+30  	q= -5  %-5  	 0.522(81)<-----%30   %5

printNotes: i= 14-<2312 2242  70>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(81)<-----%88   %6

printNotes: i= 15-<1958 1933  25>,  	 E2 --   1/8th.( 96) <      > 	V 94 - M 96	= -2  %-2  	q= -2  %-2  	 0.540(81)
printNotes: i= 16-<2237 2242  -5>,  	 G2 --   1/8th.( 96) <      > 	V 89 - M 64	=+25  %+28  	q= -7  %-8  	 0.511(81)<-----%28   %8

printNotes: i= 17-<2067 2032  35>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(81)<-----%129   %0 <<

printNotes: i= 18-<2252 2242  10>,  	 G2 --   1/4th.(191) <-1*sela> 	V170 - M127	=+43  %+25  	q=-21  %-12  	 0.981(81)<-----%25   %12

printNotes: i= 19-<2476 2442  34>,  	 A2 --  1/32nd.( 24) <      > 	V 21 - M 32	=-11  %-52  	q= -3  %-14  	 0.116(81)<-----%52   %14



silence
printNotes: i= 20-<2267   40 2227>,  	Slc --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(81)
printNotes: i= 21-<2201 2242 -41>,  	 G2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 22-<2038 2032   6>,  	 F2 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(81)
printNotes: i= 23-<2165 2242 -77>,  	 G2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(81)<-----%78   %33 <<

printNotes: i= 24-<1950 1933  17>,  	 E2 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(81)
printNotes: i= 25-<2032 2032    >,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(81)<-----%129   %0 <<

