	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-< 747 1015 -268>,  	 G1 --    1/8th( 64) <      > 	V 74 - M 64	=+10  %+14  	q=+10  %+14  	 0.424(80)
printNotes: i=  2-<1429 1515 -86>,  	 C2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(80)
printNotes: i=  3-< 287 1415 -1128>,  	 B1 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(80)
printNotes: i=  4-<1495 1515 -20>,  	 C2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(80)
printNotes: i=  5-<1424 1415   9>,  	 B1 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(80)
printNotes: i=  6-<1254 1515 -261>,  	 C2 --    1/8th( 64) <      > 	V 73 - M 64	= +9  %+12  	q= +9  %+12  	 0.418(80)
printNotes: i=  7-< 766 1315 -549>,  	Bb1 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(80)
printNotes: i=  8-< 829 1515 -686>,  	 C2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(80)
printNotes: i=  9-<1632 1724 -92>,  	 D2 --     half(257) <1*sela> 	V275 - M257	=+18  %+7  	q=+18  %+7  	 1.591(80)
printNotes: i= 10-<1880 1914 -34>,  	 E2 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(80)
printNotes: i= 11-<1741 1724  17>,  	 D2 -- 1/16th..( 56) <      > 	V 54 - M 56	= -2  %-4  	q= -2  %-4  	 0.308(80)
printNotes: i= 12-<1911 1914  -3>,  	 E2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 13-<1740 1724  16>,  	 D2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(80)
printNotes: i= 14-<1890 1914 -24>,  	 E2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(80)
printNotes: i= 15-<1512 1515  -3>,  	 C2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(80)
printNotes: i= 16-<1619 1724 -105>,  	 D2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(80)
printNotes: i= 17-<1345 1315  30>,  	Bb1 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(80)
printNotes: i= 18-<1500 1515 -15>,  	 C2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(80)
printNotes: i= 19-<1206 1215  -9>,  	 A1 --  1/16th.( 48) <      > 	V 47 - M 48	= -1  %-2  	q= -1  %-2  	 0.267(80)
printNotes: i= 20-< 930 1015 -85>,  	 G1 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(80)


silence
printNotes: i= 21-<   0   40 -40>,  	Slc --     half(257) <      > 	V250 - M232	=+18  %+7  	q= -7  %-3  	 1.445(80)
printNotes: i= 22-<1436 1315 121>,  	Bb1 --  1/64th.( 12) <      > 	V  9 - M  8	= +1  %+11  	q= -3  %-33  	 0.046(80)
printNotes: i= 23-<1881 1914 -33>,  	 E2 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(80)
printNotes: i= 24-<2049 2026  23>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(80)
printNotes: i= 25-<1733 1724   9>,  	 D2 --   1/8th.( 97) <      > 	V104 - M 97	= +7  %+7  	q= +7  %+7  	 0.598(80)
printNotes: i= 26-<1908 1914  -6>,  	 E2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 27-<1994 2026 -32>,  	 F2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(80)
printNotes: i= 28-<2227 2237 -10>,  	 G2 --    1/4th(129) <      > 	V142 - M129	=+13  %+9  	q=+13  %+9  	 0.819(80)


silence
printNotes: i= 29-<   0   40 -40>,  	Slc --    1/4th(129) <1*sela> 	V160 - M129	=+31  %+19  	q=+31  %+19  	 0.923(80)
printNotes: i= 30-<1941 1914  27>,  	 E2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(80)
printNotes: i= 31-<1980 2026 -46>,  	 F2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(80)
printNotes: i= 32-<1920 1914   6>,  	 E2 --    1/4th(129) <      > 	V143 - M129	=+14  %+10  	q=+14  %+10  	 0.824(80)
printNotes: i= 33-<1260 1724 -464>,  	 D2 -- 1/16th..( 56) <      > 	V 55 - M 56	= -1  %-2  	q= -1  %-2  	 0.313(80)
printNotes: i= 34-<1450 1515 -65>,  	 C2 --    1/4th(129) <1*sela> 	V154 - M129	=+25  %+16  	q=+25  %+16  	 0.888(80)
printNotes: i= 35-<1057 1914 -857>,  	 E2 --  1/16th.( 48) <      > 	V 41 - M 48	= -7  %-17  	q= -7  %-17  	 0.232(80)
printNotes: i= 36-<1646 1724 -78>,  	 D2 --     half(257) <      > 	V242 - M225	=+17  %+7  	q=-15  %-6  	 1.399(80)
printNotes: i= 37-<2062 2026  36>,  	 F2 --  128th..(  7) <      > 	V  7 - M  6	= +1  %+14  	q=  +  %+0  	 0.035(80)


silence
printNotes: i= 38-<   0   40 -40>,  	Slc --   half..(450) <      > 	V459 - M520	=-61  %-13  	q= +9  %+2  	 2.659(80)<-----%13   %2

printNotes: i= 39-<1658 1515 143>,  	 C2 --  1/32nd.( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(80)
printNotes: i= 40-<2400 2424 -24>,  	 A2 --    1/4th(129) <1*sela> 	V155 - M129	=+26  %+17  	q=+26  %+17  	 0.894(80)
printNotes: i= 41-<2689 2715 -26>,  	 C3 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(80)
printNotes: i= 42-<2557 2585 -28>,  	 B2 --   1/64th(  8) <      > 	V  8 - M  7	= +1  %+12  	q=  +  %+0  	 0.041(80)


silence
printNotes: i= 43-<   0   40 -40>,  	Slc --  1/16th.( 48) <      > 	V 43 - M 48	= -5  %-12  	q= -5  %-12  	 0.244(80)
printNotes: i= 44-<2187 2237 -50>,  	 G2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(80)
printNotes: i= 45-<1504 1914 -410>,  	 E2 --  1/32nd.( 24) <      > 	V 22 - M 24	= -2  %-9  	q= -2  %-9  	 0.122(80)
printNotes: i= 46-<1414 2237 -823>,  	 G2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(80)
printNotes: i= 47-<1920 1914   6>,  	 E2 --   1/4th.(193) <-1*sela> 	V164 - M193	=-29  %-18  	q=-29  %-18  	 0.946(80)
printNotes: i= 48-<1725 1724   1>,  	 D2 -- 1/16th..( 56) <      > 	V 53 - M 56	= -3  %-6  	q= -3  %-6  	 0.302(80)
printNotes: i= 49-<1507 1515  -8>,  	 C2 --   1/4th.(193) <-1*sela> 	V177 - M193	=-16  %-9  	q=-16  %-9  	 1.022(80)
printNotes: i= 50-<1708 1724 -16>,  	 D2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(80)
printNotes: i= 51-<1854 1914 -60>,  	 E2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(80)
printNotes: i= 52-<2007 2026 -19>,  	 F2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(80)
printNotes: i= 53-<1911 1914  -3>,  	 E2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(80)
printNotes: i= 54-<2008 2026 -18>,  	 F2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(80)
printNotes: i= 55-<1916 1914   2>,  	 E2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(80)
printNotes: i= 56-<1744 1724  20>,  	 D2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(80)
printNotes: i= 57-<1921 1914   7>,  	 E2 --    1/4th(129) <      > 	V128 - M129	= -1  %-1  	q= -1  %-1  	 0.737(80)
printNotes: i= 58-<1994 2026 -32>,  	 F2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(80)


silence
printNotes: i= 59-<   0   40 -40>,  	Slc --   1/4th.(193) <      > 	V188 - M270	=-82  %-44  	q= -5  %-3  	 1.086(80)<-----%44   %3

printNotes: i= 60-< 984  815 169>,  	 F1 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(80)
printNotes: i= 61-<1492 1515 -23>,  	 C2 --  1/8th..(113) <      > 	V117 - M113	= +4  %+3  	q= +4  %+3  	 0.673(80)
printNotes: i= 62-< 808 1724 -916>,  	 D2 --    1/8th( 64) <      > 	V 60 - M 56	= +4  %+7  	q= -4  %-7  	 0.342(80)
printNotes: i= 63-<1873 1914 -41>,  	 E2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(80)
printNotes: i= 64-<1613 1724 -111>,  	 D2 --    1/4th(129) <1*sela> 	V147 - M129	=+18  %+12  	q=+18  %+12  	 0.848(80)
printNotes: i= 65-<1901 1914 -13>,  	 E2 --   1/8th.( 97) <      > 	V 84 - M 97	=-13  %-15  	q=-13  %-15  	 0.482(80)
printNotes: i= 66-<1994 2026 -32>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 67-<1931 1914  17>,  	 E2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(80)
printNotes: i= 68-<1992 2026 -34>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 69-<1925 1914  11>,  	 E2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(80)
