	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1659 1426 233>,  	 B1 --   1/16th( 31) <      > 	V 37 - M 31	= +6  %+16  	q= +6  %+16  	 0.209(84)
printNotes: i=  2-<2235 2429 -194>,  	 A2 --  1/16th.( 46) <      > 	V 41 - M 46	= -5  %-12  	q= -5  %-12  	 0.232(84)
printNotes: i=  3-<2194 2230 -36>,  	 G2 --   1/16th( 31) <      > 	V 37 - M 31	= +6  %+16  	q= +6  %+16  	 0.209(84)
printNotes: i=  4-<2431 2429   2>,  	 A2 -- 1/16th..( 54) <      > 	V 56 - M 54	= +2  %+4  	q= +2  %+4  	 0.319(84)
printNotes: i=  5-<2618 2709 -91>,  	 C3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(84)
printNotes: i=  6-<2246 2230  16>,  	 G2 -- 1/16th..( 54) <      > 	V 55 - M 54	= +1  %+2  	q= +1  %+2  	 0.313(84)
printNotes: i=  7-<2414 2429 -15>,  	 A2 --   1/4th.(184) <      > 	V175 - M184	= -9  %-5  	q= -9  %-5  	 1.010(84)
printNotes: i=  8-<2530 2566 -36>,  	 B2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(84)
printNotes: i=  9-<2223 2230  -7>,  	 G2 --    1/4th(123) <      > 	V118 - M123	= -5  %-4  	q= -5  %-4  	 0.679(84)
printNotes: i= 10-<2517 2566 -49>,  	 B2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(84)
printNotes: i= 11-<2417 2429 -12>,  	 A2 --   1/8th.( 92) <      > 	V 87 - M 92	= -5  %-6  	q= -5  %-6  	 0.499(84)
printNotes: i= 12-<2467 2429  38>,  	 A2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 13-<2435 2429   6>,  	 A2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 14-<2651 2709 -58>,  	 C3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(84)
printNotes: i= 15-<2237 2230   7>,  	 G2 --   1/8th.( 92) <-1*sela> 	V 77 - M 61	=+16  %+21  	q=-15  %-19  	 0.441(84)
printNotes: i= 16-<2540 2566 -26>,  	 B2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(84)
printNotes: i= 17-<2408 2429 -21>,  	 A2 -- 1/16th..( 54) <      > 	V 53 - M 54	= -1  %-2  	q= -1  %-2  	 0.302(84)
printNotes: i= 18-<2155 2024 131>,  	 F2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 19-<2698 2709 -11>,  	 C3 --     half(245) <2*sela> 	V283 - M245	=+38  %+13  	q=+38  %+13  	 1.637(84)
printNotes: i= 20-<2615 2566  49>,  	 B2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(84)
printNotes: i= 21-<2775 2809 -34>,  	Db3 --  1/64th.( 11) <      > 	V  9 - M 11	= -2  %-22  	q= -2  %-22  	 0.046(84)
printNotes: i= 22-<2700 2709  -9>,  	 C3 --     half(245) <1*sela> 	V270 - M245	=+25  %+9  	q=+25  %+9  	 1.562(84)
printNotes: i= 23-<2582 2566  16>,  	 B2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 24-<2775 2809 -34>,  	Db3 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(84)
printNotes: i= 25-<2705 2709  -4>,  	 C3 --  1/4th..(215) <      > 	V217 - M215	= +2  %+1  	q= +2  %+1  	 1.254(84)
printNotes: i= 26-<2975 3022 -47>,  	Eb3 --  1/64th.( 11) <      > 	V 10 - M  8	= +2  %+20  	q= -1  %-10  	 0.052(84)
printNotes: i= 27-<2726 2709  17>,  	 C3 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(84)
printNotes: i= 28-<2567 2566   1>,  	 B2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 29-<2704 2709  -5>,  	 C3 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(84)
printNotes: i= 30-<2430 2429   1>,  	 A2 --  1/16th.( 46) <      > 	V 45 - M 46	= -1  %-2  	q= -1  %-2  	 0.255(84)
printNotes: i= 31-<2589 2566  23>,  	 B2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(84)
