	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1777 1988 -211>,  	 F2 -- 1/16th..( 55) <      > 	V 54 - M 55	= -1  %-2  	q= -1  %-2  	 0.308(82)
printNotes: i=  2-<2660 2688 -28>,  	 C3 --    1/4th(126) <      > 	V121 - M126	= -5  %-4  	q= -5  %-4  	 0.697(82)
printNotes: i=  3-<2591 2588   3>,  	 B2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(82)
printNotes: i=  4-<2439 2688 -249>,  	 C3 --    half.(377) <-3*sela> 	V318 - M377	=-59  %-19  	q=-59  %-19  	 1.840(82)
printNotes: i=  5-<2599 2588  11>,  	 B2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(82)
printNotes: i=  6-<2151 2688 -537>,  	 C3 --  1/16th.( 47) <      > 	V 46 - M 47	= -1  %-2  	q= -1  %-2  	 0.261(82)
printNotes: i=  7-<1988 2588 -600>,  	 B2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(82)
printNotes: i=  8-<2890 2899  -9>,  	 D3 --    1/4th(126) <      > 	V131 - M126	= +5  %+4  	q= +5  %+4  	 0.755(82)
printNotes: i=  9-<2280 2688 -408>,  	 C3 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(82)
printNotes: i= 10-<2844 2899 -55>,  	 D3 --  1/16th.( 47) <      > 	V 46 - M 47	= -1  %-2  	q= -1  %-2  	 0.261(82)
printNotes: i= 11-<2972 2959  13>,  	Eb3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(82)
printNotes: i= 12-<2907 2899   8>,  	 D3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(82)
printNotes: i= 13-<2959 2959    >,  	Eb3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(82)
printNotes: i= 14-<3037 3059 -22>,  	 E3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(82)
printNotes: i= 15-<2949 2959 -10>,  	Eb3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(82)
printNotes: i= 16-<2877 2899 -22>,  	 D3 -- 1/64th..( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(82)
printNotes: i= 17-<2989 2959  30>,  	Eb3 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(82)
printNotes: i= 18-<3075 3059  16>,  	 E3 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(82)
printNotes: i= 19-<2952 2959  -7>,  	Eb3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(82)
printNotes: i= 20-<2905 2899   6>,  	 D3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(82)
printNotes: i= 21-<2981 2959  22>,  	Eb3 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(82)
printNotes: i= 22-<2908 3188 -280>,  	 F3 --   1/8th.( 94) <      > 	V 92 - M 94	= -2  %-2  	q= -2  %-2  	 0.528(82)
