	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-< 966  991 -25>,  	 G1 --  1/16th.( 59) <      > 	V 51 - M 59	= -8  %-16  	q= -8  %-16  	 0.290(66)
printNotes: i=  2-<1492 1491   1>,  	 C2 --  1/4th..(274) <      > 	V280 - M274	= +6  %+2  	q= +6  %+2  	 1.620(66)
printNotes: i=  3-< 290 1191 -901>,  	 A1 --  1/16th.( 59) <      > 	V 54 - M 59	= -5  %-9  	q= -5  %-9  	 0.308(66)
printNotes: i=  4-<1495 1491   4>,  	 C2 --   1/4th.(235) <      > 	V221 - M235	=-14  %-6  	q=-14  %-6  	 1.277(66)
printNotes: i=  5-<1775 1765  10>,  	Eb2 --  1/16th.( 59) <      > 	V 54 - M 59	= -5  %-9  	q= -5  %-9  	 0.308(66)
printNotes: i=  6-<1715 1700  15>,  	 D2 -- 1/16th..( 68) <      > 	V 70 - M 68	= +2  %+3  	q= +2  %+3  	 0.401(66)


silence
printNotes: i=  7-<   0   40 -40>,  	Slc --  1/16th.( 59) <      > 	V 56 - M 78	=-22  %-39  	q= -3  %-5  	 0.319(66)<-----%39   %5

printNotes: i=  8-<1440 1391  49>,  	 B1 --  1/64th.( 15) <      > 	V 12 - M 15	= -3  %-25  	q= -3  %-25  	 0.064(66)
printNotes: i=  9-<1668 1700 -32>,  	 D2 --   1/16th( 39) <      > 	V 38 - M 39	= -1  %-3  	q= -1  %-3  	 0.215(66)
printNotes: i= 10-<1860 1888 -28>,  	 E2 --  1/64th.( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(66)
printNotes: i= 11-<1814 1765  49>,  	Eb2 --  1/64th.( 15) <      > 	V 12 - M 15	= -3  %-25  	q= -3  %-25  	 0.064(66)
printNotes: i= 12-<1966 1975  -9>,  	 F2 -- 1/32nd..( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(66)
printNotes: i= 13-<1904 1888  16>,  	 E2 --   1/64th( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(66)
printNotes: i= 14-<1990 1975  15>,  	 F2 --  1/32nd.( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(66)
printNotes: i= 15-<2215 2286 -71>,  	Ab2 --   128th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(66)
printNotes: i= 16-<1982 1975   7>,  	 F2 --    1/4th(157) <      > 	V169 - M157	=+12  %+7  	q=+12  %+7  	 0.975(66)
printNotes: i= 17-<2228 2286 -58>,  	Ab2 --   1/32nd( 20) <      > 	V 18 - M 20	= -2  %-11  	q= -2  %-11  	 0.099(66)
printNotes: i= 18-<2209 2186  23>,  	 G2 --  1/16th.( 59) <      > 	V 63 - M 59	= +4  %+6  	q= +4  %+6  	 0.360(66)
printNotes: i= 19-<1987 1975  12>,  	 F2 --   1/8th.(117) <      > 	V123 - M117	= +6  %+5  	q= +6  %+5  	 0.708(66)
printNotes: i= 20-<1854 1888 -34>,  	 E2 --   1/16th( 39) <      > 	V 47 - M 39	= +8  %+17  	q= +8  %+17  	 0.267(66)
printNotes: i= 21-< 143 1975 -1832>,  	 F2 --  1/32nd.( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(66)
printNotes: i= 22-<1900 1888  12>,  	 E2 --   1/8th.(117) <      > 	V121 - M117	= +4  %+3  	q= +4  %+3  	 0.697(66)
printNotes: i= 23-<1729 1700  29>,  	 D2 --  1/32nd.( 29) <      > 	V 25 - M 29	= -4  %-16  	q= -4  %-16  	 0.139(66)
printNotes: i= 24-<1890 1888   2>,  	 E2 --  1/32nd.( 29) <      > 	V 26 - M 29	= -3  %-12  	q= -3  %-12  	 0.145(66)


silence
printNotes: i= 25-<   0   40 -40>,  	Slc --    1/8th( 78) <      > 	V 74 - M 46	=+28  %+38  	q= -4  %-5  	 0.424(66)<-----%38   %5

printNotes: i= 26-<1479 1491 -12>,  	 C2 -- 1/32nd..( 34) <      > 	V 36 - M 39	= -3  %-8  	q= +2  %+6  	 0.203(66)
printNotes: i= 27-<1701 1700   1>,  	 D2 --  1/32nd.( 29) <      > 	V 26 - M 29	= -3  %-12  	q= -3  %-12  	 0.145(66)
printNotes: i= 28-<1878 1888 -10>,  	 E2 -- 1/32nd..( 34) <      > 	V 33 - M 34	= -1  %-3  	q= -1  %-3  	 0.186(66)
printNotes: i= 29-<1735 1700  35>,  	 D2 --   1/32nd( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(66)
printNotes: i= 30-<1897 1888   9>,  	 E2 --  1/32nd.( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(66)
printNotes: i= 31-<2044 2075 -31>,  	F#2 --   128th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(66)
printNotes: i= 32-<1887 1888  -1>,  	 E2 --  1/8th..(137) <      > 	V132 - M137	= -5  %-4  	q= -5  %-4  	 0.760(66)
printNotes: i= 33-<1981 1975   6>,  	 F2 --  1/16th.( 59) <      > 	V 62 - M 59	= +3  %+5  	q= +3  %+5  	 0.354(66)
printNotes: i= 34-<1872 1888 -16>,  	 E2 --   1/8th.(117) <      > 	V126 - M117	= +9  %+7  	q= +9  %+7  	 0.726(66)
printNotes: i= 35-<1702 1700   2>,  	 D2 --  1/16th.( 59) <      > 	V 55 - M 59	= -4  %-7  	q= -4  %-7  	 0.313(66)
printNotes: i= 36-<1715 1700  15>,  	 D2 --   1/32nd( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(66)<-- same note
printNotes: i= 37-<1876 1888 -12>,  	 E2 --   1/32nd( 20) <      > 	V 19 - M 20	= -1  %-5  	q= -1  %-5  	 0.104(66)
printNotes: i= 38-<1722 1700  22>,  	 D2 --  1/64th.( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(66)
printNotes: i= 39-<1937 1975 -38>,  	 F2 --  1/64th.( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(66)
printNotes: i= 40-<1716 1700  16>,  	 D2 --  1/32nd.( 29) <      > 	V 25 - M 29	= -4  %-16  	q= -4  %-16  	 0.139(66)
printNotes: i= 41-<1494 1491   3>,  	 C2 --  1/64th.( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(66)
printNotes: i= 42-<1647 1700 -53>,  	 D2 --   1/64th( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(66)
printNotes: i= 43-<1486 1491  -5>,  	 C2 --   1/32nd( 20) <      > 	V 23 - M 20	= +3  %+13  	q= +3  %+13  	 0.128(66)
printNotes: i= 44-<1376 1391 -15>,  	 B1 --   1/32nd( 20) <      > 	V 22 - M 20	= +2  %+9  	q= +2  %+9  	 0.122(66)
printNotes: i= 45-<1475 1491 -16>,  	 C2 --  1/16th.( 59) <      > 	V 62 - M 59	= +3  %+5  	q= +3  %+5  	 0.354(66)
printNotes: i= 46-<1499 1491   8>,  	 C2 --   1/4th.(235) <      > 	V235 - M235	=  +  %+0  	q=  +  %+0  	 1.358(66)<-- same note


silence
