	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1162 1200 -38>,  	 A1 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(83)
printNotes: i=  2-< 783 1000 -217>,  	 G1 --  1/4th..(217) <      > 	V204 - M186	=+18  %+9  	q=-13  %-6  	 1.178(83)
printNotes: i=  3-<1469 1476  -7>,  	 C2 --     half(248) <3*sela> 	V309 - M248	=+61  %+20  	q=+61  %+20  	 1.788(83)
printNotes: i=  4-< 796 1000 -204>,  	 G1 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i=  5-<1454 1476 -22>,  	 C2 --   1/4th.(186) <      > 	V191 - M186	= +5  %+3  	q= +5  %+3  	 1.103(83)
printNotes: i=  6-<1357 1476 -119>,  	 C2 --  1/8th..(109) <      > 	V109 - M109	=  +  %+0  	q=  +  %+0  	 0.627(83)<-- same note


silence
printNotes: i=  7-<   0   40 -40>,  	Slc --   1/4th.(186) <-1*sela> 	V168 - M124	=+44  %+26  	q=-18  %-11  	 0.969(83)<-----%26   %11

printNotes: i=  8-<1480 1476   4>,  	 C2 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(83)
printNotes: i=  9-<1689 1678  11>,  	 D2 --    half.(372) <-2*sela> 	V340 - M372	=-32  %-9  	q=-32  %-9  	 1.968(83)
printNotes: i= 10-<1392 1376  16>,  	 B1 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(83)
printNotes: i= 11-<1203 1678 -475>,  	 D2 --   1/8th.( 93) <      > 	V 78 - M 93	=-15  %-19  	q=-15  %-19  	 0.447(83)
printNotes: i= 12-<2181 2190  -9>,  	 G2 -- 1/16th..( 54) <      > 	V 54 - M 54	=  +  %+0  	q=  +  %+0  	 0.308(83)
printNotes: i= 13-<2001 1969  32>,  	 F2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(83)
printNotes: i= 14-<2172 2190 -18>,  	 G2 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(83)
printNotes: i= 15-<2004 1969  35>,  	 F2 --  1/32nd.( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(83)
printNotes: i= 16-<1780 1870 -90>,  	 E2 --     half(248) <1*sela> 	V278 - M248	=+30  %+11  	q=+30  %+11  	 1.608(83)
printNotes: i= 17-<1682 1678   4>,  	 D2 --    1/4th(124) <1*sela> 	V145 - M124	=+21  %+14  	q=+21  %+14  	 0.836(83)
printNotes: i= 18-<1966 1969  -3>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(83)
printNotes: i= 19-<1859 1870 -11>,  	 E2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(83)
printNotes: i= 20-<1703 1678  25>,  	 D2 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(83)
printNotes: i= 21-<1478 1476   2>,  	 C2 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(83)
printNotes: i= 22-<1373 1376  -3>,  	 B1 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(83)
printNotes: i= 23-<1467 1476  -9>,  	 C2 --    1/4th(124) <      > 	V125 - M124	= +1  %+1  	q= +1  %+1  	 0.720(83)


silence
