	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1370 1301  69>,  	Bb1 -- 1/32nd..( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(78)
printNotes: i=  2-<1948 2001 -53>,  	 F2 --   1/16th( 33) <      > 	V 40 - M 33	= +7  %+18  	q= +7  %+18  	 0.226(78)
printNotes: i=  3-<1895 1921 -26>,  	 E2 -- 1/32nd..( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(78)
printNotes: i=  4-<2008 2001   7>,  	 F2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(78)
printNotes: i=  5-<1740 1734   6>,  	 D2 --  1/16th.( 50) <      > 	V 53 - M 50	= +3  %+6  	q= +3  %+6  	 0.302(78)
printNotes: i=  6-<1912 1921  -9>,  	 E2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(78)
printNotes: i=  7-<1339 1524 -185>,  	 C2 --  1/8th..(116) <      > 	V117 - M116	= +1  %+1  	q= +1  %+1  	 0.673(78)
printNotes: i=  8-<1390 1401 -11>,  	 B1 -- 1/64th..( 15) <      > 	V 13 - M 12	= +1  %+8  	q= -2  %-15  	 0.070(78)
printNotes: i=  9-<1520 1524  -4>,  	 C2 --     half(266) <2*sela> 	V300 - M266	=+34  %+11  	q=+34  %+11  	 1.736(78)
printNotes: i= 10-<1876 1921 -45>,  	 E2 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(78)


silence
printNotes: i= 11-<   0   40 -40>,  	Slc --  1/8th..(116) <      > 	V114 - M100	=+14  %+12  	q= -2  %-2  	 0.656(78)<-----%12   %2

printNotes: i= 12-< 951 1067 -116>,  	 G1 -- 1/64th..( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(78)
printNotes: i= 13-<1694 1734 -40>,  	 D2 --  1/16th.( 50) <      > 	V 43 - M 50	= -7  %-16  	q= -7  %-16  	 0.244(78)
printNotes: i= 14-<1899 1921 -22>,  	 E2 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(78)
printNotes: i= 15-<1976 2001 -25>,  	 F2 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(78)
printNotes: i= 16-<1901 2223 -322>,  	 G2 --  128th..(  7) <      > 	V  7 - M  8	= -1  %-14  	q=  +  %+0  	 0.035(78)
printNotes: i= 17-<1994 2001  -7>,  	 F2 --    half.(399) <      > 	V393 - M399	= -6  %-2  	q= -6  %-2  	 2.276(78)
printNotes: i= 18-<1925 1921   4>,  	 E2 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(78)
printNotes: i= 19-<1740 1734   6>,  	 D2 --  1/16th.( 50) <      > 	V 45 - M 50	= -5  %-11  	q= -5  %-11  	 0.255(78)
printNotes: i= 20-<1338 2001 -663>,  	 F2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(78)
printNotes: i= 21-<1602 1734 -132>,  	 D2 -- 1/32nd..( 29) <      > 	V 27 - M 25	= +2  %+7  	q= -2  %-7  	 0.151(78)


silence
printNotes: i= 22-<   0   40 -40>,  	Slc --   1/8th.(100) <      > 	V102 - M140	=-38  %-37  	q= +2  %+2  	 0.586(78)<-----%37   %2

printNotes: i= 23-<1536 1401 135>,  	 B1 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(78)
printNotes: i= 24-<1964 2001 -37>,  	 F2 --   1/8th.(100) <      > 	V 94 - M100	= -6  %-6  	q= -6  %-6  	 0.540(78)
printNotes: i= 25-<1908 1921 -13>,  	 E2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(78)
printNotes: i= 26-<2103 2101   2>,  	F#2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(78)
printNotes: i= 27-<1895 1921 -26>,  	 E2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(78)
printNotes: i= 28-<1917 1921  -4>,  	 E2 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(78)<-- same note
printNotes: i= 29-<1904 1921 -17>,  	 E2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(78)<-- same note
printNotes: i= 30-<1756 1734  22>,  	 D2 --  1/16th.( 50) <      > 	V 46 - M 50	= -4  %-9  	q= -4  %-9  	 0.261(78)
printNotes: i= 31-<1971 2001 -30>,  	 F2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(78)
printNotes: i= 32-<2174 2223 -49>,  	 G2 -- 1/64th..( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(78)
printNotes: i= 33-<1905 1921 -16>,  	 E2 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(78)
printNotes: i= 34-<2005 2001   4>,  	 F2 --   1/16th( 33) <      > 	V 40 - M 33	= +7  %+18  	q= +7  %+18  	 0.226(78)
printNotes: i= 35-<1922 1921   1>,  	 E2 --     half(266) <1*sela> 	V288 - M266	=+22  %+8  	q=+22  %+8  	 1.666(78)
printNotes: i= 36-<1728 1734  -6>,  	 D2 --   1/16th( 33) <      > 	V 40 - M 33	= +7  %+18  	q= +7  %+18  	 0.226(78)
printNotes: i= 37-<1829 1921 -92>,  	 E2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(78)
printNotes: i= 38-<1509 1524 -15>,  	 C2 --    1/4th(133) <      > 	V127 - M133	= -6  %-5  	q= -6  %-5  	 0.731(78)
printNotes: i= 39-<1650 2001 -351>,  	 F2 --   128th.(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(78)
