	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1653 1536 117>,  	 C2 --  1/16th.( 50) <      > 	V 45 - M 50	= -5  %-11  	q= -5  %-11  	 0.255(77)
printNotes: i=  2-<2290 2381 -91>,  	Ak2 --  1/16th.( 50) <      > 	V 48 - M 50	= -2  %-4  	q= -2  %-4  	 0.273(77)
printNotes: i=  3-<2231 2237  -6>,  	 G2 --    1/8th( 67) <      > 	V 65 - M 67	= -2  %-3  	q= -2  %-3  	 0.372(77)
printNotes: i=  4-<2378 2381  -3>,  	Ak2 --  1/8th..(117) <      > 	V121 - M117	= +4  %+3  	q= +4  %+3  	 0.697(77)
printNotes: i=  5-<2233 2237  -4>,  	 G2 --    whole(536) <2*sela> 	V571 - M536	=+35  %+6  	q=+35  %+6  	 3.309(77)
printNotes: i=  6-<2373 2381  -8>,  	Ak2 --    1/4th(134) <      > 	V127 - M134	= -7  %-6  	q= -7  %-6  	 0.731(77)
printNotes: i=  7-<2233 2237  -4>,  	 G2 --    1/4th(134) <      > 	V144 - M134	=+10  %+7  	q=+10  %+7  	 0.830(77)
printNotes: i=  8-<2358 2381 -23>,  	Ak2 --  1/32nd.( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(77)
printNotes: i=  9-<2251 2237  14>,  	 G2 --  1/16th.( 50) <      > 	V 46 - M 50	= -4  %-9  	q= -4  %-9  	 0.261(77)
printNotes: i= 10-<2399 2381  18>,  	Ak2 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(77)
printNotes: i= 11-<2589 2626 -37>,  	 B2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 12-<2414 2381  33>,  	Ak2 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(77)
printNotes: i= 13-<2246 2237   9>,  	 G2 --  1/32nd.( 25) <      > 	V 21 - M 25	= -4  %-19  	q= -4  %-19  	 0.116(77)
printNotes: i= 14-<1574 2381 -807>,  	Ak2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(77)
printNotes: i= 15-<1955 2018 -63>,  	 F2 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(77)
printNotes: i= 16-<1893 1917 -24>,  	 E2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(77)
printNotes: i= 17-<2048 2018  30>,  	 F2 -- 1/16th..( 59) <      > 	V 56 - M 59	= -3  %-5  	q= -3  %-5  	 0.319(77)
printNotes: i= 18-<2529 2626 -97>,  	 B2 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(77)
printNotes: i= 19-<1322 2018 -696>,  	 F2 -- 1/32nd..( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(77)


silence
printNotes: i= 20-<   0   40 -40>,  	Slc --    1/4th(134) <1*sela> 	V154 - M241	=-87  %-56  	q=+20  %+13  	 0.888(77)<-----%56   %13

printNotes: i= 21-<1651 1536 115>,  	 C2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(77)
printNotes: i= 22-<2014 2018  -4>,  	 F2 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(77)
printNotes: i= 23-<1911 1917  -6>,  	 E2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(77)
printNotes: i= 24-<2020 2018   2>,  	 F2 --  1/16th.( 50) <      > 	V 43 - M 50	= -7  %-16  	q= -7  %-16  	 0.244(77)
printNotes: i= 25-<2235 2237  -2>,  	 G2 -- 1/16th..( 59) <      > 	V 57 - M 59	= -2  %-4  	q= -2  %-4  	 0.325(77)
printNotes: i= 26-<2435 2526 -91>,  	Bb2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 27-<2245 2237   8>,  	 G2 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(77)
printNotes: i= 28-<1892 2018 -126>,  	 F2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(77)
printNotes: i= 29-<2361 2381 -20>,  	Ak2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(77)
printNotes: i= 30-<2260 2237  23>,  	 G2 --  1/16th.( 50) <      > 	V 43 - M 50	= -7  %-16  	q= -7  %-16  	 0.244(77)
printNotes: i= 31-<2403 2381  22>,  	Ak2 -- 1/16th..( 59) <      > 	V 62 - M 59	= +3  %+5  	q= +3  %+5  	 0.354(77)
printNotes: i= 32-<2268 2237  31>,  	 G2 --  1/32nd.( 25) <      > 	V 21 - M 25	= -4  %-19  	q= -4  %-19  	 0.116(77)
printNotes: i= 33-<2420 2381  39>,  	Ak2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(77)
printNotes: i= 34-<2592 2626 -34>,  	 B2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 35-<2260 2237  23>,  	 G2 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(77)
printNotes: i= 36-<2501 2526 -25>,  	Bb2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)
printNotes: i= 37-<2242 2237   5>,  	 G2 --    1/8th( 67) <      > 	V 65 - M 67	= -2  %-3  	q= -2  %-3  	 0.372(77)
printNotes: i= 38-<2515 2526 -11>,  	Bb2 --  1/64th.( 13) <      > 	V  9 - M  7	= +2  %+22  	q= -4  %-44  	 0.046(77)
printNotes: i= 39-<2381 2381    >,  	Ak2 --  1/8th..(117) <      > 	V118 - M117	= +1  %+1  	q= +1  %+1  	 0.679(77)
printNotes: i= 40-<2242 2237   5>,  	 G2 --    1/4th(134) <      > 	V127 - M134	= -7  %-6  	q= -7  %-6  	 0.731(77)
printNotes: i= 41-<1784 2526 -742>,  	Bb2 --  1/64th.( 13) <      > 	V 11 - M 13	= -2  %-18  	q= -2  %-18  	 0.058(77)
printNotes: i= 42-<2111 2237 -126>,  	 G2 --   1/16th( 34) <      > 	V 35 - M 34	= +1  %+3  	q= +1  %+3  	 0.197(77)
printNotes: i= 43-<2346 2381 -35>,  	Ak2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(77)
printNotes: i= 44-<2249 2237  12>,  	 G2 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(77)


silence
printNotes: i= 45-<   0   40 -40>,  	Slc --  1/16th.( 50) <      > 	V 53 - M142	=-89  %-168  	q= +3  %+6  	 0.302(77)<-----%168   %6

printNotes: i= 46-<1815 1733  82>,  	 D2 --   1/16th( 34) <      > 	V 39 - M 34	= +5  %+13  	q= +5  %+13  	 0.221(77)
printNotes: i= 47-<2340 2381 -41>,  	Ak2 --  1/16th.( 50) <      > 	V 54 - M 50	= +4  %+7  	q= +4  %+7  	 0.308(77)
printNotes: i= 48-<2236 2237  -1>,  	 G2 --     half(268) <      > 	V267 - M268	= -1  %-0  	q= -1  %-0  	 1.544(77)
printNotes: i= 49-<2359 2381 -22>,  	Ak2 -- 1/32nd..( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(77)
printNotes: i= 50-<2250 2237  13>,  	 G2 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(77)
printNotes: i= 51-<2365 2381 -16>,  	Ak2 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(77)
printNotes: i= 52-<2520 2526  -6>,  	Bb2 --   1/16th( 34) <      > 	V 37 - M 34	= +3  %+8  	q= +3  %+8  	 0.209(77)
printNotes: i= 53-<2398 2381  17>,  	Ak2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(77)
printNotes: i= 54-< 964 2526 -1562>,  	Bb2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 55-<2393 2381  12>,  	Ak2 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(77)
printNotes: i= 56-<2498 2526 -28>,  	Bb2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 57-<2260 2237  23>,  	 G2 --   1/16th( 34) <      > 	V 36 - M 34	= +2  %+6  	q= +2  %+6  	 0.203(77)
printNotes: i= 58-<2475 2526 -51>,  	Bb2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 59-<2251 2237  14>,  	 G2 --   1/16th( 34) <      > 	V 39 - M 34	= +5  %+13  	q= +5  %+13  	 0.221(77)
printNotes: i= 60-<2375 2381  -6>,  	Ak2 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(77)
printNotes: i= 61-<2026 2018   8>,  	 F2 --   1/16th( 34) <      > 	V 37 - M 34	= +3  %+8  	q= +3  %+8  	 0.209(77)
printNotes: i= 62-<2253 2237  16>,  	 G2 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(77)
printNotes: i= 63-<2029 2018  11>,  	 F2 --   1/8th.(101) <      > 	V104 - M101	= +3  %+3  	q= +3  %+3  	 0.598(77)
printNotes: i= 64-<2240 2237   3>,  	 G2 --    1/8th( 67) <      > 	V 64 - M 67	= -3  %-5  	q= -3  %-5  	 0.366(77)
printNotes: i= 65-<1806 2526 -720>,  	Bb2 --  1/64th.( 13) <      > 	V 11 - M 13	= -2  %-18  	q= -2  %-18  	 0.058(77)
printNotes: i= 66-<2179 2237 -58>,  	 G2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(77)
printNotes: i= 67-<2354 2381 -27>,  	Ak2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(77)
printNotes: i= 68-<2258 2237  21>,  	 G2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(77)


silence
printNotes: i= 69-<   0   40 -40>,  	Slc --  1/16th.( 50) <      > 	V 51 - M 67	=-16  %-31  	q= +1  %+2  	 0.290(77)<-----%31   %2

printNotes: i= 70-<1445 1236 209>,  	 A1 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(77)
printNotes: i= 71-<2178 2237 -59>,  	 G2 -- 1/16th..( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(77)
printNotes: i= 72-<2034 2018  16>,  	 F2 --   1/8th.(101) <      > 	V108 - M101	= +7  %+6  	q= +7  %+6  	 0.621(77)
printNotes: i= 73-<2345 2381 -36>,  	Ak2 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(77)
printNotes: i= 74-<2255 2237  18>,  	 G2 --   1/16th( 34) <      > 	V 41 - M 34	= +7  %+17  	q= +7  %+17  	 0.232(77)
