	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1557 1509  48>,  	 C2 --   1/16th( 33) <      > 	V 32 - M 33	= -1  %-3  	q= -1  %-3  	 0.180(79)
printNotes: i=  2-<2330 2418 -88>,  	 A2 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(79)
printNotes: i=  3-<2236 2220  16>,  	 G2 --   1/16th( 33) <      > 	V 36 - M 33	= +3  %+8  	q= +3  %+8  	 0.203(79)
printNotes: i=  4-<2422 2418   4>,  	 A2 -- 1/16th..( 57) <      > 	V 56 - M 57	= -1  %-2  	q= -1  %-2  	 0.319(79)
printNotes: i=  5-<2640 2709 -69>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(79)
printNotes: i=  6-<2208 2220 -12>,  	 G2 --   1/8th.( 98) <      > 	V 84 - M 98	=-14  %-17  	q=-14  %-17  	 0.482(79)
printNotes: i=  7-<2417 2418  -1>,  	 A2 --   1/4th.(196) <      > 	V197 - M196	= +1  %+1  	q= +1  %+1  	 1.138(79)
printNotes: i=  8-<2570 2609 -39>,  	 B2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(79)
printNotes: i=  9-<2220 2220    >,  	 G2 --    1/4th(131) <      > 	V124 - M115	= +9  %+7  	q= -7  %-6  	 0.714(79)
printNotes: i= 10-<2506 2509  -3>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(79)
printNotes: i= 11-<2401 2418 -17>,  	 A2 --   1/8th.( 98) <      > 	V 89 - M 98	= -9  %-10  	q= -9  %-10  	 0.511(79)
printNotes: i= 12-<2960 3016 -56>,  	Eb3 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(79)
printNotes: i= 13-<2703 2709  -6>,  	 C3 -- 1/16th..( 57) <      > 	V 53 - M 49	= +4  %+8  	q= -4  %-8  	 0.302(79)
printNotes: i= 14-<2539 3016 -477>,  	Eb3 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(79)
printNotes: i= 15-<2635 2709 -74>,  	 C3 --     half(262) <      > 	V277 - M262	=+15  %+5  	q=+15  %+5  	 1.602(79)
printNotes: i= 16-<2603 2609  -6>,  	 B2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(79)
printNotes: i= 17-<2351 2709 -358>,  	 C3 -- 1/16th..( 57) <      > 	V 54 - M 57	= -3  %-6  	q= -3  %-6  	 0.308(79)
printNotes: i= 18-<1750 2916 -1166>,  	 D3 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(79)
printNotes: i= 19-<2656 2709 -53>,  	 C3 --    1/4th(131) <      > 	V125 - M115	=+10  %+8  	q= -6  %-5  	 0.720(79)


silence
printNotes: i= 20-<   0   40 -40>,  	Slc --    1/8th( 65) <      > 	V 62 - M131	=-69  %-111  	q= -3  %-5  	 0.354(79)<-----%111   %5

printNotes: i= 21-<1947 1720 227>,  	 D2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(79)
printNotes: i= 22-<2633 2709 -76>,  	 C3 -- 1/16th..( 57) <      > 	V 54 - M 57	= -3  %-6  	q= -3  %-6  	 0.308(79)
printNotes: i= 23-<2600 2609  -9>,  	 B2 --   1/32nd( 16) <      > 	V 20 - M 16	= +4  %+20  	q= +4  %+20  	 0.110(79)
printNotes: i= 24-<2695 2709 -14>,  	 C3 --  1/16th.( 49) <      > 	V 47 - M 49	= -2  %-4  	q= -2  %-4  	 0.267(79)
printNotes: i= 25-<2907 2916  -9>,  	 D3 --  1/16th.( 49) <      > 	V 44 - M 49	= -5  %-11  	q= -5  %-11  	 0.250(79)
printNotes: i= 26-<3157 3216 -59>,  	 F3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(79)
printNotes: i= 27-<2921 2916   5>,  	 D3 --   1/16th( 33) <      > 	V 36 - M 33	= +3  %+8  	q= +3  %+8  	 0.203(79)
