	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1002 1021 -19>,  	 G1 --  1/16th.( 49) <      > 	V 50 - M 49	= +1  %+2  	q= +1  %+2  	 0.284(80)
printNotes: i=  2-<1486 1521 -35>,  	 C2 --    half.(388) <-4*sela> 	V324 - M259	=+65  %+20  	q=-64  %-20  	 1.875(80)
printNotes: i=  3-< 819 1221 -402>,  	 A1 --  1/32nd.( 24) <      > 	V 22 - M 24	= -2  %-9  	q= -2  %-9  	 0.122(80)
printNotes: i=  4-<1405 1521 -116>,  	 C2 --  1/4th..(227) <      > 	V215 - M227	=-12  %-6  	q=-12  %-6  	 1.242(80)
printNotes: i=  5-<1464 1725 -261>,  	 D2 --  1/8th..(113) <      > 	V110 - M113	= -3  %-3  	q= -3  %-3  	 0.633(80)
printNotes: i=  6-<1907 1916  -9>,  	 E2 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(80)
printNotes: i=  7-<1736 1725  11>,  	 D2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(80)
printNotes: i=  8-<1895 1916 -21>,  	 E2 -- 1/16th..( 57) <      > 	V 58 - M 57	= +1  %+2  	q= +1  %+2  	 0.331(80)
printNotes: i=  9-<1995 2017 -22>,  	 F2 --  1/32nd.( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(80)
printNotes: i= 10-<1918 1916   2>,  	 E2 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(80)
printNotes: i= 11-<2004 2017 -13>,  	 F2 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(80)
printNotes: i= 12-<1922 1916   6>,  	 E2 -- 1/32nd..( 28) <      > 	V 26 - M 24	= +2  %+8  	q= -2  %-8  	 0.145(80)
printNotes: i= 13-<2003 2017 -14>,  	 F2 --  1/32nd.( 24) <      > 	V 22 - M 24	= -2  %-9  	q= -2  %-9  	 0.122(80)
printNotes: i= 14-<1921 1916   5>,  	 E2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(80)
printNotes: i= 15-<1805 2017 -212>,  	 F2 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(80)
printNotes: i= 16-<1587 1916 -329>,  	 E2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(80)


silence
printNotes: i= 17-<   0   40 -40>,  	Slc --    1/8th( 65) <      > 	V 75 - M129	=-54  %-72  	q=+10  %+13  	 0.430(80)<-----%72   %13

printNotes: i= 18-<1400 1421 -21>,  	 B1 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(80)
printNotes: i= 19-<1284 1725 -441>,  	 D2 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(80)
printNotes: i= 20-<1469 1521 -52>,  	 C2 --     half(259) <1*sela> 	V276 - M259	=+17  %+6  	q=+17  %+6  	 1.596(80)
printNotes: i= 21-<1087 1421 -334>,  	 B1 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(80)
printNotes: i= 22-<1890 1916 -26>,  	 E2 --  1/8th..(113) <      > 	V115 - M113	= +2  %+2  	q= +2  %+2  	 0.662(80)
printNotes: i= 23-<1738 1725  13>,  	 D2 --    1/8th( 65) <      > 	V 66 - M 65	= +1  %+2  	q= +1  %+2  	 0.377(80)
printNotes: i= 24-<1925 1916   9>,  	 E2 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(80)
printNotes: i= 25-<1763 1725  38>,  	 D2 --   1/16th( 32) <      > 	V 36 - M 32	= +4  %+11  	q= +4  %+11  	 0.203(80)
printNotes: i= 26-<1901 1916 -15>,  	 E2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(80)
printNotes: i= 27-<1794 1725  69>,  	 D2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(80)
printNotes: i= 28-<1883 1916 -33>,  	 E2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(80)


silence
printNotes: i= 29-<   0   40 -40>,  	Slc --   1/8th.( 97) <-1*sela> 	V 81 - M129	=-48  %-59  	q=-16  %-20  	 0.464(80)<-----%59   %20

printNotes: i= 30-<1129 1725 -596>,  	 D2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(80)
printNotes: i= 31-<1038 1521 -483>,  	 C2 --  1/8th..(113) <      > 	V118 - M113	= +5  %+4  	q= +5  %+4  	 0.679(80)
printNotes: i= 32-<1479 1521 -42>,  	 C2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 33-<1717 1725  -8>,  	 D2 --     half(259) <      > 	V266 - M259	= +7  %+3  	q= +7  %+3  	 1.538(80)
printNotes: i= 34-<1873 1916 -43>,  	 E2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 35-<1727 1725   2>,  	 D2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(80)
printNotes: i= 36-<1503 1521 -18>,  	 C2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(80)
