	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1079 1029  50>,  	 G1 --  1/16th.( 50) <      > 	V 53 - M 50	= +3  %+6  	q= +3  %+6  	 0.302(78)
printNotes: i=  2-<1522 1529  -7>,  	 C2 --    whole(530) <      > 	V529 - M530	= -1  %-0  	q= -1  %-0  	 3.065(78)
printNotes: i=  3-<1432 1434  -2>,  	 B1 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(78)
printNotes: i=  4-<1638 1732 -94>,  	 D2 -- 1/64th..( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(78)
printNotes: i=  5-<1535 1529   6>,  	 C2 --   half..(464) <      > 	V464 - M464	=  +  %+0  	q=  +  %+0  	 2.688(78)
printNotes: i=  6-<1421 1434 -13>,  	 B1 -- 1/64th..( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(78)
printNotes: i=  7-<1613 1732 -119>,  	 D2 -- 1/64th..( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(78)
printNotes: i=  8-<1534 1529   5>,  	 C2 --  1/4th..(232) <      > 	V223 - M232	= -9  %-4  	q= -9  %-4  	 1.289(78)
printNotes: i=  9-<1424 1434 -10>,  	 B1 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(78)
printNotes: i= 10-<1454 1529 -75>,  	 C2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(78)
printNotes: i= 11-<1247 1234  13>,  	 A1 --   1/4th.(199) <      > 	V189 - M199	=-10  %-5  	q=-10  %-5  	 1.091(78)
printNotes: i= 12-< 578 1434 -856>,  	 B1 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(78)
printNotes: i= 13-<1003 1234 -231>,  	 A1 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(78)


silence
printNotes: i= 14-<   0   40 -40>,  	Slc --     half(265) <3*sela> 	V316 - M271	=+45  %+14  	q=+51  %+16  	 1.829(78)
printNotes: i= 15-<1052 1029  23>,  	 G1 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(78)
printNotes: i= 16-<1243 1234   9>,  	 A1 --   1/4th.(199) <-1*sela> 	V169 - M199	=-30  %-18  	q=-30  %-18  	 0.975(78)
printNotes: i= 17-<1478 1529 -51>,  	 C2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(78)
printNotes: i= 18-<1460 1434  26>,  	 B1 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(78)
printNotes: i= 19-<1603 1629 -26>,  	Db2 -- 1/64th..( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(78)
printNotes: i= 20-<1499 1529 -30>,  	 C2 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(78)
printNotes: i= 21-<1429 1434  -5>,  	 B1 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(78)
printNotes: i= 22-<1280 1234  46>,  	 A1 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(78)
printNotes: i= 23-<1494 1529 -35>,  	 C2 -- 1/64th..( 15) <      > 	V 13 - M 12	= +1  %+8  	q= -2  %-15  	 0.070(78)
printNotes: i= 24-<1434 1434    >,  	 B1 --   half..(464) <-1*sela> 	V433 - M464	=-31  %-7  	q=-31  %-7  	 2.508(78)
printNotes: i= 25-<1241 1234   7>,  	 A1 --  1/16th.( 50) <      > 	V 52 - M 50	= +2  %+4  	q= +2  %+4  	 0.296(78)
printNotes: i= 26-<1015 1029 -14>,  	 G1 --   1/4th.(199) <-1*sela> 	V181 - M199	=-18  %-10  	q=-18  %-10  	 1.045(78)


silence
printNotes: i= 27-<   0   40 -40>,  	Slc --   1/4th.(199) <      > 	V184 - M138	=+46  %+25  	q=-15  %-8  	 1.062(78)<-----%25   %8

printNotes: i= 28-<1039 1029  10>,  	 G1 --   1/16th( 33) <      > 	V 35 - M 33	= +2  %+6  	q= +2  %+6  	 0.197(78)
printNotes: i= 29-<1263 1234  29>,  	 A1 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(78)
printNotes: i= 30-<1427 1434  -7>,  	 B1 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(78)
printNotes: i= 31-<1539 1529  10>,  	 C2 --  1/16th.( 50) <      > 	V 48 - M 50	= -2  %-4  	q= -2  %-4  	 0.273(78)
printNotes: i= 32-<1443 1434   9>,  	 B1 -- 1/64th..( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(78)
printNotes: i= 33-<1732 1732    >,  	 D2 --    1/4th(133) <      > 	V136 - M133	= +3  %+2  	q= +3  %+2  	 0.784(78)
printNotes: i= 34-<1537 1529   8>,  	 C2 --     half(265) <      > 	V277 - M265	=+12  %+4  	q=+12  %+4  	 1.602(78)
printNotes: i= 35-<1437 1434   3>,  	 B1 -- 1/64th..( 15) <      > 	V 14 - M 12	= +2  %+14  	q= -1  %-7  	 0.075(78)
printNotes: i= 36-<1530 1529   1>,  	 C2 --   1/4th.(199) <      > 	V185 - M199	=-14  %-8  	q=-14  %-8  	 1.068(78)
printNotes: i= 37-<2010 2029 -19>,  	 F2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(78)
printNotes: i= 38-<1197 1529 -332>,  	 C2 --   1/16th( 33) <      > 	V 35 - M 33	= +2  %+6  	q= +2  %+6  	 0.197(78)


silence
printNotes: i= 39-<   0   40 -40>,  	Slc --    1/4th(133) <      > 	V141 - M139	= +2  %+1  	q= +8  %+6  	 0.813(78)
printNotes: i= 40-<1335 1234 101>,  	 A1 --  1/32nd.( 25) <      > 	V 21 - M 25	= -4  %-19  	q= -4  %-19  	 0.116(78)
printNotes: i= 41-<1747 1732  15>,  	 D2 --   1/4th.(199) <      > 	V192 - M199	= -7  %-4  	q= -7  %-4  	 1.109(78)
printNotes: i= 42-<1918 1914   4>,  	 E2 --   1/4th.(199) <      > 	V203 - M199	= +4  %+2  	q= +4  %+2  	 1.173(78)
printNotes: i= 43-<2075 2129 -54>,  	F#2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(78)
printNotes: i= 44-<1902 1914 -12>,  	 E2 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(78)
printNotes: i= 45-<1707 1732 -25>,  	 D2 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(78)
printNotes: i= 46-<1854 1914 -60>,  	 E2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(78)
printNotes: i= 47-<1730 1732  -2>,  	 D2 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(78)
printNotes: i= 48-<1808 1832 -24>,  	Eb2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(78)
printNotes: i= 49-<1731 1732  -1>,  	 D2 --   1/16th( 33) <      > 	V 31 - M 29	= +2  %+6  	q= -2  %-6  	 0.174(78)
printNotes: i= 50-<1532 1529   3>,  	 C2 --   1/8th.( 99) <      > 	V 83 - M 99	=-16  %-19  	q=-16  %-19  	 0.476(78)
printNotes: i= 51-<1444 1434  10>,  	 B1 -- 1/64th..( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(78)
printNotes: i= 52-<1537 1529   8>,  	 C2 --   1/4th.(199) <      > 	V210 - M199	=+11  %+5  	q=+11  %+5  	 1.213(78)
printNotes: i= 53-<1416 1434 -18>,  	 B1 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(78)
printNotes: i= 54-<1499 1529 -30>,  	 C2 -- 1/64th..( 15) <      > 	V 13 - M 12	= +1  %+8  	q= -2  %-15  	 0.070(78)
printNotes: i= 55-<1246 1234  12>,  	 A1 --   1/4th.(199) <-1*sela> 	V171 - M199	=-28  %-16  	q=-28  %-16  	 0.987(78)


silence
printNotes: i= 56-<   0   40 -40>,  	Slc --    1/4th(133) <      > 	V135 - M139	= -4  %-3  	q= +2  %+1  	 0.778(78)
printNotes: i= 57-< 966  829 137>,  	 F1 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(78)
printNotes: i= 58-<1404 1434 -30>,  	 B1 --  1/16th.( 50) <      > 	V 47 - M 50	= -3  %-6  	q= -3  %-6  	 0.267(78)
printNotes: i= 59-<1505 1529 -24>,  	 C2 -- 1/64th..( 15) <      > 	V 13 - M 12	= +1  %+8  	q= -2  %-15  	 0.070(78)
printNotes: i= 60-<1444 1434  10>,  	 B1 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(78)
printNotes: i= 61-<1512 1529 -17>,  	 C2 -- 1/64th..( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(78)
printNotes: i= 62-<1454 1434  20>,  	 B1 --   1/8th.( 99) <      > 	V 85 - M 99	=-14  %-16  	q=-14  %-16  	 0.488(78)
printNotes: i= 63-<1731 1732  -1>,  	 D2 --    1/4th(133) <      > 	V149 - M133	=+16  %+11  	q=+16  %+11  	 0.859(78)
printNotes: i= 64-<1534 1529   5>,  	 C2 --  1/4th..(232) <      > 	V230 - M232	= -2  %-1  	q= -2  %-1  	 1.329(78)
printNotes: i= 65-<1390 1434 -44>,  	 B1 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(78)
printNotes: i= 66-<1471 1529 -58>,  	 C2 --    half.(398) <      > 	V383 - M398	=-15  %-4  	q=-15  %-4  	 2.218(78)


silence
printNotes: i= 67-<   0   40 -40>,  	Slc --  whole..(928) <-1*sela> 	V907 - M934	=-27  %-3  	q=-21  %-2  	 5.259(78)
printNotes: i= 68-<1113 1029  84>,  	 G1 -- 1/16th..( 58) <      > 	V 56 - M 58	= -2  %-4  	q= -2  %-4  	 0.319(78)
printNotes: i= 69-<1330 1529 -199>,  	 C2 --   1/8th.( 99) <      > 	V 99 - M 99	=  +  %+0  	q=  +  %+0  	 0.569(78)
printNotes: i= 70-< 365 1234 -869>,  	 A1 --  1/32nd.( 25) <      > 	V 21 - M 25	= -4  %-19  	q= -4  %-19  	 0.116(78)
printNotes: i= 71-<1392 1529 -137>,  	 C2 --    1/8th( 66) <      > 	V 81 - M 66	=+15  %+19  	q=+15  %+19  	 0.464(78)
printNotes: i= 72-<1429 1434  -5>,  	 B1 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(78)
printNotes: i= 73-<1519 1529 -10>,  	 C2 --    1/4th(133) <      > 	V126 - M133	= -7  %-6  	q= -7  %-6  	 0.726(78)
printNotes: i= 74-<1249 1529 -280>,  	 C2 --  1/16th.( 50) <      > 	V 50 - M 50	=  +  %+0  	q=  +  %+0  	 0.284(78)<-- same note
printNotes: i= 75-< 598 1434 -836>,  	 B1 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(78)
printNotes: i= 76-<1529 1529    >,  	 C2 -- 1/16th..( 58) <      > 	V 58 - M 58	=  +  %+0  	q=  +  %+0  	 0.331(78)
printNotes: i= 77-<1448 1434  14>,  	 B1 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(78)
printNotes: i= 78-<1553 1529  24>,  	 C2 --  1/16th.( 50) <      > 	V 53 - M 50	= +3  %+6  	q= +3  %+6  	 0.302(78)
printNotes: i= 79-<1993 2029 -36>,  	 F2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(78)


silence
printNotes: i= 80-<  24   40 -16>,  	Slc --   1/4th.(199) <      > 	V191 - M205	=-14  %-7  	q= -8  %-4  	 1.103(78)
printNotes: i= 81-<1237 1234   3>,  	 A1 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(78)
printNotes: i= 82-<1496 1529 -33>,  	 C2 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(78)
printNotes: i= 83-<1493 1529 -36>,  	 C2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(78)<-- same note
printNotes: i= 84-<1318 1234  84>,  	 A1 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(78)
printNotes: i= 85-<1510 1529 -19>,  	 C2 --   1/4th.(199) <      > 	V184 - M199	=-15  %-8  	q=-15  %-8  	 1.062(78)
printNotes: i= 86-< 946 1334 -388>,  	Bb1 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(78)
printNotes: i= 87-<1531 1529   2>,  	 C2 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(78)
printNotes: i= 88-<1465 1434  31>,  	 B1 --  1/16th.( 50) <      > 	V 43 - M 50	= -7  %-16  	q= -7  %-16  	 0.244(78)
printNotes: i= 89-<1518 1529 -11>,  	 C2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(78)
printNotes: i= 90-<1450 1434  16>,  	 B1 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(78)
printNotes: i= 91-<1505 1529 -24>,  	 C2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(78)


silence
printNotes: i= 92-<1437   40 1397>,  	Slc --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(78)
printNotes: i= 93-<1445 1434  11>,  	 B1 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(78)
printNotes: i= 94-<1219 1234 -15>,  	 A1 --   1/16th( 33) <      > 	V 39 - M 33	= +6  %+15  	q= +6  %+15  	 0.221(78)
printNotes: i= 95-<1405 1434 -29>,  	 B1 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(78)
printNotes: i= 96-<1131 1234 -103>,  	 A1 --   1/4th.(199) <      > 	V202 - M199	= +3  %+1  	q= +3  %+1  	 1.167(78)
printNotes: i= 97-<1417 1434 -17>,  	 B1 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(78)
printNotes: i= 98-<1420 1434 -14>,  	 B1 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(78)<-- same note
printNotes: i= 99-<1710 1732 -22>,  	 D2 --   1/8th.( 99) <      > 	V101 - M 99	= +2  %+2  	q= +2  %+2  	 0.580(78)
printNotes: i= 100-<1557 1529  28>,  	 C2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(78)
printNotes: i= 101-<1706 1732 -26>,  	 D2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(78)
printNotes: i= 102-<1549 1529  20>,  	 C2 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(78)
printNotes: i= 103-<1600 1629 -29>,  	Db2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(78)
printNotes: i= 104-<1519 1529 -10>,  	 C2 --  1/32nd.( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(78)
printNotes: i= 105-<1397 1434 -37>,  	 B1 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(78)
printNotes: i= 106-<1529 1529    >,  	 C2 --    half.(398) <-3*sela> 	V340 - M398	=-58  %-17  	q=-58  %-17  	 1.968(78)


silence
printNotes: i= 107-<   0   40 -40>,  	Slc --    half.(398) <1*sela> 	V424 - M530	=-106  %-25  	q=+26  %+6  	 2.456(78)<-----%25   %6

