	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1073 1016  57>,  	 G1 -- 1/32nd..( 28) <      > 	V 26 - M 28	= -2  %-8  	q= -2  %-8  	 0.145(81)
printNotes: i=  2-<1476 1522 -46>,  	 C2 --  1/16th.( 48) <      > 	V 43 - M 48	= -5  %-12  	q= -5  %-12  	 0.244(81)
printNotes: i=  3-<1343 1316  27>,  	Bb1 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(81)
printNotes: i=  4-<1484 1522 -38>,  	 C2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(81)
printNotes: i=  5-<1733 1727   6>,  	 D2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(81)
printNotes: i=  6-<1893 1918 -25>,  	 E2 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(81)
printNotes: i=  7-<1999 2016 -17>,  	 F2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i=  8-<1902 1918 -16>,  	 E2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i=  9-<2218 2233 -15>,  	 G2 --   1/8th.( 95) <      > 	V 84 - M 95	=-11  %-13  	q=-11  %-13  	 0.482(81)
printNotes: i= 10-<2009 2016  -7>,  	 F2 --   half..(444) <1*sela> 	V466 - M444	=+22  %+5  	q=+22  %+5  	 2.699(81)
printNotes: i= 11-<1929 1918  11>,  	 E2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 12-<2145 2233 -88>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 13-<2009 2016  -7>,  	 F2 --    half.(381) <-2*sela> 	V337 - M381	=-44  %-13  	q=-44  %-13  	 1.950(81)
printNotes: i= 14-<1892 1918 -26>,  	 E2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 15-<2003 2016 -13>,  	 F2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(81)
printNotes: i= 16-<2222 2233 -11>,  	 G2 --  1/32nd.( 24) <      > 	V 20 - M 24	= -4  %-20  	q= -4  %-20  	 0.110(81)
printNotes: i= 17-<2474 2516 -42>,  	Bb2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 18-<2251 2233  18>,  	 G2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(81)
printNotes: i= 19-<2038 2016  22>,  	 F2 -- 1/32nd..( 28) <      > 	V 26 - M 28	= -2  %-8  	q= -2  %-8  	 0.145(81)
printNotes: i= 20-<2213 2233 -20>,  	 G2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(81)
printNotes: i= 21-<1912 1918  -6>,  	 E2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 22-<2097 2116 -19>,  	F#2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 23-<1747 1727  20>,  	 D2 --  1/16th.( 48) <      > 	V 40 - M 48	= -8  %-20  	q= -8  %-20  	 0.226(81)
printNotes: i= 24-<2014 2016  -2>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(81)
printNotes: i= 25-<1099 1522 -423>,  	 C2 --  1/16th.( 48) <      > 	V 45 - M 48	= -3  %-7  	q= -3  %-7  	 0.255(81)
printNotes: i= 26-<1363 1316  47>,  	Bb1 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(81)
printNotes: i= 27-<1542 1522  20>,  	 C2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(81)
printNotes: i= 28-<1744 1727  17>,  	 D2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(81)
printNotes: i= 29-<1896 1918 -22>,  	 E2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 30-<2016 2016    >,  	 F2 -- 1/32nd..( 28) <      > 	V 26 - M 24	= +2  %+8  	q= -2  %-8  	 0.145(81)
printNotes: i= 31-<2243 2233  10>,  	 G2 --  1/16th.( 48) <      > 	V 42 - M 48	= -6  %-14  	q= -6  %-14  	 0.238(81)
printNotes: i= 32-<2391 2416 -25>,  	 A2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 33-<2056 2016  40>,  	 F2 --  1/16th.( 48) <      > 	V 40 - M 48	= -8  %-20  	q= -8  %-20  	 0.226(81)
printNotes: i= 34-<2250 2333 -83>,  	Ab2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(81)
printNotes: i= 35-<1931 1918  13>,  	 E2 -- 1/16th..( 56) <      > 	V 56 - M 56	=  +  %+0  	q=  +  %+0  	 0.319(81)
printNotes: i= 36-<2215 2233 -18>,  	 G2 --    1/8th( 63) <      > 	V 77 - M 63	=+14  %+18  	q=+14  %+18  	 0.441(81)
printNotes: i= 37-<2017 2016   1>,  	 F2 --  1/4th..(222) <      > 	V221 - M222	= -1  %-0  	q= -1  %-0  	 1.277(81)
printNotes: i= 38-<1955 1918  37>,  	 E2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 39-<2169 2233 -64>,  	 G2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(81)
printNotes: i= 40-<2018 2016   2>,  	 F2 --   1/4th.(190) <      > 	V197 - M190	= +7  %+4  	q= +7  %+4  	 1.138(81)
printNotes: i= 41-<1290 2416 -1126>,  	 A2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(81)
printNotes: i= 42-<1919 2016 -97>,  	 F2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(81)


silence
printNotes: i= 43-<   0   40 -40>,  	Slc --     half(254) <      > 	V244 - M259	=-15  %-6  	q=-10  %-4  	 1.411(81)
printNotes: i= 44-<1424 1316 108>,  	Bb1 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 45-<1896 2016 -120>,  	 F2 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(81)
printNotes: i= 46-<1848 1818  30>,  	Eb2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(81)
printNotes: i= 47-<1985 2016 -31>,  	 F2 --  1/32nd.( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(81)
printNotes: i= 48-<2234 2233   1>,  	 G2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(81)
printNotes: i= 49-<2452 2516 -64>,  	Bb2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 50-<2015 2016  -1>,  	 F2 --    1/4th(127) <1*sela> 	V148 - M127	=+21  %+14  	q=+21  %+14  	 0.853(81)
printNotes: i= 51-<2338 2416 -78>,  	 A2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(81)
printNotes: i= 52-<2011 2016  -5>,  	 F2 --    1/4th(127) <      > 	V127 - M127	=  +  %+0  	q=  +  %+0  	 0.731(81)
printNotes: i= 53-<2251 2333 -82>,  	Ab2 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(81)
printNotes: i= 54-<2011 2016  -5>,  	 F2 --   1/8th.( 95) <      > 	V100 - M 95	= +5  %+5  	q= +5  %+5  	 0.575(81)
printNotes: i= 55-<2283 2333 -50>,  	Ab2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(81)
printNotes: i= 56-<2001 2016 -15>,  	 F2 --   1/8th.( 95) <      > 	V 83 - M 95	=-12  %-14  	q=-12  %-14  	 0.476(81)
