	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1956 2083 -127>,  	 D2 --  1/16th.( 48) <      > 	V 48 - M 32	=+16  %+33  	q=  +  %+0  	 0.273(80)<-----%33   %0

printNotes: i=  2-<2587 2583   4>,  	 G2 --    whole(517) <2*sela> 	V554 - M582	=-28  %-5  	q=+37  %+7  	 3.210(80)
printNotes: i=  3-<2498 2458  40>,  	F#2 --  1/64th.( 12) <      > 	V  9 - M 32	=-23  %-256  	q= -3  %-33  	 0.046(80)<-----%256   %33 <<

printNotes: i=  4-<2597 2583  14>,  	 G2 --     half(259) <3*sela> 	V314 - M259	=+55  %+18  	q=+55  %+18  	 1.817(80)
printNotes: i=  5-<2489 2458  31>,  	F#2 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(80)<-----%129   %0 <<

printNotes: i=  6-<2592 2583   9>,  	 G2 --   1/4th.(194) <      > 	V188 - M194	= -6  %-3  	q= -6  %-3  	 1.086(80)
printNotes: i=  7-<2477 2458  19>,  	F#2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(80)
printNotes: i=  8-<2266 2219  47>,  	Ek2 -- 1/16th..( 57) <      > 	V 53 - M 48	= +5  %+9  	q= -4  %-8  	 0.302(80)
printNotes: i=  9-<2227 2083 144>,  	 D2 -- 1/16th..( 57) <      > 	V 58 - M 32	=+26  %+45  	q= +1  %+2  	 0.331(80)<-----%45   %2



silence
printNotes: i= 10-<   0   40 -40>,  	Slc --    1/4th(129) <1*sela> 	V158 - M194	=-36  %-23  	q=+29  %+18  	 0.911(80)<-----%23   %18

printNotes: i= 11-<2108 2219 -111>,  	Ek2 --  1/16th.( 48) <      > 	V 46 - M 48	= -2  %-4  	q= -2  %-4  	 0.261(80)
printNotes: i= 12-<2468 2458  10>,  	F#2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 13-<2585 2583   2>,  	 G2 -- 1/16th..( 57) <      > 	V 55 - M 65	=-10  %-18  	q= -2  %-4  	 0.313(80)<-----%18   %4

printNotes: i= 14-<2810 2797  13>,  	 A2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(80)<-----%45   %9 <<

printNotes: i= 15-<2585 2583   2>,  	 G2 --  1/32nd.( 24) <      > 	V 22 - M 16	= +6  %+27  	q= -2  %-9  	 0.122(80)<-----%27   %9

printNotes: i= 16-<2444 2458 -14>,  	F#2 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(80)<-----%88   %6

printNotes: i= 17-<2614 2583  31>,  	 G2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(80)
printNotes: i= 18-<2432 2458 -26>,  	F#2 --   1/32nd( 16) <      > 	V 18 - M 22	= -4  %-22  	q= +2  %+11  	 0.099(80)<-----%22   %11

printNotes: i= 19-<2664 2583  81>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 21	= -4  %-24  	q= +1  %+6  	 0.093(80)<-----%24   %6

printNotes: i= 20-<2474 2458  16>,  	F#2 --    1/4th(129) <      > 	V129 - M151	=-22  %-17  	q=  +  %+0  	 0.743(80)<-----%17   %0

printNotes: i= 21-<2583 2583    >,  	 G2 --   1/4th.(194) <      > 	V206 - M259	=-53  %-26  	q=+12  %+6  	 1.190(80)<-----%26   %6

printNotes: i= 22-<2474 2458  16>,  	F#2 --  1/64th.( 12) <      > 	V 13 - M 32	=-19  %-146  	q= +1  %+8  	 0.070(80)<-----%146   %8 <<

printNotes: i= 23-<2361 2583 -222>,  	 G2 --   1/4th.(194) <-1*sela> 	V168 - M 65	=+103  %+61  	q=-26  %-15  	 0.969(80)<-----%61   %15



silence
printNotes: i= 24-<   0   40 -40>,  	Slc -- 1/64th..( 14) <      > 	V 15 - M 65	=-50  %-333  	q= +1  %+7  	 0.081(80)<-----%333   %7 <<

printNotes: i= 25-<1959 2219 -260>,  	Ek2 --  1/16th.( 48) <      > 	V 43 - M 32	=+11  %+26  	q= -5  %-12  	 0.244(80)<-----%26   %12

printNotes: i= 26-<2577 2583  -6>,  	 G2 --   1/4th.(194) <      > 	V186 - M259	=-73  %-39  	q= -8  %-4  	 1.074(80)<-----%39   %4

printNotes: i= 27-<2814 2797  17>,  	 A2 --  1/32nd.( 24) <      > 	V 24 - M 16	= +8  %+33  	q=  +  %+0  	 0.134(80)<-----%33   %0

printNotes: i= 28-<2920 2849  71>,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 29-<2590 2583   7>,  	 G2 --   1/4th.(194) <      > 	V200 - M259	=-59  %-30  	q= +6  %+3  	 1.155(80)<-----%30   %3

printNotes: i= 30-<2798 2797   1>,  	 A2 --  1/32nd.( 24) <      > 	V 24 - M 16	= +8  %+33  	q=  +  %+0  	 0.134(80)<-----%33   %0

printNotes: i= 31-<2719 2849 -130>,  	Bb2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(80)
printNotes: i= 32-<2571 2583 -12>,  	 G2 --    1/4th(129) <      > 	V130 - M129	= +1  %+1  	q= +1  %+1  	 0.749(80)
printNotes: i= 33-<2499 2458  41>,  	F#2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(80)<-----%113   %7 <<

printNotes: i= 34-<2854 2797  57>,  	 A2 --  1/16th.( 48) <      > 	V 42 - M 32	=+10  %+24  	q= -6  %-14  	 0.238(80)<-----%24   %14

printNotes: i= 35-<2577 2583  -6>,  	 G2 --    1/4th(129) <      > 	V131 - M129	= +2  %+2  	q= +2  %+2  	 0.755(80)
printNotes: i= 36-<2494 2458  36>,  	F#2 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(80)<-----%68   %16

printNotes: i= 37-<2679 2797 -118>,  	 A2 --     half(259) <      > 	V271 - M259	=+12  %+4  	q=+12  %+4  	 1.567(80)


silence
printNotes: i= 38-<   0   40 -40>,  	Slc -- 1/64th..( 14) <      > 	V 14 - M129	=-115  %-821  	q=  +  %+0  	 0.075(80)<-----%821   %0 <<

printNotes: i= 39-<1938 2083 -145>,  	 D2 -- 1/32nd..( 28) <      > 	V 26 - M 32	= -6  %-23  	q= -2  %-8  	 0.145(80)<-----%23   %8

printNotes: i= 40-<2558 2583 -25>,  	 G2 --  1/16th.( 48) <      > 	V 45 - M 65	=-20  %-44  	q= -3  %-7  	 0.255(80)<-----%44   %7

printNotes: i= 41-<2484 2458  26>,  	F#2 --    1/4th(129) <      > 	V131 - M129	= +2  %+2  	q= +2  %+2  	 0.755(80)
printNotes: i= 42-<2585 2583   2>,  	 G2 --    1/8th( 65) <      > 	V 75 - M 65	=+10  %+13  	q=+10  %+13  	 0.430(80)
printNotes: i= 43-<2611 2797 -186>,  	 A2 --  1/64th.( 12) <      > 	V 11 - M 32	=-21  %-191  	q= -1  %-9  	 0.058(80)<-----%191   %9 <<

printNotes: i= 44-<2582 2583  -1>,  	 G2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(80)<-----%28   %4

printNotes: i= 45-<2437 2458 -21>,  	F#2 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(80)<-----%68   %16

printNotes: i= 46-<2647 2583  64>,  	 G2 --  1/16th.( 48) <      > 	V 45 - M 32	=+13  %+29  	q= -3  %-7  	 0.255(80)<-----%29   %7

printNotes: i= 47-<2463 2458   5>,  	F#2 --  1/16th.( 48) <      > 	V 43 - M 32	=+11  %+26  	q= -5  %-12  	 0.244(80)<-----%26   %12

printNotes: i= 48-<2676 2583  93>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(80)<-----%88   %6

printNotes: i= 49-<2469 2458  11>,  	F#2 --    1/4th(129) <1*sela> 	V154 - M162	= -8  %-5  	q=+25  %+16  	 0.888(80)
printNotes: i= 50-<2522 2583 -61>,  	 G2 --  1/8th..(113) <      > 	V115 - M 48	=+67  %+58  	q= +2  %+2  	 0.662(80)<-----%58   %2



silence
printNotes: i= 51-<   0   40 -40>,  	Slc --   1/16th( 32) <      > 	V 36 - M 86	=-50  %-139  	q= +4  %+11  	 0.203(80)<-----%139   %11

printNotes: i= 52-<2082 2219 -137>,  	Ek2 --  1/16th.( 48) <      > 	V 49 - M 43	= +6  %+12  	q= +1  %+2  	 0.279(80)<-----%12   %2

printNotes: i= 53-<2467 2458   9>,  	F#2 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(80)
printNotes: i= 54-<2597 2583  14>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(80)<-----%45   %9 <<

printNotes: i= 55-<2462 2458   4>,  	F#2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(80)<-----%10   %3

printNotes: i= 56-<2237 2219  18>,  	Ek2 -- 1/32nd..( 28) <      > 	V 26 - M 32	= -6  %-23  	q= -2  %-8  	 0.145(80)<-----%23   %8

printNotes: i= 57-<2479 2458  21>,  	F#2 --  1/16th.( 48) <      > 	V 47 - M 32	=+15  %+32  	q= -1  %-2  	 0.267(80)<-----%32   %2

printNotes: i= 58-<2252 2219  33>,  	Ek2 --   1/16th( 32) <      > 	V 30 - M 22	= +8  %+27  	q= -2  %-7  	 0.168(80)<-----%27   %7

printNotes: i= 59-<2536 2458  78>,  	F#2 --   1/32nd( 16) <      > 	V 19 - M 21	= -2  %-11  	q= +3  %+16  	 0.104(80)
printNotes: i= 60-<2232 2219  13>,  	Ek2 --  1/16th.( 48) <      > 	V 48 - M 86	=-38  %-79  	q=  +  %+0  	 0.273(80)<-----%79   %0

printNotes: i= 61-<2132 2083  49>,  	 D2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 62-<2509 2458  51>,  	F#2 --  1/4th..(226) <      > 	V211 - M259	=-48  %-23  	q=-15  %-7  	 1.219(80)<-----%23   %7

printNotes: i= 63-<2264 2219  45>,  	Ek2 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(80)
