	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1723 2062 -339>,  	 D2 -- 1/16th..( 54) <      > 	V 55 - M 15	=+40  %+73  	q= +1  %+2  	 0.313(84)<-----%73   %2

printNotes: i=  2-<2521 2586 -65>,  	 G2 --  1/16th.( 46) <      > 	V 42 - M 31	=+11  %+26  	q= -4  %-10  	 0.238(84)<-----%26   %10

printNotes: i=  3-<2457 2462  -5>,  	F#2 --  1/32nd.( 23) <      > 	V 22 - M 31	= -9  %-41  	q= -1  %-5  	 0.122(84)<-----%41   %5

printNotes: i=  4-<2604 2586  18>,  	 G2 --    1/8th( 62) <      > 	V 58 - M 62	= -4  %-7  	q= -4  %-7  	 0.331(84)
printNotes: i=  5-<2789 2799 -10>,  	 A2 -- 1/16th..( 54) <      > 	V 50 - M 62	=-12  %-24  	q= -4  %-8  	 0.284(84)<-----%24   %8

printNotes: i=  6-<2876 2860  16>,  	Bb2 --    1/8th( 62) <      > 	V 63 - M 62	= +1  %+2  	q= +1  %+2  	 0.360(84)
printNotes: i=  7-<3055 3055    >,  	 C3 --  1/16th.( 46) <      > 	V 39 - M 31	= +8  %+21  	q= -7  %-18  	 0.221(84)
printNotes: i=  8-<2785 2799 -14>,  	 A2 --  1/8th..(108) <      > 	V107 - M 93	=+14  %+13  	q= -1  %-1  	 0.615(84)<-----%13   %1

printNotes: i=  9-<2846 2860 -14>,  	Bb2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(84)<-----%15   %0

printNotes: i= 10-<2444 2586 -142>,  	 G2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(84)
printNotes: i= 11-<2084 2799 -715>,  	 A2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 12-<2797 2799  -2>,  	 A2 --    half.(371) <      > 	V369 - M371	= -2  %-1  	q= -2  %-1  	 2.136(84)<-- same note
printNotes: i= 13-<2838 2860 -22>,  	Bb2 --   1/16th( 31) <      > 	V 30 - M 15	=+15  %+50  	q= -1  %-3  	 0.168(84)<-----%50   %3

printNotes: i= 14-<3087 3055  32>,  	 C3 --  1/64th.( 12) <      > 	V 11 - M 15	= -4  %-36  	q= -1  %-9  	 0.058(84)<-----%36   %9 <<

printNotes: i= 15-<2861 2860   1>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(84)
printNotes: i= 16-<3082 3055  27>,  	 C3 --  1/64th.( 12) <      > 	V 13 - M 15	= -2  %-15  	q= +1  %+8  	 0.070(84)
printNotes: i= 17-<2796 2799  -3>,  	 A2 --   1/4th.(186) <      > 	V200 - M186	=+14  %+7  	q=+14  %+7  	 1.155(84)
printNotes: i= 18-<2860 2860    >,  	Bb2 --   1/16th( 31) <      > 	V 37 - M 46	= -9  %-24  	q= +6  %+16  	 0.209(84)<-----%24   %16

