	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<2199 2582 -383>,  	 G2 --   1/8th.( 91) <      > 	V 87 - M 46	=+41  %+47  	q= -4  %-5  	 0.499(85)<-----%47   %5

printNotes: i=  2-<2473 2467   6>,  	F#2 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(85)<-----%88   %6 <<

printNotes: i=  3-<2566 2582 -16>,  	 G2 -- 1/16th..( 53) <      > 	V 51 - M 46	= +5  %+10  	q= -2  %-4  	 0.290(85)<-----%10   %4

printNotes: i=  4-<2799 2789  10>,  	 A2 --    half.(364) <-2*sela> 	V327 - M364	=-37  %-11  	q=-37  %-11  	 1.892(85)
printNotes: i=  5-<2870 2860  10>,  	Bb2 --  1/16th.( 46) <      > 	V 39 - M 46	= -7  %-18  	q= -7  %-18  	 0.221(85)
printNotes: i=  6-<2788 2789  -1>,  	 A2 --  1/32nd.( 23) <      > 	V 20 - M 15	= +5  %+25  	q= -3  %-15  	 0.110(85)<-----%25   %15

printNotes: i=  7-<2862 2860   2>,  	Bb2 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(85)<-----%50   %10 <<

printNotes: i=  8-<2588 2582   6>,  	 G2 --  1/16th.( 46) <      > 	V 40 - M 30	=+10  %+25  	q= -6  %-15  	 0.226(85)<-----%25   %15

printNotes: i=  9-<2774 2789 -15>,  	 A2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(85)
printNotes: i= 10-<2471 2467   4>,  	F#2 --    half.(364) <-2*sela> 	V333 - M364	=-31  %-9  	q=-31  %-9  	 1.927(85)
printNotes: i= 11-<2537 2582 -45>,  	 G2 --   1/4th.(182) <-1*sela> 	V156 - M121	=+35  %+22  	q=-26  %-17  	 0.900(85)<-----%22   %17

printNotes: i= 12-<2792 2789   3>,  	 A2 --  1/16th.( 46) <      > 	V 46 - M 30	=+16  %+35  	q=  +  %+0  	 0.261(85)<-----%35   %0

printNotes: i= 13-<2875 2860  15>,  	Bb2 --   1/16th( 30) <      > 	V 33 - M 46	=-13  %-39  	q= +3  %+9  	 0.186(85)<-----%39   %9

printNotes: i= 14-<2790 2789   1>,  	 A2 -- 1/32nd..( 27) <      > 	V 25 - M 30	= -5  %-20  	q= -2  %-8  	 0.139(85)<-----%20   %8

printNotes: i= 15-<2593 2582  11>,  	 G2 -- 1/32nd..( 27) <      > 	V 28 - M 30	= -2  %-7  	q= +1  %+4  	 0.157(85)
printNotes: i= 16-<2013 2467 -454>,  	F#2 -- 1/16th..( 53) <      > 	V 56 - M 30	=+26  %+46  	q= +3  %+5  	 0.319(85)<-----%46   %5



silence
printNotes: i= 17-<   0   40 -40>,  	Slc --   1/4th.(182) <      > 	V192 - M182	=+10  %+5  	q=+10  %+5  	 1.109(85)
printNotes: i= 18-<1850 2088 -238>,  	 D2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(85)
printNotes: i= 19-<2558 2582 -24>,  	 G2 --   1/8th.( 91) <      > 	V 88 - M 91	= -3  %-3  	q= -3  %-3  	 0.505(85)
printNotes: i= 20-<2774 2789 -15>,  	 A2 -- 1/16th..( 53) <      > 	V 55 - M 61	= -6  %-11  	q= +2  %+4  	 0.313(85)<-----%11   %4

printNotes: i= 21-<2845 2860 -15>,  	Bb2 --  1/32nd.( 23) <      > 	V 23 - M 30	= -7  %-30  	q=  +  %+0  	 0.128(85)<-----%30   %0

printNotes: i= 22-<2598 2582  16>,  	 G2 -- 1/32nd..( 27) <      > 	V 28 - M 30	= -2  %-7  	q= +1  %+4  	 0.157(85)
printNotes: i= 23-<2594 2789 -195>,  	 A2 -- 1/16th..( 53) <      > 	V 56 - M 46	=+10  %+18  	q= +3  %+5  	 0.319(85)<-----%18   %5

printNotes: i= 24-<2852 2860  -8>,  	Bb2 --  1/32nd.( 23) <      > 	V 22 - M 30	= -8  %-36  	q= -1  %-5  	 0.122(85)<-----%36   %5

printNotes: i= 25-<2591 2582   9>,  	 G2 --    1/8th( 61) <      > 	V 64 - M 61	= +3  %+5  	q= +3  %+5  	 0.366(85)
printNotes: i= 26-<2840 2860 -20>,  	Bb2 --  1/16th.( 46) <      > 	V 38 - M 40	= -2  %-5  	q= -8  %-21  	 0.215(85)
printNotes: i= 27-<2689 2789 -100>,  	 A2 --   1/16th( 30) <      > 	V 34 - M 20	=+14  %+41  	q= +4  %+12  	 0.192(85)<-----%41   %12

printNotes: i= 28-<2969 2860 109>,  	Bb2 --   1/32nd( 15) <      > 	V 15 - M 20	= -5  %-33  	q=  +  %+0  	 0.081(85)<-----%33   %0 <<

printNotes: i= 29-<2594 2582  12>,  	 G2 -- 1/16th..( 53) <      > 	V 56 - M 20	=+36  %+64  	q= +3  %+5  	 0.319(85)<-----%64   %5

printNotes: i= 30-<2768 2789 -21>,  	 A2 --   1/32nd( 15) <      > 	V 15 - M 20	= -5  %-33  	q=  +  %+0  	 0.081(85)<-----%33   %0 <<

printNotes: i= 31-<2460 2467  -7>,  	F#2 --   1/4th.(182) <-1*sela> 	V154 - M182	=-28  %-18  	q=-28  %-18  	 0.888(85)
