	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1128 2579 -1451>,  	 G2 --    1/8th( 65) <      > 	V 70 - M 43	=+27  %+39  	q= +5  %+7  	 0.401(80)<-----%39   %7

printNotes: i=  2-<2583 2579   4>,  	 G2 --   1/4th.(194) <      > 	V194 - M194	=  +  %+0  	q=  +  %+0  	 1.120(80)<-- same note
printNotes: i=  3-<1873 2469 -596>,  	F#2 --   1/8th.( 97) <      > 	V 96 - M 65	=+31  %+32  	q= -1  %-1  	 0.551(80)<-----%32   %1

printNotes: i=  4-<2583 2579   4>,  	 G2 --    1/4th(129) <1*sela> 	V147 - M129	=+18  %+12  	q=+18  %+12  	 0.848(80)
printNotes: i=  5-<2838 2865 -27>,  	Bb2 -- 1/32nd..( 28) <      > 	V 28 - M 16	=+12  %+43  	q=  +  %+0  	 0.157(80)<-----%43   %0

printNotes: i=  6-<2783 2787  -4>,  	 A2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(80)
printNotes: i=  7-<2856 2865  -9>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 48	=-32  %-200  	q=  +  %+0  	 0.087(80)<-----%200   %0 <<

printNotes: i=  8-<2300 2787 -487>,  	 A2 --    1/8th( 65) <      > 	V 73 - M 32	=+41  %+56  	q= +8  %+11  	 0.418(80)<-----%56   %11

printNotes: i=  9-<2866 2865   1>,  	Bb2 --  1/64th.( 12) <      > 	V 12 - M 32	=-20  %-167  	q=  +  %+0  	 0.064(80)<-----%167   %0 <<

printNotes: i= 10-<2774 2787 -13>,  	 A2 --    128th(  4) <      > 	V  4 - M 16	=-12  %-300  	q=  +  %+0  	 0.017(80)<-----%300   %0 <<

printNotes: i= 11-<2686 2579 107>,  	 G2 --    1/8th( 65) <      > 	V 78 - M 65	=+13  %+17  	q=+13  %+17  	 0.447(80)


silence
printNotes: i= 12-<   0   40 -40>,  	Slc --   1/4th.(194) <      > 	V200 - M194	= +6  %+3  	q= +6  %+3  	 1.155(80)
printNotes: i= 13-<1962 2579 -617>,  	 G2 --    1/8th( 65) <      > 	V 76 - M 32	=+44  %+58  	q=+11  %+14  	 0.435(80)<-----%58   %14

printNotes: i= 14-<1997 2579 -582>,  	 G2 --    1/8th( 65) <      > 	V 65 - M 65	=  +  %+0  	q=  +  %+0  	 0.372(80)<-- same note
printNotes: i= 15-<2569 2579 -10>,  	 G2 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(80)<-- same note
printNotes: i= 16-<2183 2787 -604>,  	 A2 --  1/32nd.( 24) <      > 	V 23 - M 32	= -9  %-39  	q= -1  %-4  	 0.128(80)<-----%39   %4

printNotes: i= 17-<2501 2579 -78>,  	 G2 -- 1/16th..( 56) <      > 	V 57 - M 48	= +9  %+16  	q= +1  %+2  	 0.325(80)<-----%16   %2

printNotes: i= 18-<2491 2469  22>,  	F#2 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(80)<-----%14   %0

printNotes: i= 19-<2186 2221 -35>,  	Ek2 -- 1/16th..( 56) <      > 	V 60 - M 43	=+17  %+28  	q= +4  %+7  	 0.342(80)<-----%28   %7

printNotes: i= 20-<2109 2096  13>,  	 D2 --  1/8th..(113) <      > 	V115 - M118	= -3  %-3  	q= +2  %+2  	 0.662(80)
printNotes: i= 21-<2215 2221  -6>,  	Ek2 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(80)
printNotes: i= 22-<2078 2096 -18>,  	 D2 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(80)<-----%100   %0 <<

printNotes: i= 23-<2256 2221  35>,  	Ek2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(80)<-----%28   %4

printNotes: i= 24-<2486 2469  17>,  	F#2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(80)
printNotes: i= 25-<2226 2221   5>,  	Ek2 --   1/32nd( 16) <      > 	V 18 - M 32	=-14  %-78  	q= +2  %+11  	 0.099(80)<-----%78   %11

printNotes: i= 26-<2435 2469 -34>,  	F#2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(80)
printNotes: i= 27-<2185 2221 -36>,  	Ek2 -- 1/32nd..( 28) <      > 	V 29 - M 16	=+13  %+45  	q= +1  %+3  	 0.163(80)<-----%45   %3

printNotes: i= 28-<2447 2469 -22>,  	F#2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(80)
printNotes: i= 29-<2197 2221 -24>,  	Ek2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(80)
printNotes: i= 30-<2034 2096 -62>,  	 D2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(80)
printNotes: i= 31-<2620 2579  41>,  	 G2 --   1/8th.( 97) <      > 	V 84 - M 48	=+36  %+43  	q=-13  %-15  	 0.482(80)<-----%43   %15

printNotes: i= 32-<2445 2469 -24>,  	F#2 -- 1/32nd..( 28) <      > 	V 26 - M 32	= -6  %-23  	q= -2  %-8  	 0.145(80)<-----%23   %8

printNotes: i= 33-<2552 2579 -27>,  	 G2 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(80)
printNotes: i= 34-<2468 2469  -1>,  	F#2 --     half(258) <      > 	V263 - M258	= +5  %+2  	q= +5  %+2  	 1.521(80)
printNotes: i= 35-<2256 2221  35>,  	Ek2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(80)
printNotes: i= 36-<2112 2096  16>,  	 D2 --  1/4th..(226) <      > 	V228 - M258	=-30  %-13  	q= +2  %+1  	 1.318(80)<-----%13   %1

printNotes: i= 37-<2439 2469 -30>,  	F#2 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(80)
printNotes: i= 38-<2217 2221  -4>,  	Ek2 --  1/32nd.( 24) <      > 	V 22 - M 16	= +6  %+27  	q= -2  %-9  	 0.122(80)<-----%27   %9

printNotes: i= 39-<2301 2469 -168>,  	F#2 --    128th(  4) <      > 	V  3 - M 16	=-13  %-433  	q= -1  %-33  	 0.012(80)<-----%433   %33 <<

printNotes: i= 40-<2189 2221 -32>,  	Ek2 --   1/64th(  8) <      > 	V  8 - M 32	=-24  %-300  	q=  +  %+0  	 0.041(80)<-----%300   %0 <<

printNotes: i= 41-<2102 2096   6>,  	 D2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(80)
printNotes: i= 42-<2319 2221  98>,  	Ek2 --    1/8th( 65) <      > 	V 79 - M 65	=+14  %+18  	q=+14  %+18  	 0.453(80)


silence
printNotes: i= 43-< 204   40 164>,  	Slc --    whole(517) <7*sela> 	V630 - M538	=+92  %+15  	q=+113  %+18  	 3.651(80)
printNotes: i= 44-<2452 2579 -127>,  	 G2 --  1/16th.( 48) <      > 	V 43 - M 43	=  +  %+0  	q= -5  %-12  	 0.244(80)
printNotes: i= 45-<2577 2579  -2>,  	 G2 --  1/8th..(113) <      > 	V112 - M129	=-17  %-15  	q= -1  %-1  	 0.644(80)<-- same note<-----%15   %1

printNotes: i= 46-<1912 2469 -557>,  	F#2 --   1/8th.( 97) <      > 	V 91 - M 65	=+26  %+29  	q= -6  %-7  	 0.522(80)<-----%29   %7

printNotes: i= 47-<1964 2579 -615>,  	 G2 --    1/4th(129) <      > 	V133 - M 97	=+36  %+27  	q= +4  %+3  	 0.766(80)<-----%27   %3

printNotes: i= 48-<2780 2865 -85>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 49-<2796 2787   9>,  	 A2 --   1/8th.( 97) <      > 	V104 - M 32	=+72  %+69  	q= +7  %+7  	 0.598(80)<-----%69   %7

printNotes: i= 50-<2865 2865    >,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 48	=-33  %-220  	q= +1  %+7  	 0.081(80)<-----%220   %7 <<

printNotes: i= 51-<2767 2787 -20>,  	 A2 --  1/32nd.( 24) <      > 	V 21 - M 32	=-11  %-52  	q= -3  %-14  	 0.116(80)<-----%52   %14

printNotes: i= 52-<2844 2865 -21>,  	Bb2 --  1/64th.( 12) <      > 	V  9 - M 32	=-23  %-256  	q= -3  %-33  	 0.046(80)<-----%256   %33 <<

printNotes: i= 53-<2764 2787 -23>,  	 A2 --    128th(  4) <      > 	V  5 - M 16	=-11  %-220  	q= +1  %+20  	 0.023(80)<-----%220   %20 <<

printNotes: i= 54-<2685 2579 106>,  	 G2 --    1/8th( 65) <      > 	V 65 - M 65	=  +  %+0  	q=  +  %+0  	 0.372(80)


silence
printNotes: i= 55-<   0   40 -40>,  	Slc --   1/4th.(194) <      > 	V182 - M194	=-12  %-7  	q=-12  %-7  	 1.051(80)
printNotes: i= 56-<2359 2579 -220>,  	 G2 --  1/16th.( 48) <      > 	V 47 - M 32	=+15  %+32  	q= -1  %-2  	 0.267(80)<-----%32   %2

printNotes: i= 57-<2578 2579  -1>,  	 G2 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(80)<-- same note
printNotes: i= 58-<2449 2469 -20>,  	F#2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(80)
printNotes: i= 59-<2564 2579 -15>,  	 G2 --  1/16th.( 48) <      > 	V 43 - M 48	= -5  %-12  	q= -5  %-12  	 0.244(80)
printNotes: i= 60-<2690 2787 -97>,  	 A2 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(80)<-----%68   %16

printNotes: i= 61-<2580 2579   1>,  	 G2 --  1/16th.( 48) <      > 	V 45 - M 48	= -3  %-7  	q= -3  %-7  	 0.255(80)
printNotes: i= 62-<2479 2469  10>,  	F#2 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(80)
printNotes: i= 63-<2195 2221 -26>,  	Ek2 --  1/16th.( 48) <      > 	V 48 - M 43	= +5  %+10  	q=  +  %+0  	 0.273(80)<-----%10   %0

printNotes: i= 64-<2103 2096   7>,  	 D2 --    1/4th(129) <1*sela> 	V145 - M118	=+27  %+19  	q=+16  %+11  	 0.836(80)<-----%19   %11

printNotes: i= 65-<2172 2221 -49>,  	Ek2 --   1/16th( 32) <      > 	V 38 - M 48	=-10  %-26  	q= +6  %+16  	 0.215(80)<-----%26   %16

printNotes: i= 66-<2077 2096 -19>,  	 D2 --  1/32nd.( 24) <      > 	V 22 - M 32	=-10  %-45  	q= -2  %-9  	 0.122(80)<-----%45   %9

printNotes: i= 67-<2147 2221 -74>,  	Ek2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(80)
printNotes: i= 68-<2472 2469   3>,  	F#2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(80)
printNotes: i= 69-<2227 2221   6>,  	Ek2 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(80)<-----%68   %16

printNotes: i= 70-<2451 2469 -18>,  	F#2 --  1/16th.( 48) <      > 	V 43 - M 32	=+11  %+26  	q= -5  %-12  	 0.244(80)<-----%26   %12

printNotes: i= 71-<2109 2221 -112>,  	Ek2 -- 1/32nd..( 28) <      > 	V 27 - M 16	=+11  %+41  	q= -1  %-4  	 0.151(80)<-----%41   %4

printNotes: i= 72-<2475 2469   6>,  	F#2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 73-<2220 2221  -1>,  	Ek2 --   1/16th( 32) <      > 	V 38 - M 48	=-10  %-26  	q= +6  %+16  	 0.215(80)<-----%26   %16

printNotes: i= 74-<2124 2096  28>,  	 D2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(80)<-----%10   %3

printNotes: i= 75-<2621 2579  42>,  	 G2 --    1/8th( 65) <      > 	V 80 - M 48	=+32  %+40  	q=+15  %+19  	 0.459(80)<-----%40   %19

printNotes: i= 76-<2444 2469 -25>,  	F#2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(80)
printNotes: i= 77-<2547 2579 -32>,  	 G2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(80)
printNotes: i= 78-<2467 2469  -2>,  	F#2 --  1/4th..(226) <      > 	V216 - M258	=-42  %-19  	q=-10  %-5  	 1.248(80)<-----%19   %5

printNotes: i= 79-<2227 2221   6>,  	Ek2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(80)
printNotes: i= 80-<2112 2096  16>,  	 D2 --   1/4th.(194) <      > 	V194 - M194	=  +  %+0  	q=  +  %+0  	 1.120(80)
printNotes: i= 81-<2458 2469 -11>,  	F#2 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(80)
printNotes: i= 82-<2207 2221 -14>,  	Ek2 --  1/32nd.( 24) <      > 	V 20 - M 16	= +4  %+20  	q= -4  %-20  	 0.110(80)
printNotes: i= 83-<2315 2469 -154>,  	F#2 --   1/64th(  8) <      > 	V  8 - M 16	= -8  %-100  	q=  +  %+0  	 0.041(80)<-----%100   %0 <<

printNotes: i= 84-<2224 2221   3>,  	Ek2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(80)<-----%28   %4

printNotes: i= 85-<2070 2096 -26>,  	 D2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(80)<-----%113   %7 <<

printNotes: i= 86-<2307 2221  86>,  	Ek2 --   1/8th.( 97) <-1*sela> 	V 81 - M 65	=+16  %+20  	q=-16  %-20  	 0.464(80)


silence
