	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1932 2100 -168>,  	 D2 --  1/16th.( 48) <      > 	V 48 - M 32	=+16  %+33  	q=  +  %+0  	 0.273(80)<-----%33   %0

printNotes: i=  2-<2591 2586   5>,  	 G2 --   half..(452) <1*sela> 	V476 - M517	=-41  %-9  	q=+24  %+5  	 2.757(80)<-----%9   %5

printNotes: i=  3-<2449 2475 -26>,  	F#2 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(80)<-----%129   %0 <<

printNotes: i=  4-<2589 2586   3>,  	 G2 --    half.(388) <-3*sela> 	V339 - M388	=-49  %-14  	q=-49  %-14  	 1.962(80)
printNotes: i=  5-<2446 2475 -29>,  	F#2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(80)<-----%113   %7 <<

printNotes: i=  6-<2587 2586   1>,  	 G2 --     half(258) <      > 	V247 - M194	=+53  %+21  	q=-11  %-4  	 1.428(80)<-----%21   %4

printNotes: i=  7-<2479 2475   4>,  	F#2 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(80)<-----%100   %0 <<

printNotes: i=  8-<2824 2795  29>,  	 A2 -- 1/32nd..( 28) <      > 	V 27 - M 16	=+11  %+41  	q= -1  %-4  	 0.151(80)<-----%41   %4

printNotes: i=  9-<2896 2855  41>,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 10-<2580 2586  -6>,  	 G2 --   1/4th.(194) <      > 	V209 - M194	=+15  %+7  	q=+15  %+7  	 1.207(80)
printNotes: i= 11-<2478 2475   3>,  	F#2 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(80)<-----%88   %6

printNotes: i= 12-<2787 2795  -8>,  	 A2 -- 1/32nd..( 28) <      > 	V 28 - M 16	=+12  %+43  	q=  +  %+0  	 0.157(80)<-----%43   %0

printNotes: i= 13-<2868 2855  13>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(80)<-----%23   %8 <<

printNotes: i= 14-<2586 2586    >,  	 G2 --    1/8th( 65) <      > 	V 76 - M 65	=+11  %+14  	q=+11  %+14  	 0.435(80)
printNotes: i= 15-<2366 2475 -109>,  	F#2 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(80)<-----%68   %16

printNotes: i= 16-<2528 2795 -267>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 17-<2850 2855  -5>,  	Bb2 --  1/32nd.( 24) <      > 	V 23 - M 16	= +7  %+30  	q= -1  %-4  	 0.128(80)<-----%30   %4

printNotes: i= 18-<2583 2586  -3>,  	 G2 --  1/8th..(113) <      > 	V108 - M 97	=+11  %+10  	q= -5  %-5  	 0.621(80)<-----%10   %5

printNotes: i= 19-<2888 2795  93>,  	 A2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(80)<-----%78   %33 <<



silence
printNotes: i= 20-<1457   40 1417>,  	Slc --    128th(  4) <      > 	V  2 - M  8	= -6  %-300  	q= -2  %-100  	 0.006(80)<-----%300   %100 <<

printNotes: i= 21-<2544 2586 -42>,  	 G2 -- 1/16th..( 57) <      > 	V 60 - M 48	=+12  %+20  	q= +3  %+5  	 0.342(80)<-----%20   %5

printNotes: i= 22-<2444 2475 -31>,  	F#2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(80)<-----%10   %3

printNotes: i= 23-<2209 2225 -16>,  	Ek2 -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(80)<-----%19   %4

printNotes: i= 24-<2093 2100  -7>,  	 D2 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(80)<-----%88   %6

printNotes: i= 25-<2224 2225  -1>,  	Ek2 --    1/4th(129) <      > 	V139 - M129	=+10  %+7  	q=+10  %+7  	 0.801(80)
printNotes: i= 26-<2166 2100  66>,  	 D2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(80)


silence
printNotes: i= 27-<   0   40 -40>,  	Slc --  1/4th..(226) <      > 	V236 - M226	=+10  %+4  	q=+10  %+4  	 1.364(80)
printNotes: i= 28-<1973 2100 -127>,  	 D2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(80)
printNotes: i= 29-<2470 2475  -5>,  	F#2 --   1/4th.(194) <      > 	V191 - M258	=-67  %-35  	q= -3  %-2  	 1.103(80)<-----%35   %2

printNotes: i= 30-<2220 2225  -5>,  	Ek2 --    1/8th( 65) <      > 	V 74 - M 97	=-23  %-31  	q= +9  %+12  	 0.424(80)<-----%31   %12

printNotes: i= 31-<2482 2586 -104>,  	 G2 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(80)
printNotes: i= 32-<2461 2475 -14>,  	F#2 --   1/16th( 32) <      > 	V 31 - M 52	=-21  %-68  	q= -1  %-3  	 0.174(80)<-----%68   %3

printNotes: i= 33-<2545 2586 -41>,  	 G2 --  1/32nd.( 24) <      > 	V 22 - M 52	=-30  %-136  	q= -2  %-9  	 0.122(80)<-----%136   %9

printNotes: i= 34-<2480 2475   5>,  	F#2 --  1/32nd.( 24) <      > 	V 23 - M 52	=-29  %-126  	q= -1  %-4  	 0.128(80)<-----%126   %4

printNotes: i= 35-<2513 2586 -73>,  	 G2 --   1/32nd( 16) <      > 	V 16 - M 52	=-36  %-225  	q=  +  %+0  	 0.087(80)<-----%225   %0 <<

printNotes: i= 36-<2479 2475   4>,  	F#2 --   1/8th.( 97) <      > 	V 93 - M 52	=+41  %+44  	q= -4  %-4  	 0.534(80)<-----%44   %4

printNotes: i= 37-<2467 2475  -8>,  	F#2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 38-<2231 2225   6>,  	Ek2 -- 1/16th..( 57) <      > 	V 55 - M 65	=-10  %-18  	q= -2  %-4  	 0.313(80)<-----%18   %4

printNotes: i= 39-<2599 2586  13>,  	 G2 --  1/16th.( 48) <      > 	V 43 - M 32	=+11  %+26  	q= -5  %-12  	 0.244(80)<-----%26   %12

printNotes: i= 40-<2476 2475   1>,  	F#2 -- 1/32nd..( 28) <      > 	V 28 - M 18	=+10  %+36  	q=  +  %+0  	 0.157(80)<-----%36   %0

printNotes: i= 41-<2554 2586 -32>,  	 G2 --  1/32nd.( 24) <      > 	V 24 - M 19	= +5  %+21  	q=  +  %+0  	 0.134(80)<-----%21   %0

printNotes: i= 42-<2492 2475  17>,  	F#2 -- 1/32nd..( 28) <      > 	V 26 - M 18	= +8  %+31  	q= -2  %-8  	 0.145(80)<-----%31   %8

printNotes: i= 43-<2530 2586 -56>,  	 G2 --   1/32nd( 16) <      > 	V 18 - M 18	=  +  %+0  	q= +2  %+11  	 0.099(80)
printNotes: i= 44-<2486 2475  11>,  	F#2 --    1/4th(129) <      > 	V136 - M 18	=+118  %+87  	q= +7  %+5  	 0.784(80)<-----%87   %5

printNotes: i= 45-<2527 2586 -59>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 19	= -7  %-58  	q=  +  %+0  	 0.064(80)<-----%58   %0 <<

printNotes: i= 46-<2489 2475  14>,  	F#2 --  1/64th.( 12) <      > 	V  9 - M 18	= -9  %-100  	q= -3  %-33  	 0.046(80)<-----%100   %33 <<

printNotes: i= 47-<2463 2475 -12>,  	F#2 --  1/32nd.( 24) <      > 	V 23 - M 65	=-42  %-183  	q= -1  %-4  	 0.128(80)<-- same note<-----%183   %4

printNotes: i= 48-<2261 2225  36>,  	Ek2 --  1/16th.( 48) <      > 	V 43 - M 32	=+11  %+26  	q= -5  %-12  	 0.244(80)<-----%26   %12

