	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1297 1302  -5>,  	F#1 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(77)
printNotes: i=  2-<1786 1902 -116>,  	 C2 --   1/16th( 33) <      > 	V 40 - M 33	= +7  %+18  	q= +7  %+18  	 0.226(77)
printNotes: i=  3-<1796 1802  -6>,  	 B1 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(77)
printNotes: i=  4-<1892 1902 -10>,  	 C2 -- 1/16th..( 59) <      > 	V 60 - M 59	= +1  %+2  	q= +1  %+2  	 0.342(77)
printNotes: i=  5-<2094 2105 -11>,  	 D2 --    1/4th(134) <1*sela> 	V163 - M134	=+29  %+18  	q=+29  %+18  	 0.940(77)
printNotes: i=  6-<2241 2242  -1>,  	Ek2 --    whole(535) <3*sela> 	V596 - M535	=+61  %+10  	q=+61  %+10  	 3.454(77)
printNotes: i=  7-<2150 2105  45>,  	 D2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(77)
printNotes: i=  8-<2419 2475 -56>,  	F#2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i=  9-<2245 2242   3>,  	Ek2 --    half.(401) <-1*sela> 	V374 - M401	=-27  %-7  	q=-27  %-7  	 2.165(77)
printNotes: i= 10-<2142 2105  37>,  	 D2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(77)
printNotes: i= 11-<2374 2438 -64>,  	 F2 --  1/64th.( 13) <      > 	V  9 - M  8	= +1  %+11  	q= -4  %-44  	 0.046(77)
printNotes: i= 12-<2261 2242  19>,  	Ek2 --  1/16th.( 50) <      > 	V 48 - M 50	= -2  %-4  	q= -2  %-4  	 0.273(77)
