	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1902 1893   9>,  	 C2 --  1/64th.( 13) <      > 	V 10 - M 13	= -3  %-30  	q= -3  %-30  	 0.052(74)
printNotes: i=  2-<1231 2478 -1247>,  	F#2 --  1/16th.( 52) <      > 	V 54 - M 52	= +2  %+4  	q= +2  %+4  	 0.308(74)
printNotes: i=  3-<2569 2586 -17>,  	 G2 --  1/32nd.( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(74)
printNotes: i=  4-<2590 2586   4>,  	 G2 --  1/8th..(122) <      > 	V117 - M122	= -5  %-4  	q= -5  %-4  	 0.673(74)<-- same note
printNotes: i=  5-<2426 2478 -52>,  	F#2 --  1/32nd.( 26) <      > 	V 22 - M 26	= -4  %-18  	q= -4  %-18  	 0.122(74)
printNotes: i=  6-<2582 2586  -4>,  	 G2 --    1/4th(140) <      > 	V153 - M140	=+13  %+8  	q=+13  %+8  	 0.882(74)
printNotes: i=  7-<2492 2478  14>,  	F#2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(74)
printNotes: i=  8-<2580 2586  -6>,  	 G2 --   128th.(  7) <      > 	V  6 - M  7	= -1  %-17  	q= -1  %-17  	 0.029(74)
printNotes: i=  9-<2471 2478  -7>,  	F#2 --  1/32nd.( 26) <      > 	V 24 - M 26	= -2  %-8  	q= -2  %-8  	 0.134(74)
printNotes: i= 10-<2799 2800  -1>,  	 A2 -- 1/32nd..( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(74)
printNotes: i= 11-<2605 2586  19>,  	 G2 --   1/16th( 35) <      > 	V 41 - M 35	= +6  %+15  	q= +6  %+15  	 0.232(74)
printNotes: i= 12-<2801 2800   1>,  	 A2 --  1/32nd.( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(74)
printNotes: i= 13-<2569 2586 -17>,  	 G2 --   1/8th.(105) <      > 	V100 - M105	= -5  %-5  	q= -5  %-5  	 0.575(74)


silence
