	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1829 1584 245>,  	 A1 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(79)
printNotes: i=  2-<2567 2584 -17>,  	 G2 --    whole(523) <3*sela> 	V577 - M622	=-45  %-8  	q=+54  %+9  	 3.344(79)
printNotes: i=  3-<2464 2482 -18>,  	F#2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(79)
printNotes: i=  4-<2544 2584 -40>,  	 G2 --    half.(393) <-3*sela> 	V344 - M327	=+17  %+5  	q=-49  %-14  	 1.991(79)
printNotes: i=  5-<2470 2482 -12>,  	F#2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)
printNotes: i=  6-<2370 2812 -442>,  	 A2 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(79)
printNotes: i=  7-<2583 2584  -1>,  	 G2 --   1/8th.( 98) <      > 	V 94 - M 98	= -4  %-4  	q= -4  %-4  	 0.540(79)
printNotes: i=  8-<2488 2482   6>,  	F#2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)
printNotes: i=  9-<2547 2584 -37>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(79)
printNotes: i= 10-<2223 2215   8>,  	Ek2 --   1/16th( 33) <      > 	V 38 - M 33	= +5  %+13  	q= +5  %+13  	 0.215(79)
printNotes: i= 11-<2450 2482 -32>,  	F#2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(79)
printNotes: i= 12-<1949 2094 -145>,  	 D2 --   1/4th.(196) <-1*sela> 	V179 - M196	=-17  %-9  	q=-17  %-9  	 1.033(79)


silence
printNotes: i= 13-<   0   40 -40>,  	Slc --   1/4th.(196) <-1*sela> 	V170 - M138	=+32  %+19  	q=-26  %-15  	 0.981(79)<-----%19   %15

printNotes: i= 14-<1489 1384 105>,  	 G1 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(79)
printNotes: i= 15-<2117 2215 -98>,  	Ek2 --   1/16th( 33) <      > 	V 38 - M 33	= +5  %+13  	q= +5  %+13  	 0.215(79)
printNotes: i= 16-<2082 2094 -12>,  	 D2 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(79)
printNotes: i= 17-<2192 2215 -23>,  	Ek2 --   1/16th( 33) <      > 	V 35 - M 33	= +2  %+6  	q= +2  %+6  	 0.197(79)
printNotes: i= 18-<2527 2584 -57>,  	 G2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(79)
printNotes: i= 19-<2430 2482 -52>,  	F#2 --   1/16th( 33) <      > 	V 31 - M 33	= -2  %-6  	q= -2  %-6  	 0.174(79)
printNotes: i= 20-<2098 2215 -117>,  	Ek2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(79)
printNotes: i= 21-<2491 2482   9>,  	F#2 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(79)
printNotes: i= 22-<2590 2584   6>,  	 G2 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(79)
printNotes: i= 23-<2748 2812 -64>,  	 A2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(79)
printNotes: i= 24-<2469 2482 -13>,  	F#2 --  1/32nd.( 25) <      > 	V 21 - M 25	= -4  %-19  	q= -4  %-19  	 0.116(79)
printNotes: i= 25-<2623 2584  39>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(79)
printNotes: i= 26-<2472 2482 -10>,  	F#2 --  1/8th..(115) <      > 	V112 - M115	= -3  %-3  	q= -3  %-3  	 0.644(79)
printNotes: i= 27-<2565 2584 -19>,  	 G2 --   1/4th.(196) <      > 	V200 - M196	= +4  %+2  	q= +4  %+2  	 1.155(79)
printNotes: i= 28-<2465 2482 -17>,  	F#2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)
printNotes: i= 29-<2595 2584  11>,  	 G2 -- 1/16th..( 57) <      > 	V 60 - M 57	= +3  %+5  	q= +3  %+5  	 0.342(79)
printNotes: i= 30-<1675 2884 -1209>,  	Bb2 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(79)
printNotes: i= 31-<2491 2584 -93>,  	 G2 --   1/8th.( 98) <      > 	V 89 - M 98	= -9  %-10  	q= -9  %-10  	 0.511(79)


silence
printNotes: i= 32-<   0   40 -40>,  	Slc --    1/4th(131) <1*sela> 	V160 - M529	=-369  %-231  	q=+29  %+18  	 0.923(79)<-----%231   %18

printNotes: i= 33-<1799 1584 215>,  	 A1 -- 1/32nd..( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(79)
printNotes: i= 34-<2742 2884 -142>,  	Bb2 --  1/16th.( 49) <      > 	V 51 - M 49	= +2  %+4  	q= +2  %+4  	 0.290(79)
printNotes: i= 35-<2810 2812  -2>,  	 A2 --  1/16th.( 49) <      > 	V 42 - M 49	= -7  %-17  	q= -7  %-17  	 0.238(79)
printNotes: i= 36-<2867 2884 -17>,  	Bb2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(79)
printNotes: i= 37-<2801 2812 -11>,  	 A2 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(79)
printNotes: i= 38-<2830 2884 -54>,  	Bb2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(79)
printNotes: i= 39-<2574 2584 -10>,  	 G2 --   1/8th.( 98) <      > 	V 95 - M 98	= -3  %-3  	q= -3  %-3  	 0.546(79)
printNotes: i= 40-<2481 2482  -1>,  	F#2 --    1/4th(131) <      > 	V143 - M131	=+12  %+8  	q=+12  %+8  	 0.824(79)
printNotes: i= 41-<2588 2584   4>,  	 G2 -- 1/16th..( 57) <      > 	V 56 - M 57	= -1  %-2  	q= -1  %-2  	 0.319(79)
printNotes: i= 42-<2804 2812  -8>,  	 A2 --   1/16th( 33) <      > 	V 40 - M 33	= +7  %+18  	q= +7  %+18  	 0.226(79)
printNotes: i= 43-<2567 2584 -17>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(79)
