	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1845 1583 262>,  	 A1 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i=  2-<2574 2583  -9>,  	 G2 --    whole(490) <5*sela> 	V572 - M551	=+21  %+4  	q=+82  %+14  	 3.315(84)
printNotes: i=  3-<2531 2458  73>,  	F#2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(84)
printNotes: i=  4-<2761 2797 -36>,  	 A2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(84)
printNotes: i=  5-<2590 2583   7>,  	 G2 --     half(245) <3*sela> 	V298 - M291	= +7  %+2  	q=+53  %+18  	 1.724(84)
printNotes: i=  6-<2486 2458  28>,  	F#2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(84)
printNotes: i=  7-<2592 2583   9>,  	 G2 --   1/4th.(184) <      > 	V188 - M184	= +4  %+2  	q= +4  %+2  	 1.086(84)
printNotes: i=  8-<2477 2458  19>,  	F#2 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(84)
printNotes: i=  9-<2239 2219  20>,  	Ek2 --  1/16th.( 46) <      > 	V 40 - M 46	= -6  %-15  	q= -6  %-15  	 0.226(84)
printNotes: i= 10-<2379 2458 -79>,  	F#2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(84)
printNotes: i= 11-<2108 2083  25>,  	 D2 --  1/16th.( 46) <      > 	V 40 - M 46	= -6  %-15  	q= -6  %-15  	 0.226(84)
printNotes: i= 12-<2459 2458   1>,  	F#2 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(84)


silence
printNotes: i= 13-<   0   40 -40>,  	Slc --   1/4th.(184) <-1*sela> 	V158 - M184	=-26  %-16  	q=-26  %-16  	 0.911(84)
printNotes: i= 14-<1759 1583 176>,  	 A1 --  1/64th.( 11) <      > 	V  9 - M  8	= +1  %+11  	q= -2  %-22  	 0.046(84)
printNotes: i= 15-<2197 2219 -22>,  	Ek2 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(84)
printNotes: i= 16-<2510 2583 -73>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(84)
printNotes: i= 17-<2438 2458 -20>,  	F#2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 18-<2585 2583   2>,  	 G2 -- 1/16th..( 54) <      > 	V 55 - M 54	= +1  %+2  	q= +1  %+2  	 0.313(84)
printNotes: i= 19-<2822 2849 -27>,  	Bb2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(84)
printNotes: i= 20-<2590 2583   7>,  	 G2 --  1/32nd.( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(84)
printNotes: i= 21-<2444 2458 -14>,  	F#2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 22-<2580 2583  -3>,  	 G2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(84)
printNotes: i= 23-<2702 2797 -95>,  	 A2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(84)
printNotes: i= 24-<2452 2458  -6>,  	F#2 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(84)
printNotes: i= 25-<2694 2797 -103>,  	 A2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(84)
printNotes: i= 26-<2476 2458  18>,  	F#2 --    1/4th(122) <      > 	V132 - M122	=+10  %+8  	q=+10  %+8  	 0.760(84)
printNotes: i= 27-<2583 2583    >,  	 G2 --  1/4th..(214) <      > 	V206 - M214	= -8  %-4  	q= -8  %-4  	 1.190(84)
printNotes: i= 28-<2474 2458  16>,  	F#2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(84)
printNotes: i= 29-<2361 2583 -222>,  	 G2 --   1/4th.(184) <-1*sela> 	V168 - M184	=-16  %-10  	q=-16  %-10  	 0.969(84)


silence
printNotes: i= 30-<   0   40 -40>,  	Slc --   1/32nd( 15) <      > 	V 15 - M 61	=-46  %-307  	q=  +  %+0  	 0.081(84)<-----%307   %0 <<

