	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1584 1362 222>,  	 G1 --   1/16th( 39) <      > 	V 41 - M 39	= +2  %+5  	q= +2  %+5  	 0.232(66)
printNotes: i=  2-<2427 2586 -159>,  	 G2 --  1/16th.( 59) <      > 	V 58 - M 59	= -1  %-2  	q= -1  %-2  	 0.331(66)
printNotes: i=  3-<2451 2462 -11>,  	F#2 --   1/32nd( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(66)
printNotes: i=  4-<2604 2586  18>,  	 G2 --  1/16th.( 59) <      > 	V 58 - M 59	= -1  %-2  	q= -1  %-2  	 0.331(66)
printNotes: i=  5-<2789 2799 -10>,  	 A2 --  1/16th.( 59) <      > 	V 50 - M 59	= -9  %-18  	q= -9  %-18  	 0.284(66)
printNotes: i=  6-<2876 2860  16>,  	Bb2 --  1/16th.( 59) <      > 	V 63 - M 59	= +4  %+6  	q= +4  %+6  	 0.360(66)
printNotes: i=  7-<3055 3055    >,  	 C3 --   1/16th( 39) <      > 	V 39 - M 39	=  +  %+0  	q=  +  %+0  	 0.221(66)
printNotes: i=  8-<2785 2799 -14>,  	 A2 --   1/8th.(118) <      > 	V107 - M118	=-11  %-10  	q=-11  %-10  	 0.615(66)
printNotes: i=  9-<2846 2860 -14>,  	Bb2 --  1/32nd.( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(66)
printNotes: i= 10-<2378 2586 -208>,  	 G2 --   1/16th( 39) <      > 	V 37 - M 39	= -2  %-5  	q= -2  %-5  	 0.209(66)
printNotes: i= 11-<1200 2860 -1660>,  	Bb2 --  1/64th.( 15) <      > 	V 12 - M 15	= -3  %-25  	q= -3  %-25  	 0.064(66)
printNotes: i= 12-<2796 2799  -3>,  	 A2 --  1/4th..(275) <      > 	V278 - M275	= +3  %+1  	q= +3  %+1  	 1.608(66)
printNotes: i= 13-<2805 2799   6>,  	 A2 --  1/8th..(138) <      > 	V138 - M138	=  +  %+0  	q=  +  %+0  	 0.795(66)<-- same note
printNotes: i= 14-<3075 3055  20>,  	 C3 --  1/64th.( 15) <      > 	V 12 - M 15	= -3  %-25  	q= -3  %-25  	 0.064(66)
printNotes: i= 15-<2861 2860   1>,  	Bb2 --  1/64th.( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(66)
printNotes: i= 16-<3082 3055  27>,  	 C3 --  1/64th.( 15) <      > 	V 13 - M 15	= -2  %-15  	q= -2  %-15  	 0.070(66)
printNotes: i= 17-<2796 2799  -3>,  	 A2 --   1/4th.(236) <-1*sela> 	V200 - M236	=-36  %-18  	q=-36  %-18  	 1.155(66)
printNotes: i= 18-<2861 2860   1>,  	Bb2 -- 1/32nd..( 34) <      > 	V 36 - M 39	= -3  %-8  	q= +2  %+6  	 0.203(66)
printNotes: i= 19-<2793 2799  -6>,  	 A2 --   1/32nd( 20) <      > 	V 18 - M 20	= -2  %-11  	q= -2  %-11  	 0.099(66)
printNotes: i= 20-<2863 2860   3>,  	Bb2 --  128th..(  9) <      > 	V  9 - M 10	= -1  %-11  	q=  +  %+0  	 0.046(66)
printNotes: i= 21-<2605 2586  19>,  	 G2 --   1/16th( 39) <      > 	V 47 - M 39	= +8  %+17  	q= +8  %+17  	 0.267(66)


silence
printNotes: i= 22-<   0   40 -40>,  	Slc --    1/4th(157) <1*sela> 	V184 - M243	=-59  %-32  	q=+27  %+15  	 1.062(66)<-----%32   %15

printNotes: i= 23-<1939 1662 277>,  	Bb1 --   1/32nd( 20) <      > 	V 21 - M 20	= +1  %+5  	q= +1  %+5  	 0.116(66)
printNotes: i= 24-<2752 2799 -47>,  	 A2 --  1/16th.( 59) <      > 	V 60 - M 59	= +1  %+2  	q= +1  %+2  	 0.342(66)
printNotes: i= 25-<2853 2860  -7>,  	Bb2 --   1/16th( 39) <      > 	V 38 - M 39	= -1  %-3  	q= -1  %-3  	 0.215(66)
printNotes: i= 26-<2753 3055 -302>,  	 C3 --  128th..(  9) <      > 	V  9 - M 10	= -1  %-11  	q=  +  %+0  	 0.046(66)
printNotes: i= 27-<2856 2860  -4>,  	Bb2 --   1/32nd( 20) <      > 	V 23 - M 20	= +3  %+13  	q= +3  %+13  	 0.128(66)
printNotes: i= 28-<3115 3055  60>,  	 C3 --  1/64th.( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(66)
printNotes: i= 29-<2799 2799    >,  	 A2 --   1/8th.(118) <      > 	V106 - M118	=-12  %-11  	q=-12  %-11  	 0.610(66)
printNotes: i= 30-<2866 2860   6>,  	Bb2 -- 1/32nd..( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(66)
printNotes: i= 31-<2808 2799   9>,  	 A2 --  1/64th.( 15) <      > 	V 11 - M 15	= -4  %-36  	q= -4  %-36  	 0.058(66)
printNotes: i= 32-<2902 2860  42>,  	Bb2 --  1/64th.( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(66)
printNotes: i= 33-<2596 2586  10>,  	 G2 --   1/16th( 39) <      > 	V 42 - M 39	= +3  %+7  	q= +3  %+7  	 0.238(66)
printNotes: i= 34-<1257 2062 -805>,  	 D2 --  1/32nd.( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(66)
printNotes: i= 35-<2768 2799 -31>,  	 A2 --  1/16th.( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(66)
printNotes: i= 36-<2856 2860  -4>,  	Bb2 --   1/16th( 39) <      > 	V 46 - M 39	= +7  %+15  	q= +7  %+15  	 0.261(66)
printNotes: i= 37-<3016 3055 -39>,  	 C3 --  128th..(  9) <      > 	V  9 - M 10	= -1  %-11  	q=  +  %+0  	 0.046(66)
printNotes: i= 38-<2908 2860  48>,  	Bb2 --  1/32nd.( 29) <      > 	V 25 - M 29	= -4  %-16  	q= -4  %-16  	 0.139(66)
printNotes: i= 39-<2767 2799 -32>,  	 A2 --  1/64th.( 15) <      > 	V 13 - M 15	= -2  %-15  	q= -2  %-15  	 0.070(66)
printNotes: i= 40-<2877 2860  17>,  	Bb2 --  1/32nd.( 29) <      > 	V 25 - M 29	= -4  %-16  	q= -4  %-16  	 0.139(66)
printNotes: i= 41-<3072 3055  17>,  	 C3 --  1/64th.( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(66)
printNotes: i= 42-<2748 2799 -51>,  	 A2 --   1/16th( 39) <      > 	V 43 - M 39	= +4  %+9  	q= +4  %+9  	 0.244(66)
printNotes: i= 43-<2861 3055 -194>,  	 C3 --  1/64th.( 15) <      > 	V 12 - M 15	= -3  %-25  	q= -3  %-25  	 0.064(66)
printNotes: i= 44-<2807 2799   8>,  	 A2 --    1/8th( 79) <      > 	V 90 - M 79	=+11  %+12  	q=+11  %+12  	 0.517(66)
printNotes: i= 45-<2862 2860   2>,  	Bb2 --    1/4th(157) <      > 	V153 - M157	= -4  %-3  	q= -4  %-3  	 0.882(66)
printNotes: i= 46-<3056 3055   1>,  	 C3 --  1/64th.( 15) <      > 	V 13 - M 15	= -2  %-15  	q= -2  %-15  	 0.070(66)
printNotes: i= 47-<2907 2860  47>,  	Bb2 -- 1/32nd..( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(66)
printNotes: i= 48-<2802 2799   3>,  	 A2 --   1/32nd( 20) <      > 	V 22 - M 20	= +2  %+9  	q= +2  %+9  	 0.122(66)
printNotes: i= 49-<2898 2860  38>,  	Bb2 --   1/32nd( 20) <      > 	V 18 - M 20	= -2  %-11  	q= -2  %-11  	 0.099(66)
printNotes: i= 50-<2803 2799   4>,  	 A2 --  1/32nd.( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(66)
printNotes: i= 51-<2852 2860  -8>,  	Bb2 --  1/64th.( 15) <      > 	V 12 - M 15	= -3  %-25  	q= -3  %-25  	 0.064(66)
printNotes: i= 52-<2595 2586   9>,  	 G2 --   1/16th( 39) <      > 	V 40 - M 39	= +1  %+2  	q= +1  %+2  	 0.226(66)
printNotes: i= 53-<2863 2860   3>,  	Bb2 --  1/64th.( 15) <      > 	V 13 - M 15	= -2  %-15  	q= -2  %-15  	 0.070(66)
printNotes: i= 54-<2599 2586  13>,  	 G2 --   1/16th( 39) <      > 	V 42 - M 39	= +3  %+7  	q= +3  %+7  	 0.238(66)
printNotes: i= 55-<2748 2799 -51>,  	 A2 --  1/64th.( 15) <      > 	V 11 - M 15	= -4  %-36  	q= -4  %-36  	 0.058(66)
printNotes: i= 56-<2489 2462  27>,  	F#2 --  1/16th.( 59) <      > 	V 53 - M 59	= -6  %-11  	q= -6  %-11  	 0.302(66)
printNotes: i= 57-<2577 2586  -9>,  	 G2 --   1/64th( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(66)
printNotes: i= 58-<2475 2462  13>,  	F#2 --  1/8th..(138) <      > 	V137 - M138	= -1  %-1  	q= -1  %-1  	 0.789(66)
printNotes: i= 59-<2578 2586  -8>,  	 G2 -- 1/16th..( 69) <      > 	V 70 - M 69	= +1  %+1  	q= +1  %+1  	 0.401(66)
printNotes: i= 60-<2809 2799  10>,  	 A2 -- 1/16th..( 69) <      > 	V 73 - M 79	= -6  %-8  	q= +4  %+5  	 0.418(66)
printNotes: i= 61-<2496 2462  34>,  	F#2 --  1/64th.( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(66)
printNotes: i= 62-<2358 2586 -228>,  	 G2 --   1/4th.(236) <      > 	V225 - M236	=-11  %-5  	q=-11  %-5  	 1.300(66)


silence
printNotes: i= 63-<   0   40 -40>,  	Slc --   2whole(1257) <4*sela> 	V1346 - M629	=+717  %+53  	q=+89  %+7  	 7.808(66)<-----%53   %7

printNotes: i= 64-<1794 1562 232>,  	 A1 --   1/32nd( 20) <      > 	V 18 - M 20	= -2  %-11  	q= -2  %-11  	 0.099(66)
printNotes: i= 65-<2372 2462 -90>,  	F#2 -- 1/32nd..( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(66)
printNotes: i= 66-<2580 2586  -6>,  	 G2 --   1/16th( 39) <      > 	V 43 - M 39	= +4  %+9  	q= +4  %+9  	 0.244(66)
printNotes: i= 67-<2795 2799  -4>,  	 A2 --  1/16th.( 59) <      > 	V 49 - M 59	=-10  %-20  	q=-10  %-20  	 0.279(66)
printNotes: i= 68-<2788 2799 -11>,  	 A2 -- 1/32nd..( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(66)<-- same note
printNotes: i= 69-<2425 2860 -435>,  	Bb2 -- 1/32nd..( 34) <      > 	V 33 - M 34	= -1  %-3  	q= -1  %-3  	 0.186(66)
printNotes: i= 70-<1113 2799 -1686>,  	 A2 --  1/64th.( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(66)
printNotes: i= 71-<2858 2860  -2>,  	Bb2 --  1/32nd.( 29) <      > 	V 25 - M 29	= -4  %-16  	q= -4  %-16  	 0.139(66)
printNotes: i= 72-<2821 2799  22>,  	 A2 --   1/32nd( 20) <      > 	V 23 - M 20	= +3  %+13  	q= +3  %+13  	 0.128(66)
printNotes: i= 73-<2810 2799  11>,  	 A2 --  1/16th.( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(66)<-- same note
printNotes: i= 74-<2042 2586 -544>,  	 G2 --  128th..(  9) <      > 	V  9 - M 10	= -1  %-11  	q=  +  %+0  	 0.046(66)
printNotes: i= 75-<2703 2799 -96>,  	 A2 --    1/8th( 79) <      > 	V 80 - M 79	= +1  %+1  	q= +1  %+1  	 0.459(66)
printNotes: i= 76-<3026 3055 -29>,  	 C3 --  1/64th.( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(66)
printNotes: i= 77-<2786 2799 -13>,  	 A2 -- 1/16th..( 69) <      > 	V 70 - M 69	= +1  %+1  	q= +1  %+1  	 0.401(66)
printNotes: i= 78-<2859 2860  -1>,  	Bb2 --  1/16th.( 59) <      > 	V 58 - M 59	= -1  %-2  	q= -1  %-2  	 0.331(66)
printNotes: i= 79-<2672 2799 -127>,  	 A2 --   1/32nd( 20) <      > 	V 21 - M 20	= +1  %+5  	q= +1  %+5  	 0.116(66)
printNotes: i= 80-<3046 3055  -9>,  	 C3 --  1/32nd.( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(66)


silence
printNotes: i= 81-< 170   40 130>,  	Slc --   1/4th.(236) <-1*sela> 	V205 - M244	=-39  %-19  	q=-31  %-15  	 1.184(66)<-----%19   %15

printNotes: i= 82-<2871 2860  11>,  	Bb2 --  1/64th.( 15) <      > 	V 11 - M 15	= -4  %-36  	q= -4  %-36  	 0.058(66)
printNotes: i= 83-<1577 2799 -1222>,  	 A2 --  1/16th.( 59) <      > 	V 52 - M 59	= -7  %-13  	q= -7  %-13  	 0.296(66)
printNotes: i= 84-<2870 2860  10>,  	Bb2 --   1/16th( 39) <      > 	V 41 - M 39	= +2  %+5  	q= +2  %+5  	 0.232(66)
printNotes: i= 85-<2812 2799  13>,  	 A2 --   1/16th( 39) <      > 	V 39 - M 39	=  +  %+0  	q=  +  %+0  	 0.221(66)
printNotes: i= 86-<2869 2860   9>,  	Bb2 -- 1/64th..( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(66)
printNotes: i= 87-<2863 2860   3>,  	Bb2 --  1/64th.( 15) <      > 	V 13 - M 15	= -2  %-15  	q= -2  %-15  	 0.070(66)<-- same note
printNotes: i= 88-<1618 2799 -1181>,  	 A2 --    1/8th( 79) <      > 	V 76 - M 79	= -3  %-4  	q= -3  %-4  	 0.435(66)
printNotes: i= 89-<2872 2860  12>,  	Bb2 --   1/32nd( 20) <      > 	V 18 - M 20	= -2  %-11  	q= -2  %-11  	 0.099(66)
printNotes: i= 90-<2787 2799 -12>,  	 A2 --  1/32nd.( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(66)
