	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1701 1589 112>,  	 A1 --   1/16th( 28) <      > 	V 33 - M 28	= +5  %+15  	q= +5  %+15  	 0.186(93)
printNotes: i=  2-<2504 2582 -78>,  	 G2 --    1/8th( 56) <      > 	V 54 - M 56	= -2  %-4  	q= -2  %-4  	 0.308(93)
printNotes: i=  3-<2473 2467   6>,  	F#2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(93)
printNotes: i=  4-<2566 2582 -16>,  	 G2 -- 1/16th..( 49) <      > 	V 51 - M 49	= +2  %+4  	q= +2  %+4  	 0.290(93)
printNotes: i=  5-<2799 2789  10>,  	 A2 --    half.(334) <      > 	V327 - M334	= -7  %-2  	q= -7  %-2  	 1.892(93)
printNotes: i=  6-<2870 2860  10>,  	Bb2 --  1/16th.( 42) <      > 	V 39 - M 42	= -3  %-8  	q= -3  %-8  	 0.221(93)
printNotes: i=  7-<2788 2789  -1>,  	 A2 --  1/32nd.( 21) <      > 	V 20 - M 21	= -1  %-5  	q= -1  %-5  	 0.110(93)
printNotes: i=  8-<2862 2860   2>,  	Bb2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(93)
printNotes: i=  9-<2591 2582   9>,  	 G2 --  1/16th.( 42) <      > 	V 41 - M 42	= -1  %-2  	q= -1  %-2  	 0.232(93)
printNotes: i= 10-<2791 2860 -69>,  	Bb2 -- 1/64th..( 12) <      > 	V 13 - M 14	= -1  %-8  	q= +1  %+8  	 0.070(93)
printNotes: i= 11-<2471 2467   4>,  	F#2 --    half.(334) <      > 	V334 - M334	=  +  %+0  	q=  +  %+0  	 1.933(93)
printNotes: i= 12-<2537 2582 -45>,  	 G2 --   1/4th.(167) <      > 	V156 - M167	=-11  %-7  	q=-11  %-7  	 0.900(93)
printNotes: i= 13-<2834 2860 -26>,  	Bb2 --  1/64th.( 10) <      > 	V  9 - M 10	= -1  %-11  	q= -1  %-11  	 0.046(93)
printNotes: i= 14-<2781 2789  -8>,  	 A2 --  1/16th.( 42) <      > 	V 37 - M 42	= -5  %-14  	q= -5  %-14  	 0.209(93)
printNotes: i= 15-<2875 2860  15>,  	Bb2 --   1/16th( 28) <      > 	V 33 - M 28	= +5  %+15  	q= +5  %+15  	 0.186(93)
printNotes: i= 16-<2789 2789    >,  	 A2 --  1/32nd.( 21) <      > 	V 19 - M 21	= -2  %-11  	q= -2  %-11  	 0.104(93)
printNotes: i= 17-<2813 2860 -47>,  	Bb2 --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(93)
printNotes: i= 18-<2597 2582  15>,  	 G2 --   1/16th( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(93)
printNotes: i= 19-<2013 2467 -454>,  	F#2 --    1/8th( 56) <      > 	V 56 - M 56	=  +  %+0  	q=  +  %+0  	 0.319(93)


silence
printNotes: i= 20-<   0   40 -40>,  	Slc --  1/4th..(195) <      > 	V192 - M172	=+20  %+10  	q= -3  %-2  	 1.109(93)<-----%10   %2

printNotes: i= 21-<1734 1589 145>,  	 A1 -- 1/32nd..( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(93)
printNotes: i= 22-<2533 2582 -49>,  	 G2 --  1/8th..( 97) <      > 	V 95 - M 97	= -2  %-2  	q= -2  %-2  	 0.546(93)
printNotes: i= 23-<2857 2860  -3>,  	Bb2 --  1/64th.( 10) <      > 	V  9 - M 10	= -1  %-11  	q= -1  %-11  	 0.046(93)
printNotes: i= 24-<2758 2789 -31>,  	 A2 -- 1/16th..( 49) <      > 	V 46 - M 49	= -3  %-7  	q= -3  %-7  	 0.261(93)
printNotes: i= 25-<2845 2860 -15>,  	Bb2 -- 1/32nd..( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(93)
printNotes: i= 26-<2598 2582  16>,  	 G2 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(93)
printNotes: i= 27-<1908 2860 -952>,  	Bb2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(93)
printNotes: i= 28-<2782 2789  -7>,  	 A2 --  1/16th.( 42) <      > 	V 44 - M 42	= +2  %+5  	q= +2  %+5  	 0.250(93)
printNotes: i= 29-<2852 2860  -8>,  	Bb2 --  1/32nd.( 21) <      > 	V 22 - M 21	= +1  %+5  	q= +1  %+5  	 0.122(93)
printNotes: i= 30-<2591 2582   9>,  	 G2 --    1/8th( 56) <      > 	V 64 - M 56	= +8  %+12  	q= +8  %+12  	 0.366(93)
printNotes: i= 31-<2841 2860 -19>,  	Bb2 --  1/16th.( 42) <      > 	V 37 - M 42	= -5  %-14  	q= -5  %-14  	 0.209(93)
printNotes: i= 32-<2699 2789 -90>,  	 A2 --  1/16th.( 42) <      > 	V 36 - M 42	= -6  %-17  	q= -6  %-17  	 0.203(93)
printNotes: i= 33-<3009 3053 -44>,  	 C3 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(93)
printNotes: i= 34-<2599 2582  17>,  	 G2 --    1/8th( 56) <      > 	V 58 - M 56	= +2  %+3  	q= +2  %+3  	 0.331(93)
printNotes: i= 35-<2768 2789 -21>,  	 A2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(93)
printNotes: i= 36-<2460 2467  -7>,  	F#2 --   1/4th.(167) <      > 	V154 - M167	=-13  %-8  	q=-13  %-8  	 0.888(93)
printNotes: i= 37-<2572 2582 -10>,  	 G2 --    1/4th(111) <      > 	V112 - M111	= +1  %+1  	q= +1  %+1  	 0.644(93)
printNotes: i= 38-<2787 2789  -2>,  	 A2 -- 1/16th..( 49) <      > 	V 47 - M 49	= -2  %-4  	q= -2  %-4  	 0.267(93)
printNotes: i= 39-<2851 2860  -9>,  	Bb2 -- 1/32nd..( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(93)
printNotes: i= 40-<2598 2582  16>,  	 G2 -- 1/32nd..( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(93)
printNotes: i= 41-<2795 2789   6>,  	 A2 -- 1/16th..( 49) <      > 	V 46 - M 42	= +4  %+9  	q= -3  %-7  	 0.261(93)
printNotes: i= 42-<2865 2860   5>,  	Bb2 -- 1/32nd..( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(93)
printNotes: i= 43-<2609 2582  27>,  	 G2 --    1/8th( 56) <      > 	V 53 - M 56	= -3  %-6  	q= -3  %-6  	 0.302(93)
printNotes: i= 44-<3059 3053   6>,  	 C3 --    1/4th(111) <1*sela> 	V136 - M111	=+25  %+18  	q=+25  %+18  	 0.784(93)
printNotes: i= 45-<2888 2860  28>,  	Bb2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(93)
printNotes: i= 46-<3055 3053   2>,  	 C3 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(93)
printNotes: i= 47-<2868 2860   8>,  	Bb2 --   1/16th( 28) <      > 	V 31 - M 28	= +3  %+10  	q= +3  %+10  	 0.174(93)
printNotes: i= 48-<3096 3053  43>,  	 C3 -- 1/64th..( 12) <      > 	V 13 - M 14	= -1  %-8  	q= +1  %+8  	 0.070(93)
printNotes: i= 49-<2794 2789   5>,  	 A2 --  1/16th.( 42) <      > 	V 39 - M 42	= -3  %-8  	q= -3  %-8  	 0.221(93)
