	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1703 1709  -6>,  	 D2 --  1/16th.( 48) <      > 	V 46 - M 32	=+14  %+30  	q= -2  %-4  	 0.261(80)<-----%30   %4

printNotes: i=  2-<2216 2217  -1>,  	 G2 --    whole(515) <      > 	V510 - M483	=+27  %+5  	q= -5  %-1  	 2.955(80)
printNotes: i=  3-<2096 2082  14>,  	F#2 --  1/64th.( 12) <      > 	V 13 - M 32	=-19  %-146  	q= +1  %+8  	 0.070(80)<-----%146   %8 <<

printNotes: i=  4-<2224 2217   7>,  	 G2 --    half.(386) <-1*sela> 	V369 - M354	=+15  %+4  	q=-17  %-5  	 2.136(80)
printNotes: i=  5-<2086 2082   4>,  	F#2 --  1/64th.( 12) <      > 	V 13 - M 32	=-19  %-146  	q= +1  %+8  	 0.070(80)<-----%146   %8 <<

printNotes: i=  6-<2242 2217  25>,  	 G2 --    1/8th( 64) <      > 	V 61 - M 32	=+29  %+48  	q= -3  %-5  	 0.348(80)<-----%48   %5



silence
printNotes: i=  7-<   0   40 -40>,  	Slc --    1/4th(129) <      > 	V143 - M129	=+14  %+10  	q=+14  %+10  	 0.824(80)
printNotes: i=  8-<2201 2428 -227>,  	 A2 --    1/8th( 64) <      > 	V 67 - M 48	=+19  %+28  	q= +3  %+4  	 0.383(80)<-----%28   %4

printNotes: i=  9-<2236 2217  19>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(80)<-----%45   %9 <<

printNotes: i= 10-<2417 2428 -11>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 11-<2209 2217  -8>,  	 G2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(80)<-----%28   %4

printNotes: i= 12-<2085 2082   3>,  	F#2 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(80)<-----%100   %0 <<

printNotes: i= 13-<2226 2217   9>,  	 G2 --    1/4th(129) <1*sela> 	V157 - M193	=-36  %-23  	q=+28  %+18  	 0.906(80)<-----%23   %18

printNotes: i= 14-<2124 2082  42>,  	F#2 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(80)<-----%14   %0

