	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<2267 2675 -408>,  	 C3 --    1/8th( 59) <      > 	V 64 - M 39	=+25  %+39  	q= +5  %+8  	 0.366(88)<-----%39   %8

printNotes: i=  2-<2504 2512  -8>,  	Bb2 --  1/16th.( 44) <      > 	V 43 - M 39	= +4  %+9  	q= -1  %-2  	 0.244(88)<-----%9   %2

printNotes: i=  3-<2680 2675   5>,  	 C3 --  1/8th..(103) <      > 	V 98 - M 88	=+10  %+10  	q= -5  %-5  	 0.563(88)<-----%10   %5

printNotes: i=  4-<2526 2512  14>,  	Bb2 --  1/8th..(103) <      > 	V104 - M 88	=+16  %+15  	q= +1  %+1  	 0.598(88)<-----%15   %1

printNotes: i=  5-<2433 2427   6>,  	 A2 --   1/8th.( 88) <      > 	V 82 - M 88	= -6  %-7  	q= -6  %-7  	 0.470(88)
printNotes: i=  6-<2503 2512  -9>,  	Bb2 --  1/8th..(103) <      > 	V 97 - M 88	= +9  %+9  	q= -6  %-6  	 0.557(88)<-----%9   %6

printNotes: i=  7-<2429 2427   2>,  	 A2 --    1/4th(117) <      > 	V121 - M117	= +4  %+3  	q= +4  %+3  	 0.697(88)
printNotes: i=  8-<2223 2211  12>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 29	=-15  %-107  	q= +1  %+7  	 0.075(88)<-----%107   %7 <<

printNotes: i=  9-<2427 2427    >,  	 A2 --    whole(470) <-1*sela> 	V442 - M470	=-28  %-6  	q=-28  %-6  	 2.560(88)
printNotes: i= 10-<2221 2211  10>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
printNotes: i= 11-<2421 2427  -6>,  	 A2 --  1/64th.( 11) <      > 	V  8 - M 15	= -7  %-88  	q= -3  %-38  	 0.041(88)<-----%88   %38 <<

printNotes: i= 12-<2237 2211  26>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 29	=-12  %-71  	q= +2  %+12  	 0.093(88)<-----%71   %12

printNotes: i= 13-<2036 2427 -391>,  	 A2 --   1/16th( 29) <      > 	V 30 - M 15	=+15  %+50  	q= +1  %+3  	 0.168(88)<-----%50   %3

printNotes: i= 14-<2519 2512   7>,  	Bb2 --  128th..(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(88)<-----%150   %0 <<

printNotes: i= 15-<2431 2427   4>,  	 A2 --  1/32nd.( 22) <      > 	V 19 - M 29	=-10  %-53  	q= -3  %-16  	 0.104(88)<-----%53   %16

