	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1907 1816  91>,  	Ek2 --  1/16th.( 43) <      > 	V 39 - M 14	=+25  %+64  	q= -4  %-10  	 0.221(90)<-----%64   %10

printNotes: i=  2-<2569 2680 -111>,  	 C3 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(90)
printNotes: i=  3-<2507 2503   4>,  	Bb2 -- 1/32nd..( 25) <      > 	V 26 - M 29	= -3  %-12  	q= +1  %+4  	 0.145(90)<-----%12   %4

printNotes: i=  4-<2666 2680 -14>,  	 C3 --  1/16th.( 43) <      > 	V 40 - M 43	= -3  %-8  	q= -3  %-8  	 0.226(90)
printNotes: i=  5-<2536 2503  33>,  	Bb2 --    1/8th( 57) <      > 	V 61 - M 43	=+18  %+30  	q= +4  %+7  	 0.348(90)<-----%30   %7

printNotes: i=  6-<2428 2420   8>,  	 A2 --    1/8th( 57) <      > 	V 58 - M 57	= +1  %+2  	q= +1  %+2  	 0.331(90)
printNotes: i=  7-<2440 2420  20>,  	 A2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(90)<-- same note
printNotes: i=  8-<2662 2680 -18>,  	 C3 --  1/4th..(201) <      > 	V199 - M230	=-31  %-16  	q= -2  %-1  	 1.149(90)<-----%16   %1

printNotes: i=  9-<2522 2503  19>,  	Bb2 --  1/32nd.( 22) <      > 	V 22 - M 19	= +3  %+14  	q=  +  %+0  	 0.122(90)<-----%14   %0

printNotes: i= 10-<2664 2680 -16>,  	 C3 --   1/32nd( 14) <      > 	V 16 - M 19	= -3  %-19  	q= +2  %+12  	 0.087(90)
printNotes: i= 11-<2426 2420   6>,  	 A2 --   1/16th( 29) <      > 	V 31 - M 38	= -7  %-23  	q= +2  %+6  	 0.174(90)<-----%23   %6

printNotes: i= 12-<2515 2503  12>,  	Bb2 --   1/16th( 29) <      > 	V 30 - M 38	= -8  %-27  	q= +1  %+3  	 0.168(90)<-----%27   %3

printNotes: i= 13-<1617 2420 -803>,  	 A2 --    1/4th(115) <      > 	V114 - M115	= -1  %-1  	q= -1  %-1  	 0.656(90)
printNotes: i= 14-<2514 2503  11>,  	Bb2 --  1/4th..(201) <      > 	V199 - M230	=-31  %-16  	q= -2  %-1  	 1.149(90)<-----%16   %1

printNotes: i= 15-<2511 2420  91>,  	 A2 --    1/8th( 57) <      > 	V 58 - M 43	=+15  %+26  	q= +1  %+2  	 0.331(90)<-----%26   %2



silence
printNotes: i= 16-<   0   40 -40>,  	Slc --    half.(345) <1*sela> 	V362 - M402	=-40  %-11  	q=+17  %+5  	 2.096(90)<-----%11   %5

printNotes: i= 17-<2471 2420  51>,  	 A2 -- 1/16th..( 50) <      > 	V 52 - M 29	=+23  %+44  	q= +2  %+4  	 0.296(90)<-----%44   %4

printNotes: i= 18-<2675 2680  -5>,  	 C3 --     half(230) <      > 	V221 - M230	= -9  %-4  	q= -9  %-4  	 1.277(90)
printNotes: i= 19-<2489 2503 -14>,  	Bb2 --   1/32nd( 14) <      > 	V 16 - M 19	= -3  %-19  	q= +2  %+12  	 0.087(90)
printNotes: i= 20-<2428 2680 -252>,  	 C3 --  1/64th.( 11) <      > 	V 11 - M 19	= -8  %-73  	q=  +  %+0  	 0.058(90)<-----%73   %0 <<

printNotes: i= 21-<2444 2420  24>,  	 A2 --   1/16th( 29) <      > 	V 30 - M 38	= -8  %-27  	q= +1  %+3  	 0.168(90)<-----%27   %3

printNotes: i= 22-<2515 2503  12>,  	Bb2 --   1/16th( 29) <      > 	V 30 - M 38	= -8  %-27  	q= +1  %+3  	 0.168(90)<-----%27   %3

printNotes: i= 23-<2132 2420 -288>,  	 A2 --  1/8th..(101) <      > 	V107 - M115	= -8  %-7  	q= +6  %+6  	 0.615(90)
printNotes: i= 24-<2381 2420 -39>,  	 A2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(90)<-- same note
printNotes: i= 25-<2503 2503    >,  	Bb2 --    1/8th( 57) <      > 	V 60 - M 57	= +3  %+5  	q= +3  %+5  	 0.342(90)
