	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1574 1694 -120>,  	 D2 --    1/8th( 63) <      > 	V 59 - M 42	=+17  %+29  	q= -4  %-7  	 0.337(83)<-----%29   %7

printNotes: i=  2-<1814 1815  -1>,  	Ek2 --   1/16th( 31) <      > 	V 36 - M 42	= -6  %-17  	q= +5  %+14  	 0.203(83)
printNotes: i=  3-<2060 2071 -11>,  	F#2 --    1/8th( 63) <      > 	V 68 - M 63	= +5  %+7  	q= +5  %+7  	 0.389(83)
printNotes: i=  4-<2190 2188   2>,  	 G2 --     half(250) <3*sela> 	V298 - M313	=-15  %-5  	q=+48  %+16  	 1.724(83)
printNotes: i=  5-<2035 2071 -36>,  	F#2 -- 1/32nd..( 27) <      > 	V 27 - M 25	= +2  %+7  	q=  +  %+0  	 0.151(83)
printNotes: i=  6-<1832 1815  17>,  	Ek2 --  1/32nd.( 23) <      > 	V 24 - M 25	= -1  %-4  	q= +1  %+4  	 0.134(83)
printNotes: i=  7-<2074 2071   3>,  	F#2 -- 1/32nd..( 27) <      > 	V 25 - M 25	=  +  %+0  	q= -2  %-8  	 0.139(83)
printNotes: i=  8-<2134 2188 -54>,  	 G2 -- 1/32nd..( 27) <      > 	V 25 - M 25	=  +  %+0  	q= -2  %-8  	 0.139(83)
printNotes: i=  9-<2081 2071  10>,  	F#2 --   1/32nd( 16) <      > 	V 17 - M 25	= -8  %-47  	q= +1  %+6  	 0.093(83)<-----%47   %6

printNotes: i= 10-<2168 2188 -20>,  	 G2 --   1/16th( 31) <      > 	V 34 - M 16	=+18  %+53  	q= +3  %+9  	 0.192(83)<-----%53   %9

printNotes: i= 11-<2414 2405   9>,  	 A2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(83)
printNotes: i= 12-<2225 2188  37>,  	 G2 -- 1/16th..( 55) <      > 	V 56 - M 63	= -7  %-12  	q= +1  %+2  	 0.319(83)<-----%12   %2

printNotes: i= 13-<2302 2480 -178>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 14-<2188 2188    >,  	 G2 -- 1/16th..( 55) <      > 	V 58 - M 31	=+27  %+47  	q= +3  %+5  	 0.331(83)<-----%47   %5



silence
