	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-< 930 1694 -764>,  	 D2 --   1/8th.( 86) <      > 	V 77 - M 57	=+20  %+26  	q= -9  %-12  	 0.441(90)<-----%26   %12

printNotes: i=  2-<2131 2184 -53>,  	 G2 --   1/8th.( 86) <      > 	V 86 - M 29	=+57  %+66  	q=  +  %+0  	 0.493(90)<-----%66   %0

printNotes: i=  3-<2195 2184  11>,  	 G2 --     half(229) <      > 	V229 - M229	=  +  %+0  	q=  +  %+0  	 1.324(90)<-- same note
printNotes: i=  4-<2093 2077  16>,  	F#2 --   1/32nd( 14) <      > 	V 16 - M 29	=-13  %-81  	q= +2  %+12  	 0.087(90)<-----%81   %12 <<

printNotes: i=  5-<2123 2184 -61>,  	 G2 --   1/4th.(172) <      > 	V172 - M115	=+57  %+33  	q=  +  %+0  	 0.993(90)<-----%33   %0

printNotes: i=  6-<1437 1811 -374>,  	Ek2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(90)
printNotes: i=  7-<2394 2484 -90>,  	Bb2 --   1/8th.( 86) <-1*sela> 	V 72 - M 57	=+15  %+21  	q=-14  %-19  	 0.412(90)
printNotes: i=  8-<2418 2419  -1>,  	 A2 --   1/8th.( 86) <      > 	V 73 - M 57	=+16  %+22  	q=-13  %-18  	 0.418(90)<-----%22   %18

printNotes: i=  9-<2450 2484 -34>,  	Bb2 --  1/16th.( 43) <      > 	V 36 - M 57	=-21  %-58  	q= -7  %-19  	 0.203(90)<-----%58   %19

printNotes: i= 10-<2403 2419 -16>,  	 A2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(90)
printNotes: i= 11-<2510 2484  26>,  	Bb2 -- 1/64th..( 13) <      > 	V 13 - M 14	= -1  %-8  	q=  +  %+0  	 0.070(90)
printNotes: i= 12-<2405 2419 -14>,  	 A2 --  1/32nd.( 21) <      > 	V 18 - M 14	= +4  %+22  	q= -3  %-17  	 0.099(90)<-----%22   %17

printNotes: i= 13-<2526 2484  42>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 14	= -3  %-27  	q=  +  %+0  	 0.058(90)<-----%27   %0 <<

printNotes: i= 14-<2392 2419 -27>,  	 A2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(90)
printNotes: i= 15-<2173 2184 -11>,  	 G2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(90)
printNotes: i= 16-<2328 2419 -91>,  	 A2 --  1/64th.( 11) <      > 	V 11 - M 14	= -3  %-27  	q=  +  %+0  	 0.058(90)<-----%27   %0 <<

printNotes: i= 17-<2196 2184  12>,  	 G2 --  1/32nd.( 21) <      > 	V 21 - M 14	= +7  %+33  	q=  +  %+0  	 0.116(90)<-----%33   %0

printNotes: i= 18-<2266 2419 -153>,  	 A2 --   128th.(  5) <      > 	V  5 - M 14	= -9  %-180  	q=  +  %+0  	 0.023(90)<-----%180   %0 <<

