	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1729 1427 302>,  	Ak1 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(88)
printNotes: i=  2-<2452 2631 -179>,  	Ak2 --  1/16th.( 44) <      > 	V 38 - M 44	= -6  %-16  	q= -6  %-16  	 0.215(88)
printNotes: i=  3-<3092 3099  -7>,  	Dk3 --   1/4th.(176) <-1*sela> 	V159 - M176	=-17  %-11  	q=-17  %-11  	 0.917(88)
printNotes: i=  4-<2963 2978 -15>,  	 C3 --  1/4th..(206) <      > 	V202 - M206	= -4  %-2  	q= -4  %-2  	 1.167(88)
printNotes: i=  5-<2883 2885  -2>,  	 B2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i=  6-<3098 3099  -1>,  	Dk3 --   1/4th.(176) <      > 	V165 - M176	=-11  %-7  	q=-11  %-7  	 0.952(88)
printNotes: i=  7-<3102 3099   3>,  	Dk3 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)<-- same note
printNotes: i=  8-<2975 2978  -3>,  	 C3 --   1/4th.(176) <-1*sela> 	V160 - M176	=-16  %-10  	q=-16  %-10  	 0.923(88)
printNotes: i=  9-<2883 2885  -2>,  	 B2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i= 10-<3096 3099  -3>,  	Dk3 --    1/4th(117) <      > 	V120 - M117	= +3  %+2  	q= +3  %+2  	 0.691(88)
printNotes: i= 11-<3364 3349  15>,  	 E3 -- 1/32nd..( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(88)
printNotes: i= 12-<3094 3099  -5>,  	Dk3 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(88)
printNotes: i= 13-<2989 2978  11>,  	 C3 --  1/32nd.( 22) <      > 	V 23 - M 22	= +1  %+4  	q= +1  %+4  	 0.128(88)
printNotes: i= 14-<2841 2885 -44>,  	 B2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 15-<2845 2978 -133>,  	 C3 -- 1/32nd..( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(88)
printNotes: i= 16-<3132 3099  33>,  	Dk3 --  1/64th.( 11) <      > 	V 12 - M 13	= -1  %-8  	q= +1  %+8  	 0.064(88)
printNotes: i= 17-<2872 2885 -13>,  	 B2 --  1/16th.( 44) <      > 	V 45 - M 44	= +1  %+2  	q= +1  %+2  	 0.255(88)
printNotes: i= 18-<3031 2978  53>,  	 C3 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(88)
printNotes: i= 19-<2887 2885   2>,  	 B2 --  1/8th..(103) <      > 	V107 - M103	= +4  %+4  	q= +4  %+4  	 0.615(88)
printNotes: i= 20-<2964 2978 -14>,  	 C3 -- 1/16th..( 51) <      > 	V 53 - M 51	= +2  %+4  	q= +2  %+4  	 0.302(88)
printNotes: i= 21-<3097 3099  -2>,  	Dk3 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(88)
printNotes: i= 22-<2991 2978  13>,  	 C3 --   1/16th( 29) <      > 	V 36 - M 29	= +7  %+19  	q= +7  %+19  	 0.203(88)
printNotes: i= 23-<3103 3099   4>,  	Dk3 --    1/4th(117) <1*sela> 	V134 - M117	=+17  %+13  	q=+17  %+13  	 0.772(88)
printNotes: i= 24-<2981 2978   3>,  	 C3 --    1/4th(117) <      > 	V117 - M117	=  +  %+0  	q=  +  %+0  	 0.673(88)
printNotes: i= 25-<2894 2885   9>,  	 B2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(88)
printNotes: i= 26-<2973 2978  -5>,  	 C3 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(88)
printNotes: i= 27-<2922 2885  37>,  	 B2 --    1/8th( 59) <      > 	V 60 - M 59	= +1  %+2  	q= +1  %+2  	 0.342(88)


silence
printNotes: i= 28-<   0   40 -40>,  	Slc --    half.(352) <      > 	V343 - M352	= -9  %-3  	q= -9  %-3  	 1.985(88)
