	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<2150 2180 -30>,  	 G2 --    1/8th( 59) <      > 	V 57 - M 59	= -2  %-4  	q= -2  %-4  	 0.325(88)
printNotes: i=  2-<2702 2887 -185>,  	 D3 --     half(236) <      > 	V228 - M236	= -8  %-4  	q= -8  %-4  	 1.318(88)
printNotes: i=  3-<2418 2667 -249>,  	 C3 --   1/4th.(177) <      > 	V191 - M177	=+14  %+7  	q=+14  %+7  	 1.103(88)
printNotes: i=  4-<1105 2399 -1294>,  	 A2 -- 1/16th..( 52) <      > 	V 52 - M 52	=  +  %+0  	q=  +  %+0  	 0.296(88)
printNotes: i=  5-<1435 2399 -964>,  	 A2 --    1/8th( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(88)<-- same note
printNotes: i=  6-<2472 2470   2>,  	Bb2 --  1/16th.( 44) <      > 	V 40 - M 44	= -4  %-10  	q= -4  %-10  	 0.226(88)
printNotes: i=  7-<2398 2399  -1>,  	 A2 --  1/16th.( 44) <      > 	V 39 - M 44	= -5  %-13  	q= -5  %-13  	 0.221(88)
printNotes: i=  8-<2474 2470   4>,  	Bb2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(88)
printNotes: i=  9-<2413 2399  14>,  	 A2 --  1/16th.( 44) <      > 	V 40 - M 44	= -4  %-10  	q= -4  %-10  	 0.226(88)
printNotes: i= 10-<2460 2470 -10>,  	Bb2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(88)
printNotes: i= 11-<2400 2399   1>,  	 A2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(88)
printNotes: i= 12-< 925 2470 -1545>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 13-<2409 2399  10>,  	 A2 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(88)
printNotes: i= 14-<2359 2667 -308>,  	 C3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(88)
printNotes: i= 15-<2199 2180  19>,  	 G2 --  1/16th.( 44) <      > 	V 40 - M 44	= -4  %-10  	q= -4  %-10  	 0.226(88)
printNotes: i= 16-<2213 2180  33>,  	 G2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)<-- same note
printNotes: i= 17-<2028 2399 -371>,  	 A2 --     half(236) <      > 	V238 - M236	= +2  %+1  	q= +2  %+1  	 1.376(88)
printNotes: i= 18-<2487 2399  88>,  	 A2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)<-- same note
printNotes: i= 19-<2819 2887 -68>,  	 D3 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)
printNotes: i= 20-<2886 2887  -1>,  	 D3 --   1/4th.(177) <      > 	V168 - M177	= -9  %-5  	q= -9  %-5  	 0.969(88)<-- same note
printNotes: i= 21-<2671 2667   4>,  	 C3 --  1/16th.( 44) <      > 	V 39 - M 44	= -5  %-13  	q= -5  %-13  	 0.221(88)
printNotes: i= 22-<2535 2520  15>,  	Bk2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(88)
printNotes: i= 23-<2405 2667 -262>,  	 C3 --   1/4th.(177) <      > 	V164 - M177	=-13  %-8  	q=-13  %-8  	 0.946(88)


silence
printNotes: i= 24-<   0   40 -40>,  	Slc --   1/8th.( 88) <      > 	V 77 - M 93	=-16  %-21  	q=-11  %-14  	 0.441(88)<-----%21   %14

printNotes: i= 25-<2070 2085 -15>,  	F#2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 26-<2366 2399 -33>,  	 A2 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(88)
printNotes: i= 27-<2442 2470 -28>,  	Bb2 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(88)
printNotes: i= 28-<2385 2399 -14>,  	 A2 --   1/16th( 29) <      > 	V 36 - M 29	= +7  %+19  	q= +7  %+19  	 0.203(88)
printNotes: i= 29-<2450 2470 -20>,  	Bb2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(88)
printNotes: i= 30-<2407 2399   8>,  	 A2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)
printNotes: i= 31-< 548 2470 -1922>,  	Bb2 --   1/64th(  7) <      > 	V  9 - M  7	= +2  %+22  	q= +2  %+22  	 0.046(88)
printNotes: i= 32-<1434 2667 -1233>,  	 C3 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(88)
printNotes: i= 33-<1830 2180 -350>,  	 G2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(88)
printNotes: i= 34-<2206 2180  26>,  	 G2 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(88)<-- same note
printNotes: i= 35-<2395 2399  -4>,  	 A2 --    1/4th(118) <      > 	V119 - M118	= +1  %+1  	q= +1  %+1  	 0.685(88)
printNotes: i= 36-<2474 2470   4>,  	Bb2 --  1/16th.( 44) <      > 	V 38 - M 44	= -6  %-16  	q= -6  %-16  	 0.215(88)
printNotes: i= 37-<2646 2667 -21>,  	 C3 -- 1/32nd..( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(88)
printNotes: i= 38-<2838 2887 -49>,  	 D3 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(88)
printNotes: i= 39-<2672 2667   5>,  	 C3 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(88)
printNotes: i= 40-<2461 2470  -9>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 41-<2357 2667 -310>,  	 C3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(88)
printNotes: i= 42-<2394 2399  -5>,  	 A2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 43-<2461 2470  -9>,  	Bb2 --   1/64th(  7) <      > 	V  9 - M  7	= +2  %+22  	q= +2  %+22  	 0.046(88)
printNotes: i= 44-<2224 2180  44>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 45-<2469 2470  -1>,  	Bb2 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(88)
printNotes: i= 46-<2402 2399   3>,  	 A2 --   1/4th.(177) <-1*sela> 	V160 - M177	=-17  %-11  	q=-17  %-11  	 0.923(88)
printNotes: i= 47-<2639 2667 -28>,  	 C3 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(88)


silence
printNotes: i= 48-<   0   40 -40>,  	Slc --   whole.(707) <-3*sela> 	V649 - M707	=-58  %-9  	q=-58  %-9  	 3.762(88)
printNotes: i= 49-<2196 2085 111>,  	F#2 -- 1/32nd..( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(88)
printNotes: i= 50-<2859 2887 -28>,  	 D3 --    1/4th(118) <1*sela> 	V139 - M118	=+21  %+15  	q=+21  %+15  	 0.801(88)
printNotes: i= 51-<2661 2667  -6>,  	 C3 --   1/4th.(177) <      > 	V187 - M177	=+10  %+5  	q=+10  %+5  	 1.080(88)
printNotes: i= 52-<1519 2470 -951>,  	Bb2 --  1/16th.( 44) <      > 	V 44 - M 44	=  +  %+0  	q=  +  %+0  	 0.250(88)
printNotes: i= 53-<2410 2399  11>,  	 A2 -- 1/16th..( 52) <      > 	V 51 - M 52	= -1  %-2  	q= -1  %-2  	 0.290(88)
printNotes: i= 54-<2634 2667 -33>,  	 C3 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)
printNotes: i= 55-<2495 2470  25>,  	Bb2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(88)
printNotes: i= 56-<2419 2399  20>,  	 A2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(88)
printNotes: i= 57-<2478 2470   8>,  	Bb2 --    1/8th( 59) <      > 	V 72 - M 59	=+13  %+18  	q=+13  %+18  	 0.412(88)
printNotes: i= 58-<2403 2399   4>,  	 A2 -- 1/32nd..( 26) <      > 	V 24 - M 22	= +2  %+8  	q= -2  %-8  	 0.134(88)
printNotes: i= 59-<1280 2180 -900>,  	 G2 --  1/8th..(103) <      > 	V 97 - M103	= -6  %-6  	q= -6  %-6  	 0.557(88)
printNotes: i= 60-< 988 1985 -997>,  	 F2 --  128th..(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(88)
printNotes: i= 61-<1796 2180 -384>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 62-<2321 2399 -78>,  	 A2 --   1/16th( 29) <      > 	V 35 - M 29	= +6  %+17  	q= +6  %+17  	 0.197(88)
printNotes: i= 63-<2460 2470 -10>,  	Bb2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(88)
printNotes: i= 64-<2385 2399 -14>,  	 A2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(88)
printNotes: i= 65-<2458 2470 -12>,  	Bb2 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(88)
printNotes: i= 66-<2267 2399 -132>,  	 A2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 67-<2668 2667   1>,  	 C3 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(88)
printNotes: i= 68-<2419 2399  20>,  	 A2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(88)
printNotes: i= 69-<2604 2667 -63>,  	 C3 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(88)
printNotes: i= 70-<2398 2399  -1>,  	 A2 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(88)
printNotes: i= 71-<2117 2667 -550>,  	 C3 --  128th..(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(88)
printNotes: i= 72-<2212 2180  32>,  	 G2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(88)
printNotes: i= 73-<2305 2399 -94>,  	 A2 --    128th(  4) <      > 	V  3 - M  4	= -1  %-33  	q= -1  %-33  	 0.012(88)
printNotes: i= 74-<2188 2180   8>,  	 G2 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(88)
printNotes: i= 75-<2077 2085  -8>,  	F#2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(88)
printNotes: i= 76-<2183 2180   3>,  	 G2 --    1/4th(118) <1*sela> 	V143 - M118	=+25  %+17  	q=+25  %+17  	 0.824(88)
printNotes: i= 77-< 864 2180 -1316>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)<-- same note
printNotes: i= 78-< 614 2470 -1856>,  	Bb2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(88)
printNotes: i= 79-<1580 2399 -819>,  	 A2 --   1/8th.( 88) <      > 	V 89 - M 88	= +1  %+1  	q= +1  %+1  	 0.511(88)
printNotes: i= 80-<2474 2470   4>,  	Bb2 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(88)
printNotes: i= 81-<2392 2399  -7>,  	 A2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 82-<2370 2470 -100>,  	Bb2 -- 1/32nd..( 26) <      > 	V 24 - M 22	= +2  %+8  	q= -2  %-8  	 0.134(88)
printNotes: i= 83-<2779 2887 -108>,  	 D3 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(88)
printNotes: i= 84-<2494 2470  24>,  	Bb2 --   1/16th( 29) <      > 	V 28 - M 26	= +2  %+7  	q= -1  %-4  	 0.157(88)
printNotes: i= 85-<2398 2399  -1>,  	 A2 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(88)
printNotes: i= 86-<2482 2470  12>,  	Bb2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)
printNotes: i= 87-<2653 2667 -14>,  	 C3 -- 1/16th..( 52) <      > 	V 48 - M 44	= +4  %+8  	q= -4  %-8  	 0.273(88)


silence
printNotes: i= 88-<   0   40 -40>,  	Slc --  1/8th..(103) <      > 	V 96 - M 93	= +3  %+3  	q= -7  %-7  	 0.551(88)
printNotes: i= 89-<2385 2399 -14>,  	 A2 --  1/16th.( 44) <      > 	V 46 - M 44	= +2  %+4  	q= +2  %+4  	 0.261(88)
printNotes: i= 90-<2444 2470 -26>,  	Bb2 --  1/16th.( 44) <      > 	V 45 - M 44	= +1  %+2  	q= +1  %+2  	 0.255(88)
printNotes: i= 91-<2396 2399  -3>,  	 A2 --    1/8th( 59) <      > 	V 67 - M 59	= +8  %+12  	q= +8  %+12  	 0.383(88)
printNotes: i= 92-<2446 2470 -24>,  	Bb2 --  128th..(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(88)
printNotes: i= 93-<2358 2399 -41>,  	 A2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(88)
printNotes: i= 94-<2194 2180  14>,  	 G2 --    1/8th( 59) <      > 	V 56 - M 59	= -3  %-5  	q= -3  %-5  	 0.319(88)
printNotes: i= 95-<2104 2085  19>,  	F#2 -- 1/32nd..( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(88)
