	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1689 1703 -14>,  	 D2 --  1/64th.( 16) <      > 	V 14 - M 11	= +3  %+21  	q= -2  %-14  	 0.075(61)
printNotes: i=  2-<2001 1994   7>,  	 F2 --   1/32nd( 21) <      > 	V 25 - M 21	= +4  %+16  	q= +4  %+16  	 0.139(61)
printNotes: i=  3-<2198 2203  -5>,  	 G2 --     half(341) <2*sela> 	V395 - M341	=+54  %+14  	q=+54  %+14  	 2.287(61)
printNotes: i=  4-<2011 1994  17>,  	 F2 --   128th.(  8) <      > 	V  7 - M  8	= -1  %-14  	q= -1  %-14  	 0.035(61)
printNotes: i=  5-<2006 2203 -197>,  	 G2 --    1/8th( 85) <      > 	V 87 - M 85	= +2  %+2  	q= +2  %+2  	 0.499(61)
printNotes: i=  6-<2206 2203   3>,  	 G2 --    1/8th( 85) <      > 	V 85 - M 85	=  +  %+0  	q=  +  %+0  	 0.488(61)<-- same note


silence
printNotes: i=  7-<   0   40 -40>,  	Slc --  1/64th.( 16) <      > 	V 12 - M 23	=-11  %-92  	q= -4  %-33  	 0.064(61)<-----%92   %33 <<

printNotes: i=  8-<1475 1503 -28>,  	 C2 --  1/64th.( 16) <      > 	V 15 - M 16	= -1  %-7  	q= -1  %-7  	 0.081(61)
printNotes: i=  9-<1708 1703   5>,  	 D2 --  1/32nd.( 32) <      > 	V 28 - M 32	= -4  %-14  	q= -4  %-14  	 0.157(61)
printNotes: i= 10-<2134 2203 -69>,  	 G2 -- 1/32nd..( 37) <      > 	V 37 - M 37	=  +  %+0  	q=  +  %+0  	 0.209(61)
printNotes: i= 11-<2090 2094  -4>,  	F#2 -- 1/64th..( 19) <      > 	V 17 - M 19	= -2  %-12  	q= -2  %-12  	 0.093(61)
printNotes: i= 12-<2179 2203 -24>,  	 G2 --   1/32nd( 21) <      > 	V 22 - M 21	= +1  %+5  	q= +1  %+5  	 0.122(61)
printNotes: i= 13-<2323 2428 -105>,  	 A2 --   128th.(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(61)
printNotes: i= 14-<2169 2203 -34>,  	 G2 --   1/32nd( 21) <      > 	V 24 - M 21	= +3  %+12  	q= +3  %+12  	 0.134(61)
printNotes: i= 15-<2102 2094   8>,  	F#2 -- 1/64th..( 19) <      > 	V 17 - M 19	= -2  %-12  	q= -2  %-12  	 0.093(61)
printNotes: i= 16-<2201 2203  -2>,  	 G2 --    1/8th( 85) <      > 	V 91 - M 85	= +6  %+7  	q= +6  %+7  	 0.522(61)
printNotes: i= 17-<2370 2428 -58>,  	 A2 --  1/16th.( 64) <      > 	V 60 - M 64	= -4  %-7  	q= -4  %-7  	 0.342(61)
printNotes: i= 18-<2200 2203  -3>,  	 G2 --   1/8th.(128) <      > 	V116 - M128	=-12  %-10  	q=-12  %-10  	 0.668(61)
printNotes: i= 19-<1820 2094 -274>,  	F#2 -- 1/16th..( 75) <      > 	V 72 - M 75	= -3  %-4  	q= -3  %-4  	 0.412(61)
